r(m), B_r(T), B_theta(T), B_z(T) 
2.20000e-01, 5.40849e-01, 5.40119e-01, -3.97300e-02 
2.22500e-01, 5.40830e-01, 5.40084e-01, -4.01805e-02 
2.25000e-01, 5.40811e-01, 5.40048e-01, -4.06309e-02 
2.27500e-01, 5.40792e-01, 5.40012e-01, -4.10813e-02 
2.30000e-01, 5.40773e-01, 5.39975e-01, -4.15317e-02 
2.32500e-01, 5.40753e-01, 5.39938e-01, -4.19820e-02 
2.35000e-01, 5.40733e-01, 5.39901e-01, -4.24323e-02 
2.37500e-01, 5.40713e-01, 5.39863e-01, -4.28826e-02 
2.40000e-01, 5.40693e-01, 5.39825e-01, -4.33328e-02 
2.42500e-01, 5.40673e-01, 5.39787e-01, -4.37830e-02 
2.45000e-01, 5.40652e-01, 5.39748e-01, -4.42331e-02 
2.47500e-01, 5.40631e-01, 5.39708e-01, -4.46833e-02 
2.50000e-01, 5.40610e-01, 5.39668e-01, -4.51333e-02 
2.52500e-01, 5.40589e-01, 5.39628e-01, -4.55834e-02 
2.55000e-01, 5.40568e-01, 5.39588e-01, -4.60334e-02 
2.57500e-01, 5.40546e-01, 5.39547e-01, -4.64833e-02 
2.60000e-01, 5.40524e-01, 5.39505e-01, -4.69333e-02 
2.62500e-01, 5.40502e-01, 5.39464e-01, -4.73831e-02 
2.65000e-01, 5.40480e-01, 5.39421e-01, -4.78330e-02 
2.67500e-01, 5.40457e-01, 5.39379e-01, -4.82828e-02 
2.70000e-01, 5.40434e-01, 5.39336e-01, -4.87325e-02 
2.72500e-01, 5.40411e-01, 5.39293e-01, -4.91823e-02 
2.75000e-01, 5.40388e-01, 5.39249e-01, -4.96319e-02 
2.77500e-01, 5.40365e-01, 5.39205e-01, -5.00816e-02 
2.80000e-01, 5.40341e-01, 5.39160e-01, -5.05312e-02 
2.82500e-01, 5.40318e-01, 5.39115e-01, -5.09807e-02 
2.85000e-01, 5.40294e-01, 5.39070e-01, -5.14302e-02 
2.87500e-01, 5.40269e-01, 5.39024e-01, -5.18797e-02 
2.90000e-01, 5.40245e-01, 5.38978e-01, -5.23291e-02 
2.92500e-01, 5.40220e-01, 5.38931e-01, -5.27785e-02 
2.95000e-01, 5.40196e-01, 5.38884e-01, -5.32278e-02 
2.97500e-01, 5.40170e-01, 5.38837e-01, -5.36771e-02 
3.00000e-01, 5.40145e-01, 5.38789e-01, -5.41263e-02 
3.02500e-01, 5.40120e-01, 5.38741e-01, -5.45755e-02 
3.05000e-01, 5.40094e-01, 5.38693e-01, -5.50247e-02 
3.07500e-01, 5.40068e-01, 5.38644e-01, -5.54738e-02 
3.10000e-01, 5.40042e-01, 5.38594e-01, -5.59228e-02 
3.12500e-01, 5.40016e-01, 5.38545e-01, -5.63718e-02 
3.15000e-01, 5.39989e-01, 5.38495e-01, -5.68208e-02 
3.17500e-01, 5.39962e-01, 5.38444e-01, -5.72697e-02 
3.20000e-01, 5.39936e-01, 5.38393e-01, -5.77186e-02 
3.22500e-01, 5.39908e-01, 5.38342e-01, -5.81674e-02 
3.25000e-01, 5.39881e-01, 5.38290e-01, -5.86161e-02 
3.27500e-01, 5.39853e-01, 5.38238e-01, -5.90649e-02 
3.30000e-01, 5.39826e-01, 5.38186e-01, -5.95135e-02 
3.32500e-01, 5.39798e-01, 5.38133e-01, -5.99621e-02 
3.35000e-01, 5.39769e-01, 5.38079e-01, -6.04107e-02 
3.37500e-01, 5.39741e-01, 5.38026e-01, -6.08592e-02 
3.40000e-01, 5.39712e-01, 5.37972e-01, -6.13077e-02 
3.42500e-01, 5.39684e-01, 5.37917e-01, -6.17561e-02 
3.45000e-01, 5.39655e-01, 5.37862e-01, -6.22044e-02 
3.47500e-01, 5.39625e-01, 5.37807e-01, -6.26527e-02 
3.50000e-01, 5.39596e-01, 5.37751e-01, -6.31010e-02 
3.52500e-01, 5.39566e-01, 5.37695e-01, -6.35492e-02 
3.55000e-01, 5.39536e-01, 5.37639e-01, -6.39973e-02 
3.57500e-01, 5.39506e-01, 5.37582e-01, -6.44454e-02 
3.60000e-01, 5.39476e-01, 5.37525e-01, -6.48935e-02 
3.62500e-01, 5.39445e-01, 5.37467e-01, -6.53414e-02 
3.65000e-01, 5.39415e-01, 5.37409e-01, -6.57894e-02 
3.67500e-01, 5.39384e-01, 5.37350e-01, -6.62372e-02 
3.70000e-01, 5.39352e-01, 5.37292e-01, -6.66850e-02 
3.72500e-01, 5.39321e-01, 5.37232e-01, -6.71328e-02 
3.75000e-01, 5.39290e-01, 5.37173e-01, -6.75805e-02 
3.77500e-01, 5.39258e-01, 5.37113e-01, -6.80281e-02 
3.80000e-01, 5.39226e-01, 5.37052e-01, -6.84757e-02 
3.82500e-01, 5.39194e-01, 5.36991e-01, -6.89232e-02 
3.85000e-01, 5.39161e-01, 5.36930e-01, -6.93707e-02 
3.87500e-01, 5.39129e-01, 5.36869e-01, -6.98181e-02 
3.90000e-01, 5.39096e-01, 5.36807e-01, -7.02655e-02 
3.92500e-01, 5.39063e-01, 5.36744e-01, -7.07128e-02 
3.95000e-01, 5.39029e-01, 5.36681e-01, -7.11600e-02 
3.97500e-01, 5.38996e-01, 5.36618e-01, -7.16072e-02 
4.00000e-01, 5.38962e-01, 5.36555e-01, -7.20543e-02 
4.02500e-01, 5.38928e-01, 5.36491e-01, -7.25013e-02 
4.05000e-01, 5.38894e-01, 5.36426e-01, -7.29483e-02 
4.07500e-01, 5.38860e-01, 5.36361e-01, -7.33952e-02 
4.10000e-01, 5.38826e-01, 5.36296e-01, -7.38421e-02 
4.12500e-01, 5.38791e-01, 5.36231e-01, -7.42889e-02 
4.15000e-01, 5.38756e-01, 5.36165e-01, -7.47356e-02 
4.17500e-01, 5.38721e-01, 5.36098e-01, -7.51823e-02 
4.20000e-01, 5.38685e-01, 5.36031e-01, -7.56289e-02 
4.22500e-01, 5.38650e-01, 5.35964e-01, -7.60755e-02 
4.25000e-01, 5.38614e-01, 5.35897e-01, -7.65219e-02 
4.27500e-01, 5.38578e-01, 5.35829e-01, -7.69684e-02 
4.30000e-01, 5.38542e-01, 5.35760e-01, -7.74147e-02 
4.32500e-01, 5.38506e-01, 5.35692e-01, -7.78610e-02 
4.35000e-01, 5.38469e-01, 5.35623e-01, -7.83072e-02 
4.37500e-01, 5.38432e-01, 5.35553e-01, -7.87534e-02 
4.40000e-01, 5.38395e-01, 5.35483e-01, -7.91995e-02 
4.42500e-01, 5.38358e-01, 5.35413e-01, -7.96455e-02 
4.45000e-01, 5.38320e-01, 5.35342e-01, -8.00914e-02 
4.47500e-01, 5.38283e-01, 5.35271e-01, -8.05373e-02 
4.50000e-01, 5.38245e-01, 5.35199e-01, -8.09831e-02 
4.52500e-01, 5.38207e-01, 5.35128e-01, -8.14289e-02 
4.55000e-01, 5.38169e-01, 5.35055e-01, -8.18746e-02 
4.57500e-01, 5.38130e-01, 5.34983e-01, -8.23202e-02 
4.60000e-01, 5.38091e-01, 5.34910e-01, -8.27657e-02 
4.62500e-01, 5.38052e-01, 5.34836e-01, -8.32112e-02 
4.65000e-01, 5.38013e-01, 5.34762e-01, -8.36566e-02 
4.67500e-01, 5.37974e-01, 5.34688e-01, -8.41019e-02 
4.70000e-01, 5.37934e-01, 5.34613e-01, -8.45472e-02 
4.72500e-01, 5.37895e-01, 5.34538e-01, -8.49923e-02 
4.75000e-01, 5.37855e-01, 5.34463e-01, -8.54375e-02 
4.77500e-01, 5.37815e-01, 5.34387e-01, -8.58825e-02 
4.80000e-01, 5.37774e-01, 5.34311e-01, -8.63275e-02 
4.82500e-01, 5.37734e-01, 5.34234e-01, -8.67724e-02 
4.85000e-01, 5.37693e-01, 5.34157e-01, -8.72172e-02 
4.87500e-01, 5.37652e-01, 5.34080e-01, -8.76619e-02 
4.90000e-01, 5.37611e-01, 5.34002e-01, -8.81066e-02 
4.92500e-01, 5.37569e-01, 5.33924e-01, -8.85512e-02 
4.95000e-01, 5.37528e-01, 5.33845e-01, -8.89957e-02 
4.97500e-01, 5.37486e-01, 5.33766e-01, -8.94402e-02 
5.00000e-01, 5.37444e-01, 5.33687e-01, -8.98846e-02 
5.02500e-01, 5.37402e-01, 5.33607e-01, -9.03288e-02 
5.05000e-01, 5.37359e-01, 5.33527e-01, -9.07731e-02 
5.07500e-01, 5.37316e-01, 5.33446e-01, -9.12172e-02 
5.10000e-01, 5.37274e-01, 5.33365e-01, -9.16613e-02 
5.12500e-01, 5.37230e-01, 5.33284e-01, -9.21053e-02 
5.15000e-01, 5.37187e-01, 5.33202e-01, -9.25492e-02 
5.17500e-01, 5.37144e-01, 5.33120e-01, -9.29930e-02 
5.20000e-01, 5.37100e-01, 5.33038e-01, -9.34368e-02 
5.22500e-01, 5.37056e-01, 5.32955e-01, -9.38804e-02 
5.25000e-01, 5.37012e-01, 5.32871e-01, -9.43240e-02 
5.27500e-01, 5.36968e-01, 5.32788e-01, -9.47675e-02 
5.30000e-01, 5.36923e-01, 5.32704e-01, -9.52110e-02 
5.32500e-01, 5.36878e-01, 5.32619e-01, -9.56543e-02 
5.35000e-01, 5.36833e-01, 5.32534e-01, -9.60976e-02 
5.37500e-01, 5.36788e-01, 5.32449e-01, -9.65408e-02 
5.40000e-01, 5.36743e-01, 5.32363e-01, -9.69839e-02 
5.42500e-01, 5.36697e-01, 5.32277e-01, -9.74269e-02 
5.45000e-01, 5.36651e-01, 5.32191e-01, -9.78699e-02 
5.47500e-01, 5.36605e-01, 5.32104e-01, -9.83127e-02 
5.50000e-01, 5.36559e-01, 5.32017e-01, -9.87555e-02 
5.52500e-01, 5.36513e-01, 5.31929e-01, -9.91982e-02 
5.55000e-01, 5.36466e-01, 5.31841e-01, -9.96408e-02 
5.57500e-01, 5.36419e-01, 5.31753e-01, -1.00083e-01 
5.60000e-01, 5.36372e-01, 5.31664e-01, -1.00526e-01 
5.62500e-01, 5.36325e-01, 5.31575e-01, -1.00968e-01 
5.65000e-01, 5.36278e-01, 5.31485e-01, -1.01410e-01 
5.67500e-01, 5.36230e-01, 5.31395e-01, -1.01853e-01 
5.70000e-01, 5.36182e-01, 5.31305e-01, -1.02295e-01 
5.72500e-01, 5.36134e-01, 5.31214e-01, -1.02737e-01 
5.75000e-01, 5.36086e-01, 5.31123e-01, -1.03179e-01 
5.77500e-01, 5.36037e-01, 5.31031e-01, -1.03620e-01 
5.80000e-01, 5.35988e-01, 5.30940e-01, -1.04062e-01 
5.82500e-01, 5.35940e-01, 5.30847e-01, -1.04504e-01 
5.85000e-01, 5.35890e-01, 5.30755e-01, -1.04945e-01 
5.87500e-01, 5.35841e-01, 5.30661e-01, -1.05387e-01 
5.90000e-01, 5.35792e-01, 5.30568e-01, -1.05828e-01 
5.92500e-01, 5.35742e-01, 5.30474e-01, -1.06270e-01 
5.95000e-01, 5.35692e-01, 5.30380e-01, -1.06711e-01 
5.97500e-01, 5.35642e-01, 5.30285e-01, -1.07152e-01 
6.00000e-01, 5.35591e-01, 5.30190e-01, -1.07593e-01 
6.02500e-01, 5.35541e-01, 5.30095e-01, -1.08034e-01 
6.05000e-01, 5.35490e-01, 5.29999e-01, -1.08475e-01 
6.07500e-01, 5.35439e-01, 5.29903e-01, -1.08916e-01 
6.10000e-01, 5.35388e-01, 5.29806e-01, -1.09356e-01 
6.12500e-01, 5.35336e-01, 5.29709e-01, -1.09797e-01 
6.15000e-01, 5.35285e-01, 5.29612e-01, -1.10237e-01 
6.17500e-01, 5.35233e-01, 5.29514e-01, -1.10678e-01 
6.20000e-01, 5.35181e-01, 5.29416e-01, -1.11118e-01 
6.22500e-01, 5.35129e-01, 5.29317e-01, -1.11558e-01 
6.25000e-01, 5.35076e-01, 5.29218e-01, -1.11998e-01 
6.27500e-01, 5.35024e-01, 5.29119e-01, -1.12438e-01 
6.30000e-01, 5.34971e-01, 5.29019e-01, -1.12878e-01 
6.32500e-01, 5.34918e-01, 5.28919e-01, -1.13318e-01 
6.35000e-01, 5.34865e-01, 5.28819e-01, -1.13758e-01 
6.37500e-01, 5.34811e-01, 5.28718e-01, -1.14197e-01 
6.40000e-01, 5.34757e-01, 5.28617e-01, -1.14637e-01 
6.42500e-01, 5.34704e-01, 5.28515e-01, -1.15076e-01 
6.45000e-01, 5.34649e-01, 5.28413e-01, -1.15516e-01 
6.47500e-01, 5.34595e-01, 5.28310e-01, -1.15955e-01 
6.50000e-01, 5.34541e-01, 5.28208e-01, -1.16394e-01 
6.52500e-01, 5.34486e-01, 5.28104e-01, -1.16833e-01 
6.55000e-01, 5.34431e-01, 5.28001e-01, -1.17272e-01 
6.57500e-01, 5.34376e-01, 5.27897e-01, -1.17711e-01 
6.60000e-01, 5.34321e-01, 5.27792e-01, -1.18150e-01 
6.62500e-01, 5.34265e-01, 5.27688e-01, -1.18588e-01 
6.65000e-01, 5.34209e-01, 5.27583e-01, -1.19027e-01 
6.67500e-01, 5.34153e-01, 5.27477e-01, -1.19465e-01 
6.70000e-01, 5.34097e-01, 5.27371e-01, -1.19904e-01 
6.72500e-01, 5.34041e-01, 5.27265e-01, -1.20342e-01 
6.75000e-01, 5.33984e-01, 5.27158e-01, -1.20780e-01 
6.77500e-01, 5.33927e-01, 5.27051e-01, -1.21218e-01 
6.80000e-01, 5.33870e-01, 5.26944e-01, -1.21656e-01 
6.82500e-01, 5.33813e-01, 5.26836e-01, -1.22094e-01 
6.85000e-01, 5.33756e-01, 5.26727e-01, -1.22532e-01 
6.87500e-01, 5.33698e-01, 5.26619e-01, -1.22969e-01 
6.90000e-01, 5.33640e-01, 5.26510e-01, -1.23407e-01 
6.92500e-01, 5.33582e-01, 5.26400e-01, -1.23844e-01 
6.95000e-01, 5.33524e-01, 5.26291e-01, -1.24282e-01 
6.97500e-01, 5.33466e-01, 5.26180e-01, -1.24719e-01 
7.00000e-01, 5.33407e-01, 5.26070e-01, -1.25156e-01 
7.02500e-01, 5.33348e-01, 5.25959e-01, -1.25593e-01 
7.05000e-01, 5.33289e-01, 5.25848e-01, -1.26030e-01 
7.07500e-01, 5.33230e-01, 5.25736e-01, -1.26466e-01 
7.10000e-01, 5.33171e-01, 5.25624e-01, -1.26903e-01 
7.12500e-01, 5.33111e-01, 5.25511e-01, -1.27340e-01 
7.15000e-01, 5.33051e-01, 5.25398e-01, -1.27776e-01 
7.17500e-01, 5.32991e-01, 5.25285e-01, -1.28213e-01 
7.20000e-01, 5.32931e-01, 5.25172e-01, -1.28649e-01 
7.22500e-01, 5.32870e-01, 5.25058e-01, -1.29085e-01 
7.25000e-01, 5.32810e-01, 5.24943e-01, -1.29521e-01 
7.27500e-01, 5.32749e-01, 5.24828e-01, -1.29957e-01 
7.30000e-01, 5.32688e-01, 5.24713e-01, -1.30393e-01 
7.32500e-01, 5.32626e-01, 5.24598e-01, -1.30828e-01 
7.35000e-01, 5.32565e-01, 5.24482e-01, -1.31264e-01 
7.37500e-01, 5.32503e-01, 5.24365e-01, -1.31699e-01 
7.40000e-01, 5.32441e-01, 5.24249e-01, -1.32135e-01 
7.42500e-01, 5.32379e-01, 5.24131e-01, -1.32570e-01 
