r(m), E_r(T), E_theta(T), E_z(T) 
2.20000e-01, 4.27223e+09, -4.32625e+09, 8.67771e-15 
2.22500e-01, 4.27028e+09, -4.32553e+09, 8.77496e-15 
2.25000e-01, 4.26831e+09, -4.32480e+09, 8.87217e-15 
2.27500e-01, 4.26632e+09, -4.32406e+09, 8.96933e-15 
2.30000e-01, 4.26430e+09, -4.32332e+09, 9.06644e-15 
2.32500e-01, 4.26226e+09, -4.32256e+09, 9.16351e-15 
2.35000e-01, 4.26020e+09, -4.32180e+09, 9.26053e-15 
2.37500e-01, 4.25812e+09, -4.32103e+09, 9.35750e-15 
2.40000e-01, 4.25602e+09, -4.32025e+09, 9.45442e-15 
2.42500e-01, 4.25390e+09, -4.31946e+09, 9.55129e-15 
2.45000e-01, 4.25175e+09, -4.31867e+09, 9.64811e-15 
2.47500e-01, 4.24958e+09, -4.31787e+09, 9.74488e-15 
2.50000e-01, 4.24739e+09, -4.31706e+09, 9.84160e-15 
2.52500e-01, 4.24518e+09, -4.31624e+09, 9.93827e-15 
2.55000e-01, 4.24295e+09, -4.31541e+09, 1.00349e-14 
2.57500e-01, 4.24070e+09, -4.31458e+09, 1.01314e-14 
2.60000e-01, 4.23842e+09, -4.31374e+09, 1.02280e-14 
2.62500e-01, 4.23613e+09, -4.31288e+09, 1.03244e-14 
2.65000e-01, 4.23381e+09, -4.31203e+09, 1.04208e-14 
2.67500e-01, 4.23147e+09, -4.31116e+09, 1.05172e-14 
2.70000e-01, 4.22911e+09, -4.31028e+09, 1.06135e-14 
2.72500e-01, 4.22673e+09, -4.30940e+09, 1.07097e-14 
2.75000e-01, 4.22432e+09, -4.30851e+09, 1.08059e-14 
2.77500e-01, 4.22190e+09, -4.30761e+09, 1.09020e-14 
2.80000e-01, 4.21945e+09, -4.30671e+09, 1.09981e-14 
2.82500e-01, 4.21698e+09, -4.30579e+09, 1.10941e-14 
2.85000e-01, 4.21449e+09, -4.30487e+09, 1.11900e-14 
2.87500e-01, 4.21198e+09, -4.30394e+09, 1.12859e-14 
2.90000e-01, 4.20945e+09, -4.30300e+09, 1.13818e-14 
2.92500e-01, 4.20689e+09, -4.30205e+09, 1.14776e-14 
2.95000e-01, 4.20432e+09, -4.30110e+09, 1.15733e-14 
2.97500e-01, 4.20172e+09, -4.30013e+09, 1.16689e-14 
3.00000e-01, 4.19911e+09, -4.29916e+09, 1.17645e-14 
3.02500e-01, 4.19647e+09, -4.29818e+09, 1.18601e-14 
3.05000e-01, 4.19381e+09, -4.29720e+09, 1.19555e-14 
3.07500e-01, 4.19112e+09, -4.29620e+09, 1.20509e-14 
3.10000e-01, 4.18842e+09, -4.29520e+09, 1.21463e-14 
3.12500e-01, 4.18570e+09, -4.29419e+09, 1.22416e-14 
3.15000e-01, 4.18295e+09, -4.29317e+09, 1.23368e-14 
3.17500e-01, 4.18019e+09, -4.29215e+09, 1.24319e-14 
3.20000e-01, 4.17740e+09, -4.29111e+09, 1.25270e-14 
3.22500e-01, 4.17459e+09, -4.29007e+09, 1.26221e-14 
3.25000e-01, 4.17176e+09, -4.28902e+09, 1.27170e-14 
3.27500e-01, 4.16891e+09, -4.28796e+09, 1.28119e-14 
3.30000e-01, 4.16604e+09, -4.28689e+09, 1.29067e-14 
3.32500e-01, 4.16314e+09, -4.28582e+09, 1.30015e-14 
3.35000e-01, 4.16023e+09, -4.28474e+09, 1.30962e-14 
3.37500e-01, 4.15729e+09, -4.28365e+09, 1.31908e-14 
3.40000e-01, 4.15434e+09, -4.28255e+09, 1.32854e-14 
3.42500e-01, 4.15136e+09, -4.28144e+09, 1.33798e-14 
3.45000e-01, 4.14836e+09, -4.28033e+09, 1.34743e-14 
3.47500e-01, 4.14534e+09, -4.27921e+09, 1.35686e-14 
3.50000e-01, 4.14230e+09, -4.27808e+09, 1.36629e-14 
3.52500e-01, 4.13924e+09, -4.27694e+09, 1.37571e-14 
3.55000e-01, 4.13616e+09, -4.27580e+09, 1.38512e-14 
3.57500e-01, 4.13305e+09, -4.27464e+09, 1.39453e-14 
3.60000e-01, 4.12993e+09, -4.27348e+09, 1.40392e-14 
3.62500e-01, 4.12678e+09, -4.27231e+09, 1.41331e-14 
3.65000e-01, 4.12362e+09, -4.27114e+09, 1.42270e-14 
3.67500e-01, 4.12043e+09, -4.26995e+09, 1.43207e-14 
3.70000e-01, 4.11722e+09, -4.26876e+09, 1.44144e-14 
3.72500e-01, 4.11400e+09, -4.26756e+09, 1.45080e-14 
3.75000e-01, 4.11075e+09, -4.26635e+09, 1.46016e-14 
3.77500e-01, 4.10748e+09, -4.26513e+09, 1.46950e-14 
3.80000e-01, 4.10419e+09, -4.26391e+09, 1.47884e-14 
3.82500e-01, 4.10087e+09, -4.26268e+09, 1.48817e-14 
3.85000e-01, 4.09754e+09, -4.26144e+09, 1.49750e-14 
3.87500e-01, 4.09419e+09, -4.26019e+09, 1.50681e-14 
3.90000e-01, 4.09081e+09, -4.25894e+09, 1.51612e-14 
3.92500e-01, 4.08742e+09, -4.25767e+09, 1.52542e-14 
3.95000e-01, 4.08401e+09, -4.25640e+09, 1.53471e-14 
3.97500e-01, 4.08057e+09, -4.25512e+09, 1.54399e-14 
4.00000e-01, 4.07711e+09, -4.25384e+09, 1.55327e-14 
4.02500e-01, 4.07364e+09, -4.25254e+09, 1.56253e-14 
4.05000e-01, 4.07014e+09, -4.25124e+09, 1.57179e-14 
4.07500e-01, 4.06662e+09, -4.24993e+09, 1.58104e-14 
4.10000e-01, 4.06308e+09, -4.24861e+09, 1.59029e-14 
4.12500e-01, 4.05952e+09, -4.24729e+09, 1.59952e-14 
4.15000e-01, 4.05594e+09, -4.24595e+09, 1.60875e-14 
4.17500e-01, 4.05234e+09, -4.24461e+09, 1.61796e-14 
4.20000e-01, 4.04872e+09, -4.24326e+09, 1.62717e-14 
4.22500e-01, 4.04508e+09, -4.24191e+09, 1.63637e-14 
4.25000e-01, 4.04142e+09, -4.24054e+09, 1.64557e-14 
4.27500e-01, 4.03774e+09, -4.23917e+09, 1.65475e-14 
4.30000e-01, 4.03404e+09, -4.23779e+09, 1.66392e-14 
4.32500e-01, 4.03032e+09, -4.23640e+09, 1.67309e-14 
4.35000e-01, 4.02657e+09, -4.23501e+09, 1.68225e-14 
4.37500e-01, 4.02281e+09, -4.23360e+09, 1.69140e-14 
4.40000e-01, 4.01903e+09, -4.23219e+09, 1.70054e-14 
4.42500e-01, 4.01522e+09, -4.23077e+09, 1.70967e-14 
4.45000e-01, 4.01140e+09, -4.22935e+09, 1.71879e-14 
4.47500e-01, 4.00756e+09, -4.22791e+09, 1.72790e-14 
4.50000e-01, 4.00369e+09, -4.22647e+09, 1.73700e-14 
4.52500e-01, 3.99981e+09, -4.22502e+09, 1.74610e-14 
4.55000e-01, 3.99590e+09, -4.22356e+09, 1.75519e-14 
4.57500e-01, 3.99198e+09, -4.22210e+09, 1.76426e-14 
4.60000e-01, 3.98803e+09, -4.22063e+09, 1.77333e-14 
4.62500e-01, 3.98407e+09, -4.21915e+09, 1.78239e-14 
4.65000e-01, 3.98009e+09, -4.21766e+09, 1.79144e-14 
4.67500e-01, 3.97608e+09, -4.21616e+09, 1.80048e-14 
4.70000e-01, 3.97206e+09, -4.21466e+09, 1.80951e-14 
4.72500e-01, 3.96801e+09, -4.21315e+09, 1.81853e-14 
4.75000e-01, 3.96395e+09, -4.21163e+09, 1.82754e-14 
4.77500e-01, 3.95986e+09, -4.21010e+09, 1.83654e-14 
4.80000e-01, 3.95576e+09, -4.20857e+09, 1.84553e-14 
4.82500e-01, 3.95163e+09, -4.20703e+09, 1.85451e-14 
4.85000e-01, 3.94749e+09, -4.20548e+09, 1.86349e-14 
4.87500e-01, 3.94332e+09, -4.20392e+09, 1.87245e-14 
4.90000e-01, 3.93914e+09, -4.20236e+09, 1.88140e-14 
4.92500e-01, 3.93494e+09, -4.20079e+09, 1.89035e-14 
4.95000e-01, 3.93071e+09, -4.19921e+09, 1.89928e-14 
4.97500e-01, 3.92647e+09, -4.19762e+09, 1.90821e-14 
5.00000e-01, 3.92221e+09, -4.19602e+09, 1.91712e-14 
5.02500e-01, 3.91792e+09, -4.19442e+09, 1.92602e-14 
5.05000e-01, 3.91362e+09, -4.19281e+09, 1.93492e-14 
5.07500e-01, 3.90930e+09, -4.19119e+09, 1.94380e-14 
5.10000e-01, 3.90496e+09, -4.18957e+09, 1.95267e-14 
5.12500e-01, 3.90060e+09, -4.18794e+09, 1.96154e-14 
5.15000e-01, 3.89622e+09, -4.18630e+09, 1.97039e-14 
5.17500e-01, 3.89182e+09, -4.18465e+09, 1.97923e-14 
5.20000e-01, 3.88740e+09, -4.18299e+09, 1.98807e-14 
5.22500e-01, 3.88296e+09, -4.18133e+09, 1.99689e-14 
5.25000e-01, 3.87850e+09, -4.17966e+09, 2.00570e-14 
5.27500e-01, 3.87402e+09, -4.17798e+09, 2.01450e-14 
5.30000e-01, 3.86952e+09, -4.17629e+09, 2.02329e-14 
5.32500e-01, 3.86501e+09, -4.17460e+09, 2.03207e-14 
5.35000e-01, 3.86047e+09, -4.17290e+09, 2.04084e-14 
5.37500e-01, 3.85591e+09, -4.17119e+09, 2.04960e-14 
5.40000e-01, 3.85134e+09, -4.16948e+09, 2.05835e-14 
5.42500e-01, 3.84675e+09, -4.16775e+09, 2.06709e-14 
5.45000e-01, 3.84213e+09, -4.16602e+09, 2.07582e-14 
5.47500e-01, 3.83750e+09, -4.16429e+09, 2.08453e-14 
5.50000e-01, 3.83285e+09, -4.16254e+09, 2.09324e-14 
5.52500e-01, 3.82818e+09, -4.16079e+09, 2.10193e-14 
5.55000e-01, 3.82349e+09, -4.15903e+09, 2.11062e-14 
5.57500e-01, 3.81878e+09, -4.15726e+09, 2.11929e-14 
5.60000e-01, 3.81405e+09, -4.15548e+09, 2.12795e-14 
5.62500e-01, 3.80930e+09, -4.15370e+09, 2.13660e-14 
5.65000e-01, 3.80453e+09, -4.15191e+09, 2.14524e-14 
5.67500e-01, 3.79975e+09, -4.15011e+09, 2.15387e-14 
5.70000e-01, 3.79494e+09, -4.14831e+09, 2.16248e-14 
5.72500e-01, 3.79012e+09, -4.14650e+09, 2.17109e-14 
5.75000e-01, 3.78528e+09, -4.14468e+09, 2.17968e-14 
5.77500e-01, 3.78042e+09, -4.14285e+09, 2.18827e-14 
5.80000e-01, 3.77554e+09, -4.14101e+09, 2.19684e-14 
5.82500e-01, 3.77064e+09, -4.13917e+09, 2.20540e-14 
5.85000e-01, 3.76572e+09, -4.13732e+09, 2.21395e-14 
5.87500e-01, 3.76078e+09, -4.13546e+09, 2.22248e-14 
5.90000e-01, 3.75583e+09, -4.13360e+09, 2.23101e-14 
5.92500e-01, 3.75085e+09, -4.13173e+09, 2.23952e-14 
5.95000e-01, 3.74586e+09, -4.12985e+09, 2.24803e-14 
5.97500e-01, 3.74085e+09, -4.12796e+09, 2.25652e-14 
6.00000e-01, 3.73582e+09, -4.12607e+09, 2.26500e-14 
6.02500e-01, 3.73077e+09, -4.12417e+09, 2.27346e-14 
6.05000e-01, 3.72570e+09, -4.12226e+09, 2.28192e-14 
6.07500e-01, 3.72062e+09, -4.12035e+09, 2.29036e-14 
6.10000e-01, 3.71551e+09, -4.11842e+09, 2.29879e-14 
6.12500e-01, 3.71039e+09, -4.11649e+09, 2.30721e-14 
6.15000e-01, 3.70525e+09, -4.11455e+09, 2.31562e-14 
6.17500e-01, 3.70009e+09, -4.11261e+09, 2.32402e-14 
6.20000e-01, 3.69491e+09, -4.11066e+09, 2.33240e-14 
6.22500e-01, 3.68971e+09, -4.10870e+09, 2.34077e-14 
6.25000e-01, 3.68450e+09, -4.10673e+09, 2.34913e-14 
6.27500e-01, 3.67926e+09, -4.10476e+09, 2.35748e-14 
6.30000e-01, 3.67401e+09, -4.10278e+09, 2.36581e-14 
6.32500e-01, 3.66874e+09, -4.10079e+09, 2.37413e-14 
6.35000e-01, 3.66345e+09, -4.09879e+09, 2.38244e-14 
6.37500e-01, 3.65815e+09, -4.09679e+09, 2.39074e-14 
6.40000e-01, 3.65282e+09, -4.09478e+09, 2.39903e-14 
6.42500e-01, 3.64748e+09, -4.09276e+09, 2.40730e-14 
6.45000e-01, 3.64212e+09, -4.09074e+09, 2.41556e-14 
6.47500e-01, 3.63674e+09, -4.08871e+09, 2.42381e-14 
6.50000e-01, 3.63134e+09, -4.08667e+09, 2.43204e-14 
6.52500e-01, 3.62593e+09, -4.08462e+09, 2.44026e-14 
6.55000e-01, 3.62049e+09, -4.08257e+09, 2.44847e-14 
6.57500e-01, 3.61504e+09, -4.08051e+09, 2.45667e-14 
6.60000e-01, 3.60957e+09, -4.07844e+09, 2.46486e-14 
6.62500e-01, 3.60409e+09, -4.07637e+09, 2.47303e-14 
6.65000e-01, 3.59858e+09, -4.07428e+09, 2.48119e-14 
6.67500e-01, 3.59306e+09, -4.07219e+09, 2.48933e-14 
6.70000e-01, 3.58752e+09, -4.07010e+09, 2.49746e-14 
6.72500e-01, 3.58196e+09, -4.06799e+09, 2.50558e-14 
6.75000e-01, 3.57639e+09, -4.06588e+09, 2.51369e-14 
6.77500e-01, 3.57079e+09, -4.06377e+09, 2.52178e-14 
6.80000e-01, 3.56518e+09, -4.06164e+09, 2.52986e-14 
6.82500e-01, 3.55955e+09, -4.05951e+09, 2.53793e-14 
6.85000e-01, 3.55391e+09, -4.05737e+09, 2.54599e-14 
6.87500e-01, 3.54824e+09, -4.05523e+09, 2.55403e-14 
6.90000e-01, 3.54256e+09, -4.05307e+09, 2.56205e-14 
6.92500e-01, 3.53686e+09, -4.05091e+09, 2.57007e-14 
6.95000e-01, 3.53115e+09, -4.04875e+09, 2.57807e-14 
6.97500e-01, 3.52541e+09, -4.04657e+09, 2.58606e-14 
7.00000e-01, 3.51966e+09, -4.04439e+09, 2.59403e-14 
7.02500e-01, 3.51389e+09, -4.04220e+09, 2.60199e-14 
7.05000e-01, 3.50811e+09, -4.04001e+09, 2.60994e-14 
7.07500e-01, 3.50230e+09, -4.03780e+09, 2.61787e-14 
7.10000e-01, 3.49648e+09, -4.03560e+09, 2.62579e-14 
7.12500e-01, 3.49065e+09, -4.03338e+09, 2.63370e-14 
7.15000e-01, 3.48479e+09, -4.03116e+09, 2.64159e-14 
7.17500e-01, 3.47892e+09, -4.02893e+09, 2.64947e-14 
7.20000e-01, 3.47303e+09, -4.02669e+09, 2.65734e-14 
7.22500e-01, 3.46712e+09, -4.02444e+09, 2.66519e-14 
7.25000e-01, 3.46120e+09, -4.02219e+09, 2.67303e-14 
7.27500e-01, 3.45526e+09, -4.01994e+09, 2.68085e-14 
