r(m), B_r(T), B_theta(T), B_z(T) 
2.20000e-01, 2.07639e+00, 1.49068e+00, -2.15615e+00 
2.22500e-01, 2.06950e+00, 1.47167e+00, -2.17354e+00 
2.25000e-01, 2.06254e+00, 1.45252e+00, -2.19069e+00 
2.27500e-01, 2.05552e+00, 1.43323e+00, -2.20762e+00 
2.30000e-01, 2.04844e+00, 1.41379e+00, -2.22432e+00 
2.32500e-01, 2.04130e+00, 1.39422e+00, -2.24079e+00 
2.35000e-01, 2.03410e+00, 1.37452e+00, -2.25702e+00 
2.37500e-01, 2.02683e+00, 1.35468e+00, -2.27302e+00 
2.40000e-01, 2.01951e+00, 1.33471e+00, -2.28879e+00 
2.42500e-01, 2.01213e+00, 1.31462e+00, -2.30432e+00 
2.45000e-01, 2.00469e+00, 1.29440e+00, -2.31961e+00 
2.47500e-01, 1.99719e+00, 1.27405e+00, -2.33466e+00 
2.50000e-01, 1.98963e+00, 1.25359e+00, -2.34947e+00 
2.52500e-01, 1.98202e+00, 1.23300e+00, -2.36404e+00 
2.55000e-01, 1.97435e+00, 1.21230e+00, -2.37836e+00 
2.57500e-01, 1.96662e+00, 1.19149e+00, -2.39244e+00 
2.60000e-01, 1.95884e+00, 1.17056e+00, -2.40627e+00 
2.62500e-01, 1.95100e+00, 1.14953e+00, -2.41985e+00 
2.65000e-01, 1.94311e+00, 1.12839e+00, -2.43318e+00 
2.67500e-01, 1.93516e+00, 1.10714e+00, -2.44626e+00 
2.70000e-01, 1.92716e+00, 1.08580e+00, -2.45909e+00 
2.72500e-01, 1.91911e+00, 1.06435e+00, -2.47166e+00 
2.75000e-01, 1.91101e+00, 1.04281e+00, -2.48399e+00 
2.77500e-01, 1.90285e+00, 1.02117e+00, -2.49605e+00 
2.80000e-01, 1.89464e+00, 9.99444e-01, -2.50786e+00 
2.82500e-01, 1.88638e+00, 9.77627e-01, -2.51941e+00 
2.85000e-01, 1.87807e+00, 9.55724e-01, -2.53071e+00 
2.87500e-01, 1.86972e+00, 9.33736e-01, -2.54174e+00 
2.90000e-01, 1.86131e+00, 9.11667e-01, -2.55251e+00 
2.92500e-01, 1.85285e+00, 8.89519e-01, -2.56302e+00 
2.95000e-01, 1.84435e+00, 8.67294e-01, -2.57327e+00 
2.97500e-01, 1.83580e+00, 8.44996e-01, -2.58326e+00 
3.00000e-01, 1.82720e+00, 8.22626e-01, -2.59298e+00 
3.02500e-01, 1.81856e+00, 8.00188e-01, -2.60244e+00 
3.05000e-01, 1.80987e+00, 7.77683e-01, -2.61163e+00 
3.07500e-01, 1.80114e+00, 7.55115e-01, -2.62055e+00 
3.10000e-01, 1.79236e+00, 7.32487e-01, -2.62920e+00 
3.12500e-01, 1.78354e+00, 7.09799e-01, -2.63759e+00 
3.15000e-01, 1.77468e+00, 6.87056e-01, -2.64571e+00 
3.17500e-01, 1.76577e+00, 6.64260e-01, -2.65356e+00 
3.20000e-01, 1.75682e+00, 6.41414e-01, -2.66114e+00 
3.22500e-01, 1.74783e+00, 6.18520e-01, -2.66845e+00 
3.25000e-01, 1.73880e+00, 5.95580e-01, -2.67549e+00 
3.27500e-01, 1.72973e+00, 5.72598e-01, -2.68225e+00 
3.30000e-01, 1.72062e+00, 5.49576e-01, -2.68875e+00 
3.32500e-01, 1.71147e+00, 5.26517e-01, -2.69497e+00 
3.35000e-01, 1.70229e+00, 5.03423e-01, -2.70092e+00 
3.37500e-01, 1.69306e+00, 4.80297e-01, -2.70659e+00 
3.40000e-01, 1.68380e+00, 4.57142e-01, -2.71200e+00 
3.42500e-01, 1.67450e+00, 4.33960e-01, -2.71712e+00 
3.45000e-01, 1.66517e+00, 4.10754e-01, -2.72198e+00 
3.47500e-01, 1.65580e+00, 3.87527e-01, -2.72655e+00 
3.50000e-01, 1.64640e+00, 3.64281e-01, -2.73086e+00 
3.52500e-01, 1.63696e+00, 3.41019e-01, -2.73489e+00 
3.55000e-01, 1.62749e+00, 3.17744e-01, -2.73864e+00 
3.57500e-01, 1.61799e+00, 2.94458e-01, -2.74212e+00 
3.60000e-01, 1.60846e+00, 2.71163e-01, -2.74532e+00 
3.62500e-01, 1.59889e+00, 2.47864e-01, -2.74825e+00 
3.65000e-01, 1.58930e+00, 2.24562e-01, -2.75090e+00 
3.67500e-01, 1.57967e+00, 2.01259e-01, -2.75327e+00 
3.70000e-01, 1.57002e+00, 1.77960e-01, -2.75537e+00 
3.72500e-01, 1.56033e+00, 1.54665e-01, -2.75719e+00 
3.75000e-01, 1.55062e+00, 1.31378e-01, -2.75874e+00 
3.77500e-01, 1.54088e+00, 1.08102e-01, -2.76002e+00 
3.80000e-01, 1.53111e+00, 8.48396e-02, -2.76101e+00 
3.82500e-01, 1.52132e+00, 6.15926e-02, -2.76174e+00 
3.85000e-01, 1.51150e+00, 3.83641e-02, -2.76218e+00 
3.87500e-01, 1.50166e+00, 1.51567e-02, -2.76236e+00 
3.90000e-01, 1.49179e+00, -8.02693e-03, -2.76226e+00 
3.92500e-01, 1.48190e+00, -3.11841e-02, -2.76188e+00 
3.95000e-01, 1.47199e+00, -5.43123e-02, -2.76123e+00 
3.97500e-01, 1.46205e+00, -7.74088e-02, -2.76031e+00 
4.00000e-01, 1.45210e+00, -1.00471e-01, -2.75912e+00 
4.02500e-01, 1.44212e+00, -1.23496e-01, -2.75765e+00 
4.05000e-01, 1.43212e+00, -1.46482e-01, -2.75591e+00 
4.07500e-01, 1.42210e+00, -1.69426e-01, -2.75390e+00 
4.10000e-01, 1.41206e+00, -1.92325e-01, -2.75161e+00 
4.12500e-01, 1.40201e+00, -2.15177e-01, -2.74906e+00 
4.15000e-01, 1.39193e+00, -2.37979e-01, -2.74624e+00 
4.17500e-01, 1.38184e+00, -2.60729e-01, -2.74314e+00 
4.20000e-01, 1.37174e+00, -2.83423e-01, -2.73978e+00 
4.22500e-01, 1.36161e+00, -3.06060e-01, -2.73615e+00 
4.25000e-01, 1.35148e+00, -3.28637e-01, -2.73226e+00 
4.27500e-01, 1.34133e+00, -3.51151e-01, -2.72809e+00 
4.30000e-01, 1.33116e+00, -3.73600e-01, -2.72366e+00 
4.32500e-01, 1.32098e+00, -3.95982e-01, -2.71897e+00 
4.35000e-01, 1.31079e+00, -4.18293e-01, -2.71401e+00 
4.37500e-01, 1.30059e+00, -4.40531e-01, -2.70879e+00 
