r(m), E_r(T), E_theta(T), E_z(T) 
2.20000e-01, 5.31216e+09, -5.39866e+09, 1.22631e-14 
2.22500e-01, 5.30907e+09, -5.39754e+09, 1.24001e-14 
2.25000e-01, 5.30595e+09, -5.39640e+09, 1.25369e-14 
2.27500e-01, 5.30280e+09, -5.39526e+09, 1.26737e-14 
2.30000e-01, 5.29961e+09, -5.39410e+09, 1.28104e-14 
2.32500e-01, 5.29639e+09, -5.39293e+09, 1.29470e-14 
2.35000e-01, 5.29313e+09, -5.39175e+09, 1.30835e-14 
2.37500e-01, 5.28984e+09, -5.39055e+09, 1.32199e-14 
2.40000e-01, 5.28652e+09, -5.38935e+09, 1.33563e-14 
2.42500e-01, 5.28316e+09, -5.38813e+09, 1.34925e-14 
2.45000e-01, 5.27977e+09, -5.38689e+09, 1.36287e-14 
2.47500e-01, 5.27634e+09, -5.38565e+09, 1.37648e-14 
2.50000e-01, 5.27288e+09, -5.38439e+09, 1.39007e-14 
2.52500e-01, 5.26939e+09, -5.38312e+09, 1.40366e-14 
2.55000e-01, 5.26586e+09, -5.38184e+09, 1.41724e-14 
2.57500e-01, 5.26229e+09, -5.38055e+09, 1.43081e-14 
2.60000e-01, 5.25870e+09, -5.37924e+09, 1.44438e-14 
2.62500e-01, 5.25507e+09, -5.37792e+09, 1.45793e-14 
2.65000e-01, 5.25141e+09, -5.37659e+09, 1.47147e-14 
2.67500e-01, 5.24771e+09, -5.37524e+09, 1.48500e-14 
2.70000e-01, 5.24398e+09, -5.37389e+09, 1.49852e-14 
2.72500e-01, 5.24021e+09, -5.37252e+09, 1.51204e-14 
2.75000e-01, 5.23641e+09, -5.37114e+09, 1.52554e-14 
2.77500e-01, 5.23258e+09, -5.36974e+09, 1.53903e-14 
2.80000e-01, 5.22872e+09, -5.36834e+09, 1.55252e-14 
2.82500e-01, 5.22482e+09, -5.36692e+09, 1.56599e-14 
2.85000e-01, 5.22088e+09, -5.36549e+09, 1.57945e-14 
2.87500e-01, 5.21692e+09, -5.36405e+09, 1.59290e-14 
2.90000e-01, 5.21292e+09, -5.36259e+09, 1.60634e-14 
2.92500e-01, 5.20888e+09, -5.36112e+09, 1.61977e-14 
2.95000e-01, 5.20482e+09, -5.35964e+09, 1.63319e-14 
2.97500e-01, 5.20072e+09, -5.35815e+09, 1.64660e-14 
3.00000e-01, 5.19658e+09, -5.35664e+09, 1.66000e-14 
3.02500e-01, 5.19242e+09, -5.35513e+09, 1.67339e-14 
3.05000e-01, 5.18822e+09, -5.35360e+09, 1.68676e-14 
3.07500e-01, 5.18398e+09, -5.35206e+09, 1.70013e-14 
3.10000e-01, 5.17972e+09, -5.35050e+09, 1.71348e-14 
3.12500e-01, 5.17542e+09, -5.34894e+09, 1.72683e-14 
3.15000e-01, 5.17108e+09, -5.34736e+09, 1.74016e-14 
3.17500e-01, 5.16672e+09, -5.34577e+09, 1.75348e-14 
3.20000e-01, 5.16232e+09, -5.34416e+09, 1.76679e-14 
3.22500e-01, 5.15788e+09, -5.34255e+09, 1.78008e-14 
3.25000e-01, 5.15342e+09, -5.34092e+09, 1.79337e-14 
3.27500e-01, 5.14892e+09, -5.33928e+09, 1.80664e-14 
3.30000e-01, 5.14439e+09, -5.33763e+09, 1.81990e-14 
3.32500e-01, 5.13982e+09, -5.33597e+09, 1.83315e-14 
3.35000e-01, 5.13522e+09, -5.33429e+09, 1.84639e-14 
3.37500e-01, 5.13059e+09, -5.33260e+09, 1.85961e-14 
3.40000e-01, 5.12593e+09, -5.33090e+09, 1.87283e-14 
3.42500e-01, 5.12123e+09, -5.32919e+09, 1.88603e-14 
3.45000e-01, 5.11650e+09, -5.32746e+09, 1.89921e-14 
3.47500e-01, 5.11174e+09, -5.32572e+09, 1.91239e-14 
3.50000e-01, 5.10695e+09, -5.32397e+09, 1.92555e-14 
3.52500e-01, 5.10212e+09, -5.32221e+09, 1.93870e-14 
3.55000e-01, 5.09726e+09, -5.32044e+09, 1.95184e-14 
3.57500e-01, 5.09236e+09, -5.31865e+09, 1.96497e-14 
3.60000e-01, 5.08744e+09, -5.31686e+09, 1.97808e-14 
3.62500e-01, 5.08248e+09, -5.31504e+09, 1.99118e-14 
3.65000e-01, 5.07749e+09, -5.31322e+09, 2.00426e-14 
3.67500e-01, 5.07247e+09, -5.31139e+09, 2.01733e-14 
3.70000e-01, 5.06741e+09, -5.30954e+09, 2.03039e-14 
3.72500e-01, 5.06232e+09, -5.30768e+09, 2.04344e-14 
3.75000e-01, 5.05720e+09, -5.30581e+09, 2.05647e-14 
3.77500e-01, 5.05205e+09, -5.30393e+09, 2.06949e-14 
3.80000e-01, 5.04687e+09, -5.30203e+09, 2.08250e-14 
3.82500e-01, 5.04165e+09, -5.30013e+09, 2.09549e-14 
3.85000e-01, 5.03640e+09, -5.29821e+09, 2.10847e-14 
3.87500e-01, 5.03112e+09, -5.29628e+09, 2.12143e-14 
3.90000e-01, 5.02580e+09, -5.29433e+09, 2.13438e-14 
3.92500e-01, 5.02046e+09, -5.29238e+09, 2.14732e-14 
3.95000e-01, 5.01508e+09, -5.29041e+09, 2.16024e-14 
3.97500e-01, 5.00967e+09, -5.28843e+09, 2.17314e-14 
4.00000e-01, 5.00423e+09, -5.28644e+09, 2.18604e-14 
4.02500e-01, 4.99875e+09, -5.28444e+09, 2.19892e-14 
4.05000e-01, 4.99325e+09, -5.28242e+09, 2.21178e-14 
