r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.64688e+00, 2.64688e+00, -0.00000e+00 
2.50000e-03, 2.64687e+00, 2.64685e+00, -1.45306e-02 
5.00000e-03, 2.64683e+00, 2.64675e+00, -2.90607e-02 
7.50000e-03, 2.64676e+00, 2.64658e+00, -4.35901e-02 
1.00000e-02, 2.64666e+00, 2.64634e+00, -5.81183e-02 
1.25000e-02, 2.64653e+00, 2.64603e+00, -7.26449e-02 
1.50000e-02, 2.64638e+00, 2.64566e+00, -8.71695e-02 
1.75000e-02, 2.64619e+00, 2.64522e+00, -1.01692e-01 
2.00000e-02, 2.64598e+00, 2.64471e+00, -1.16211e-01 
2.25000e-02, 2.64574e+00, 2.64413e+00, -1.30727e-01 
2.50000e-02, 2.64548e+00, 2.64348e+00, -1.45240e-01 
2.75000e-02, 2.64518e+00, 2.64277e+00, -1.59749e-01 
3.00000e-02, 2.64486e+00, 2.64199e+00, -1.74253e-01 
3.25000e-02, 2.64451e+00, 2.64114e+00, -1.88753e-01 
3.50000e-02, 2.64413e+00, 2.64022e+00, -2.03248e-01 
3.75000e-02, 2.64372e+00, 2.63924e+00, -2.17737e-01 
4.00000e-02, 2.64328e+00, 2.63818e+00, -2.32220e-01 
4.25000e-02, 2.64282e+00, 2.63706e+00, -2.46697e-01 
4.50000e-02, 2.64233e+00, 2.63587e+00, -2.61167e-01 
4.75000e-02, 2.64181e+00, 2.63462e+00, -2.75629e-01 
5.00000e-02, 2.64126e+00, 2.63329e+00, -2.90085e-01 
5.25000e-02, 2.64068e+00, 2.63190e+00, -3.04532e-01 
5.50000e-02, 2.64008e+00, 2.63044e+00, -3.18972e-01 
5.75000e-02, 2.63945e+00, 2.62892e+00, -3.33402e-01 
6.00000e-02, 2.63879e+00, 2.62732e+00, -3.47824e-01 
6.25000e-02, 2.63810e+00, 2.62566e+00, -3.62236e-01 
6.50000e-02, 2.63739e+00, 2.62393e+00, -3.76638e-01 
6.75000e-02, 2.63664e+00, 2.62214e+00, -3.91029e-01 
7.00000e-02, 2.63587e+00, 2.62027e+00, -4.05411e-01 
7.25000e-02, 2.63507e+00, 2.61834e+00, -4.19781e-01 
7.50000e-02, 2.63424e+00, 2.61634e+00, -4.34140e-01 
7.75000e-02, 2.63339e+00, 2.61428e+00, -4.48486e-01 
8.00000e-02, 2.63250e+00, 2.61215e+00, -4.62821e-01 
8.25000e-02, 2.63159e+00, 2.60995e+00, -4.77143e-01 
8.50000e-02, 2.63065e+00, 2.60768e+00, -4.91452e-01 
8.75000e-02, 2.62969e+00, 2.60535e+00, -5.05748e-01 
9.00000e-02, 2.62869e+00, 2.60295e+00, -5.20030e-01 
9.25000e-02, 2.62767e+00, 2.60048e+00, -5.34298e-01 
9.50000e-02, 2.62662e+00, 2.59795e+00, -5.48551e-01 
9.75000e-02, 2.62554e+00, 2.59535e+00, -5.62789e-01 
1.00000e-01, 2.62444e+00, 2.59269e+00, -5.77012e-01 
1.02500e-01, 2.62331e+00, 2.58995e+00, -5.91220e-01 
1.05000e-01, 2.62215e+00, 2.58715e+00, -6.05411e-01 
1.07500e-01, 2.62096e+00, 2.58429e+00, -6.19585e-01 
1.10000e-01, 2.61974e+00, 2.58136e+00, -6.33743e-01 
1.12500e-01, 2.61850e+00, 2.57836e+00, -6.47884e-01 
1.15000e-01, 2.61723e+00, 2.57530e+00, -6.62007e-01 
1.17500e-01, 2.61593e+00, 2.57217e+00, -6.76112e-01 
1.20000e-01, 2.61460e+00, 2.56898e+00, -6.90198e-01 
1.22500e-01, 2.61325e+00, 2.56571e+00, -7.04266e-01 
1.25000e-01, 2.61187e+00, 2.56239e+00, -7.18315e-01 
1.27500e-01, 2.61046e+00, 2.55900e+00, -7.32344e-01 
1.30000e-01, 2.60902e+00, 2.55554e+00, -7.46353e-01 
1.32500e-01, 2.60756e+00, 2.55202e+00, -7.60341e-01 
1.35000e-01, 2.60607e+00, 2.54843e+00, -7.74310e-01 
1.37500e-01, 2.60455e+00, 2.54478e+00, -7.88257e-01 
1.40000e-01, 2.60301e+00, 2.54106e+00, -8.02182e-01 
1.42500e-01, 2.60144e+00, 2.53728e+00, -8.16086e-01 
1.45000e-01, 2.59984e+00, 2.53343e+00, -8.29968e-01 
1.47500e-01, 2.59821e+00, 2.52952e+00, -8.43827e-01 
1.50000e-01, 2.59656e+00, 2.52554e+00, -8.57663e-01 
1.52500e-01, 2.59488e+00, 2.52150e+00, -8.71476e-01 
1.55000e-01, 2.59317e+00, 2.51740e+00, -8.85265e-01 
1.57500e-01, 2.59143e+00, 2.51323e+00, -8.99030e-01 
1.60000e-01, 2.58967e+00, 2.50900e+00, -9.12770e-01 
1.62500e-01, 2.58788e+00, 2.50470e+00, -9.26486e-01 
1.65000e-01, 2.58607e+00, 2.50034e+00, -9.40176e-01 
