k, beta 
7.46198e-02, 9.68851e+00 
2.73399e-01, 2.00000e-02 
1.82589e-01, 3.00000e-02 
1.37281e-01, 4.00000e-02 
1.10173e-01, 5.00000e-02 
9.21663e-02, 6.00000e-02 
7.93595e-02, 7.00000e-02 
6.98029e-02, 8.00000e-02 
6.24130e-02, 9.00000e-02 
5.65399e-02, 1.00000e-01 
5.17698e-02, 1.10000e-01 
4.78270e-02, 1.20000e-01 
4.45207e-02, 1.30000e-01 
4.17143e-02, 1.40000e-01 
3.93080e-02, 1.50000e-01 
3.72266e-02, 1.60000e-01 
3.54130e-02, 1.70000e-01 
3.38223e-02, 1.80000e-01 
3.24196e-02, 1.90000e-01 
3.11764e-02, 2.00000e-01 
3.00701e-02, 2.10000e-01 
2.90820e-02, 2.20000e-01 
2.81967e-02, 2.30000e-01 
2.74013e-02, 2.40000e-01 
2.66850e-02, 2.50000e-01 
2.60388e-02, 2.60000e-01 
2.54547e-02, 2.70000e-01 
2.49262e-02, 2.80000e-01 
2.44476e-02, 2.90000e-01 
2.40137e-02, 3.00000e-01 
2.36204e-02, 3.10000e-01 
2.32637e-02, 3.20000e-01 
2.29404e-02, 3.30000e-01 
2.26475e-02, 3.40000e-01 
2.23824e-02, 3.50000e-01 
2.21429e-02, 3.60000e-01 
2.19267e-02, 3.70000e-01 
2.17321e-02, 3.80000e-01 
2.15574e-02, 3.90000e-01 
2.14012e-02, 4.00000e-01 
2.12620e-02, 4.10000e-01 
2.11387e-02, 4.20000e-01 
2.10301e-02, 4.30000e-01 
2.09353e-02, 4.40000e-01 
2.08533e-02, 4.50000e-01 
2.07833e-02, 4.60000e-01 
2.07245e-02, 4.70000e-01 
2.06762e-02, 4.80000e-01 
2.06378e-02, 4.90000e-01 
2.06087e-02, 5.00000e-01 
2.05884e-02, 5.10000e-01 
2.05763e-02, 5.20000e-01 
2.05719e-02, 5.30000e-01 
2.05749e-02, 5.40000e-01 
2.05848e-02, 5.50000e-01 
2.06013e-02, 5.60000e-01 
2.06240e-02, 5.70000e-01 
2.06526e-02, 5.80000e-01 
2.06868e-02, 5.90000e-01 
2.07263e-02, 6.00000e-01 
2.07709e-02, 6.10000e-01 
2.08203e-02, 6.20000e-01 
2.08743e-02, 6.30000e-01 
2.09326e-02, 6.40000e-01 
2.09951e-02, 6.50000e-01 
2.10616e-02, 6.60000e-01 
2.11319e-02, 6.70000e-01 
2.12058e-02, 6.80000e-01 
2.12832e-02, 6.90000e-01 
2.13639e-02, 7.00000e-01 
2.14478e-02, 7.10000e-01 
2.15348e-02, 7.20000e-01 
2.16247e-02, 7.30000e-01 
2.17174e-02, 7.40000e-01 
2.18128e-02, 7.50000e-01 
2.19107e-02, 7.60000e-01 
2.20112e-02, 7.70000e-01 
2.21140e-02, 7.80000e-01 
2.22192e-02, 7.90000e-01 
2.23266e-02, 8.00000e-01 
2.24361e-02, 8.10000e-01 
2.25476e-02, 8.20000e-01 
2.26612e-02, 8.30000e-01 
2.27766e-02, 8.40000e-01 
2.28939e-02, 8.50000e-01 
2.30130e-02, 8.60000e-01 
2.31338e-02, 8.70000e-01 
2.32562e-02, 8.80000e-01 
2.33803e-02, 8.90000e-01 
2.35059e-02, 9.00000e-01 
2.36330e-02, 9.10000e-01 
2.37615e-02, 9.20000e-01 
2.38915e-02, 9.30000e-01 
2.40228e-02, 9.40000e-01 
2.41554e-02, 9.50000e-01 
2.42893e-02, 9.60000e-01 
2.44244e-02, 9.70000e-01 
2.45607e-02, 9.80000e-01 
2.46982e-02, 9.90000e-01 
2.48368e-02, 1.00000e+00 
2.49765e-02, 1.01000e+00 
2.51173e-02, 1.02000e+00 
2.52591e-02, 1.03000e+00 
2.54019e-02, 1.04000e+00 
2.55457e-02, 1.05000e+00 
2.56904e-02, 1.06000e+00 
2.58360e-02, 1.07000e+00 
2.59825e-02, 1.08000e+00 
2.61299e-02, 1.09000e+00 
2.62781e-02, 1.10000e+00 
2.64272e-02, 1.11000e+00 
2.65770e-02, 1.12000e+00 
2.67276e-02, 1.13000e+00 
2.68790e-02, 1.14000e+00 
2.70311e-02, 1.15000e+00 
2.71840e-02, 1.16000e+00 
2.73375e-02, 1.17000e+00 
2.74917e-02, 1.18000e+00 
2.76466e-02, 1.19000e+00 
2.78021e-02, 1.20000e+00 
2.79583e-02, 1.21000e+00 
2.81151e-02, 1.22000e+00 
2.82724e-02, 1.23000e+00 
2.84304e-02, 1.24000e+00 
2.85889e-02, 1.25000e+00 
2.87480e-02, 1.26000e+00 
2.89077e-02, 1.27000e+00 
2.90679e-02, 1.28000e+00 
2.92286e-02, 1.29000e+00 
2.93898e-02, 1.30000e+00 
2.95515e-02, 1.31000e+00 
2.97137e-02, 1.32000e+00 
2.98763e-02, 1.33000e+00 
3.00395e-02, 1.34000e+00 
3.02030e-02, 1.35000e+00 
3.03671e-02, 1.36000e+00 
3.05315e-02, 1.37000e+00 
3.06964e-02, 1.38000e+00 
3.08617e-02, 1.39000e+00 
3.10274e-02, 1.40000e+00 
3.11935e-02, 1.41000e+00 
3.13600e-02, 1.42000e+00 
3.15269e-02, 1.43000e+00 
3.16941e-02, 1.44000e+00 
3.18618e-02, 1.45000e+00 
3.20297e-02, 1.46000e+00 
3.21981e-02, 1.47000e+00 
3.23667e-02, 1.48000e+00 
3.25357e-02, 1.49000e+00 
3.27051e-02, 1.50000e+00 
3.28747e-02, 1.51000e+00 
3.30447e-02, 1.52000e+00 
3.32150e-02, 1.53000e+00 
3.33856e-02, 1.54000e+00 
3.35565e-02, 1.55000e+00 
3.37277e-02, 1.56000e+00 
3.38991e-02, 1.57000e+00 
3.40709e-02, 1.58000e+00 
3.42429e-02, 1.59000e+00 
3.44152e-02, 1.60000e+00 
3.45878e-02, 1.61000e+00 
3.47606e-02, 1.62000e+00 
3.49337e-02, 1.63000e+00 
3.51071e-02, 1.64000e+00 
3.52806e-02, 1.65000e+00 
3.54545e-02, 1.66000e+00 
3.56285e-02, 1.67000e+00 
3.58028e-02, 1.68000e+00 
3.59774e-02, 1.69000e+00 
3.61521e-02, 1.70000e+00 
3.63271e-02, 1.71000e+00 
3.65023e-02, 1.72000e+00 
3.66777e-02, 1.73000e+00 
3.68534e-02, 1.74000e+00 
3.70292e-02, 1.75000e+00 
3.72052e-02, 1.76000e+00 
3.73815e-02, 1.77000e+00 
3.75579e-02, 1.78000e+00 
3.77345e-02, 1.79000e+00 
3.79114e-02, 1.80000e+00 
3.80884e-02, 1.81000e+00 
3.82656e-02, 1.82000e+00 
3.84429e-02, 1.83000e+00 
3.86205e-02, 1.84000e+00 
3.87982e-02, 1.85000e+00 
3.89761e-02, 1.86000e+00 
3.91542e-02, 1.87000e+00 
3.93324e-02, 1.88000e+00 
3.95108e-02, 1.89000e+00 
3.96894e-02, 1.90000e+00 
3.98681e-02, 1.91000e+00 
4.00470e-02, 1.92000e+00 
4.02260e-02, 1.93000e+00 
4.04052e-02, 1.94000e+00 
4.05845e-02, 1.95000e+00 
4.07640e-02, 1.96000e+00 
4.09436e-02, 1.97000e+00 
4.11234e-02, 1.98000e+00 
4.13033e-02, 1.99000e+00 
4.14833e-02, 2.00000e+00 
4.16635e-02, 2.01000e+00 
4.18438e-02, 2.02000e+00 
4.20243e-02, 2.03000e+00 
4.22049e-02, 2.04000e+00 
4.23856e-02, 2.05000e+00 
4.25664e-02, 2.06000e+00 
4.27474e-02, 2.07000e+00 
4.29285e-02, 2.08000e+00 
4.31097e-02, 2.09000e+00 
4.32910e-02, 2.10000e+00 
4.34724e-02, 2.11000e+00 
4.36540e-02, 2.12000e+00 
4.38357e-02, 2.13000e+00 
4.40175e-02, 2.14000e+00 
4.41994e-02, 2.15000e+00 
4.43814e-02, 2.16000e+00 
4.45635e-02, 2.17000e+00 
4.47457e-02, 2.18000e+00 
4.49280e-02, 2.19000e+00 
4.51105e-02, 2.20000e+00 
4.52930e-02, 2.21000e+00 
4.54756e-02, 2.22000e+00 
4.56584e-02, 2.23000e+00 
4.58412e-02, 2.24000e+00 
4.60242e-02, 2.25000e+00 
4.62072e-02, 2.26000e+00 
4.63903e-02, 2.27000e+00 
4.65735e-02, 2.28000e+00 
4.67568e-02, 2.29000e+00 
4.69402e-02, 2.30000e+00 
4.71237e-02, 2.31000e+00 
4.73073e-02, 2.32000e+00 
4.74910e-02, 2.33000e+00 
4.76747e-02, 2.34000e+00 
4.78585e-02, 2.35000e+00 
4.80425e-02, 2.36000e+00 
4.82265e-02, 2.37000e+00 
4.84106e-02, 2.38000e+00 
4.85947e-02, 2.39000e+00 
4.87790e-02, 2.40000e+00 
4.89633e-02, 2.41000e+00 
4.91477e-02, 2.42000e+00 
4.93322e-02, 2.43000e+00 
4.95167e-02, 2.44000e+00 
4.97014e-02, 2.45000e+00 
4.98861e-02, 2.46000e+00 
5.00709e-02, 2.47000e+00 
5.02557e-02, 2.48000e+00 
5.04406e-02, 2.49000e+00 
5.06256e-02, 2.50000e+00 
5.08107e-02, 2.51000e+00 
5.09958e-02, 2.52000e+00 
5.11810e-02, 2.53000e+00 
5.13663e-02, 2.54000e+00 
5.15516e-02, 2.55000e+00 
5.17370e-02, 2.56000e+00 
5.19225e-02, 2.57000e+00 
5.21080e-02, 2.58000e+00 
5.22936e-02, 2.59000e+00 
5.24793e-02, 2.60000e+00 
5.26650e-02, 2.61000e+00 
5.28508e-02, 2.62000e+00 
5.30366e-02, 2.63000e+00 
5.32225e-02, 2.64000e+00 
5.34085e-02, 2.65000e+00 
5.35945e-02, 2.66000e+00 
5.37806e-02, 2.67000e+00 
5.39667e-02, 2.68000e+00 
5.41529e-02, 2.69000e+00 
5.43392e-02, 2.70000e+00 
5.45255e-02, 2.71000e+00 
5.47118e-02, 2.72000e+00 
5.48982e-02, 2.73000e+00 
5.50847e-02, 2.74000e+00 
5.52712e-02, 2.75000e+00 
5.54578e-02, 2.76000e+00 
5.56444e-02, 2.77000e+00 
5.58311e-02, 2.78000e+00 
5.60178e-02, 2.79000e+00 
5.62046e-02, 2.80000e+00 
5.63914e-02, 2.81000e+00 
5.65783e-02, 2.82000e+00 
5.67652e-02, 2.83000e+00 
5.69522e-02, 2.84000e+00 
5.71392e-02, 2.85000e+00 
5.73263e-02, 2.86000e+00 
5.75134e-02, 2.87000e+00 
5.77006e-02, 2.88000e+00 
5.78878e-02, 2.89000e+00 
5.80750e-02, 2.90000e+00 
5.82623e-02, 2.91000e+00 
5.84497e-02, 2.92000e+00 
5.86370e-02, 2.93000e+00 
5.88245e-02, 2.94000e+00 
5.90119e-02, 2.95000e+00 
5.91995e-02, 2.96000e+00 
5.93870e-02, 2.97000e+00 
5.95746e-02, 2.98000e+00 
5.97622e-02, 2.99000e+00 
5.99499e-02, 3.00000e+00 
6.01376e-02, 3.01000e+00 
6.03254e-02, 3.02000e+00 
6.05132e-02, 3.03000e+00 
6.07010e-02, 3.04000e+00 
6.08889e-02, 3.05000e+00 
6.10768e-02, 3.06000e+00 
6.12648e-02, 3.07000e+00 
6.14528e-02, 3.08000e+00 
6.16408e-02, 3.09000e+00 
6.18289e-02, 3.10000e+00 
6.20170e-02, 3.11000e+00 
6.22051e-02, 3.12000e+00 
6.23933e-02, 3.13000e+00 
6.25815e-02, 3.14000e+00 
6.27697e-02, 3.15000e+00 
6.29580e-02, 3.16000e+00 
6.31463e-02, 3.17000e+00 
6.33347e-02, 3.18000e+00 
6.35231e-02, 3.19000e+00 
