k, beta 
2.39603e-01, 1.78000e+00 
2.39230e-01, 1.79000e+00 
2.38868e-01, 1.80000e+00 
2.38514e-01, 1.81000e+00 
2.38170e-01, 1.82000e+00 
2.37834e-01, 1.83000e+00 
2.37508e-01, 1.84000e+00 
2.37190e-01, 1.85000e+00 
2.36881e-01, 1.86000e+00 
2.36581e-01, 1.87000e+00 
2.36289e-01, 1.88000e+00 
2.36005e-01, 1.89000e+00 
2.35729e-01, 1.90000e+00 
2.35461e-01, 1.91000e+00 
2.35201e-01, 1.92000e+00 
2.34949e-01, 1.93000e+00 
2.34704e-01, 1.94000e+00 
2.34467e-01, 1.95000e+00 
2.34237e-01, 1.96000e+00 
2.34014e-01, 1.97000e+00 
2.33799e-01, 1.98000e+00 
2.33590e-01, 1.99000e+00 
2.33389e-01, 2.00000e+00 
2.33194e-01, 2.01000e+00 
2.33006e-01, 2.02000e+00 
2.32825e-01, 2.03000e+00 
2.32650e-01, 2.04000e+00 
2.32481e-01, 2.05000e+00 
2.32319e-01, 2.06000e+00 
2.32163e-01, 2.07000e+00 
2.32014e-01, 2.08000e+00 
2.31870e-01, 2.09000e+00 
2.31732e-01, 2.10000e+00 
2.31601e-01, 2.11000e+00 
2.31475e-01, 2.12000e+00 
2.31355e-01, 2.13000e+00 
2.31240e-01, 2.14000e+00 
2.31131e-01, 2.15000e+00 
2.31028e-01, 2.16000e+00 
2.30930e-01, 2.17000e+00 
2.30837e-01, 2.18000e+00 
2.30750e-01, 2.19000e+00 
2.30667e-01, 2.20000e+00 
2.30590e-01, 2.21000e+00 
2.30518e-01, 2.22000e+00 
2.30451e-01, 2.23000e+00 
2.30389e-01, 2.24000e+00 
2.30332e-01, 2.25000e+00 
2.30279e-01, 2.26000e+00 
2.30231e-01, 2.27000e+00 
2.30188e-01, 2.28000e+00 
2.30150e-01, 2.29000e+00 
2.30116e-01, 2.30000e+00 
2.30087e-01, 2.31000e+00 
2.30062e-01, 2.32000e+00 
2.30041e-01, 2.33000e+00 
2.30025e-01, 2.34000e+00 
2.30013e-01, 2.35000e+00 
2.30005e-01, 2.36000e+00 
2.30001e-01, 2.37000e+00 
2.30001e-01, 2.38000e+00 
2.30006e-01, 2.39000e+00 
2.30014e-01, 2.40000e+00 
2.30027e-01, 2.41000e+00 
2.30043e-01, 2.42000e+00 
2.30063e-01, 2.43000e+00 
2.30087e-01, 2.44000e+00 
2.30115e-01, 2.45000e+00 
2.30146e-01, 2.46000e+00 
2.30181e-01, 2.47000e+00 
2.30220e-01, 2.48000e+00 
2.30262e-01, 2.49000e+00 
2.30308e-01, 2.50000e+00 
2.30358e-01, 2.51000e+00 
2.30410e-01, 2.52000e+00 
2.30467e-01, 2.53000e+00 
2.30526e-01, 2.54000e+00 
2.30589e-01, 2.55000e+00 
2.30655e-01, 2.56000e+00 
2.30725e-01, 2.57000e+00 
2.30797e-01, 2.58000e+00 
2.30873e-01, 2.59000e+00 
2.30952e-01, 2.60000e+00 
2.31034e-01, 2.61000e+00 
2.31120e-01, 2.62000e+00 
2.31208e-01, 2.63000e+00 
2.31299e-01, 2.64000e+00 
2.31393e-01, 2.65000e+00 
2.31490e-01, 2.66000e+00 
2.31590e-01, 2.67000e+00 
2.31693e-01, 2.68000e+00 
2.31799e-01, 2.69000e+00 
2.31907e-01, 2.70000e+00 
2.32019e-01, 2.71000e+00 
2.32133e-01, 2.72000e+00 
2.32249e-01, 2.73000e+00 
2.32369e-01, 2.74000e+00 
2.32491e-01, 2.75000e+00 
2.32616e-01, 2.76000e+00 
2.32743e-01, 2.77000e+00 
2.32873e-01, 2.78000e+00 
2.33005e-01, 2.79000e+00 
2.33140e-01, 2.80000e+00 
2.33278e-01, 2.81000e+00 
2.33418e-01, 2.82000e+00 
2.33560e-01, 2.83000e+00 
2.33705e-01, 2.84000e+00 
2.33852e-01, 2.85000e+00 
2.34001e-01, 2.86000e+00 
2.34153e-01, 2.87000e+00 
2.34307e-01, 2.88000e+00 
2.34464e-01, 2.89000e+00 
2.34622e-01, 2.90000e+00 
2.34783e-01, 2.91000e+00 
2.34946e-01, 2.92000e+00 
2.35112e-01, 2.93000e+00 
2.35279e-01, 2.94000e+00 
2.35449e-01, 2.95000e+00 
2.35620e-01, 2.96000e+00 
2.35794e-01, 2.97000e+00 
2.35970e-01, 2.98000e+00 
2.36148e-01, 2.99000e+00 
2.36328e-01, 3.00000e+00 
2.36510e-01, 3.01000e+00 
2.36694e-01, 3.02000e+00 
2.36881e-01, 3.03000e+00 
2.37069e-01, 3.04000e+00 
2.37259e-01, 3.05000e+00 
2.37450e-01, 3.06000e+00 
2.37644e-01, 3.07000e+00 
2.37840e-01, 3.08000e+00 
2.38037e-01, 3.09000e+00 
2.38237e-01, 3.10000e+00 
2.38438e-01, 3.11000e+00 
2.38641e-01, 3.12000e+00 
2.38846e-01, 3.13000e+00 
2.39053e-01, 3.14000e+00 
2.39261e-01, 3.15000e+00 
2.39471e-01, 3.16000e+00 
2.39683e-01, 3.17000e+00 
2.39897e-01, 3.18000e+00 
2.40112e-01, 3.19000e+00 
2.40329e-01, 3.20000e+00 
2.40548e-01, 3.21000e+00 
2.40768e-01, 3.22000e+00 
2.40990e-01, 3.23000e+00 
2.41213e-01, 3.24000e+00 
2.41438e-01, 3.25000e+00 
2.41665e-01, 3.26000e+00 
2.41893e-01, 3.27000e+00 
2.42123e-01, 3.28000e+00 
2.42355e-01, 3.29000e+00 
2.42588e-01, 3.30000e+00 
2.42822e-01, 3.31000e+00 
2.43058e-01, 3.32000e+00 
2.43296e-01, 3.33000e+00 
2.43535e-01, 3.34000e+00 
2.43775e-01, 3.35000e+00 
2.44017e-01, 3.36000e+00 
2.44260e-01, 3.37000e+00 
2.44505e-01, 3.38000e+00 
2.44751e-01, 3.39000e+00 
2.44999e-01, 3.40000e+00 
2.45248e-01, 3.41000e+00 
2.45498e-01, 3.42000e+00 
2.45750e-01, 3.43000e+00 
2.46003e-01, 3.44000e+00 
2.46257e-01, 3.45000e+00 
2.46513e-01, 3.46000e+00 
2.46770e-01, 3.47000e+00 
2.47028e-01, 3.48000e+00 
2.47288e-01, 3.49000e+00 
2.47549e-01, 3.50000e+00 
2.47811e-01, 3.51000e+00 
2.48074e-01, 3.52000e+00 
2.48339e-01, 3.53000e+00 
2.48605e-01, 3.54000e+00 
2.48872e-01, 3.55000e+00 
2.49140e-01, 3.56000e+00 
2.49410e-01, 3.57000e+00 
2.49681e-01, 3.58000e+00 
2.49953e-01, 3.59000e+00 
2.50226e-01, 3.60000e+00 
2.50500e-01, 3.61000e+00 
2.50776e-01, 3.62000e+00 
2.51052e-01, 3.63000e+00 
2.51330e-01, 3.64000e+00 
2.51609e-01, 3.65000e+00 
2.51889e-01, 3.66000e+00 
2.52170e-01, 3.67000e+00 
2.52453e-01, 3.68000e+00 
2.52736e-01, 3.69000e+00 
2.53020e-01, 3.70000e+00 
2.53306e-01, 3.71000e+00 
2.53593e-01, 3.72000e+00 
2.53880e-01, 3.73000e+00 
2.54169e-01, 3.74000e+00 
2.54459e-01, 3.75000e+00 
2.54750e-01, 3.76000e+00 
2.55041e-01, 3.77000e+00 
2.55334e-01, 3.78000e+00 
2.55628e-01, 3.79000e+00 
2.55923e-01, 3.80000e+00 
2.56219e-01, 3.81000e+00 
2.56516e-01, 3.82000e+00 
2.56813e-01, 3.83000e+00 
2.57112e-01, 3.84000e+00 
2.57412e-01, 3.85000e+00 
2.57713e-01, 3.86000e+00 
2.58014e-01, 3.87000e+00 
2.58317e-01, 3.88000e+00 
2.58620e-01, 3.89000e+00 
2.58925e-01, 3.90000e+00 
2.59230e-01, 3.91000e+00 
2.59537e-01, 3.92000e+00 
2.59844e-01, 3.93000e+00 
2.60152e-01, 3.94000e+00 
2.60461e-01, 3.95000e+00 
2.60771e-01, 3.96000e+00 
2.61081e-01, 3.97000e+00 
2.61393e-01, 3.98000e+00 
2.61706e-01, 3.99000e+00 
2.62019e-01, 4.00000e+00 
2.62333e-01, 4.01000e+00 
2.62648e-01, 4.02000e+00 
2.62964e-01, 4.03000e+00 
2.63281e-01, 4.04000e+00 
2.63598e-01, 4.05000e+00 
2.63917e-01, 4.06000e+00 
2.64236e-01, 4.07000e+00 
2.64556e-01, 4.08000e+00 
2.64877e-01, 4.09000e+00 
2.65198e-01, 4.10000e+00 
2.65521e-01, 4.11000e+00 
2.65844e-01, 4.12000e+00 
2.66168e-01, 4.13000e+00 
2.66493e-01, 4.14000e+00 
2.66818e-01, 4.15000e+00 
2.67144e-01, 4.16000e+00 
2.67471e-01, 4.17000e+00 
2.67799e-01, 4.18000e+00 
2.68128e-01, 4.19000e+00 
2.68457e-01, 4.20000e+00 
2.68787e-01, 4.21000e+00 
2.69118e-01, 4.22000e+00 
2.69449e-01, 4.23000e+00 
2.69782e-01, 4.24000e+00 
2.70114e-01, 4.25000e+00 
2.70448e-01, 4.26000e+00 
2.70782e-01, 4.27000e+00 
2.71117e-01, 4.28000e+00 
2.71453e-01, 4.29000e+00 
2.71790e-01, 4.30000e+00 
2.72127e-01, 4.31000e+00 
2.72464e-01, 4.32000e+00 
2.72803e-01, 4.33000e+00 
2.73142e-01, 4.34000e+00 
2.73482e-01, 4.35000e+00 
2.73822e-01, 4.36000e+00 
2.74163e-01, 4.37000e+00 
2.74505e-01, 4.38000e+00 
2.74848e-01, 4.39000e+00 
2.75191e-01, 4.40000e+00 
2.75534e-01, 4.41000e+00 
2.75879e-01, 4.42000e+00 
2.76224e-01, 4.43000e+00 
2.76569e-01, 4.44000e+00 
2.76916e-01, 4.45000e+00 
2.77263e-01, 4.46000e+00 
2.77610e-01, 4.47000e+00 
2.77958e-01, 4.48000e+00 
2.78307e-01, 4.49000e+00 
2.78656e-01, 4.50000e+00 
2.79006e-01, 4.51000e+00 
2.79356e-01, 4.52000e+00 
2.79708e-01, 4.53000e+00 
2.80059e-01, 4.54000e+00 
2.80411e-01, 4.55000e+00 
2.80764e-01, 4.56000e+00 
2.81118e-01, 4.57000e+00 
2.81472e-01, 4.58000e+00 
2.81826e-01, 4.59000e+00 
2.82181e-01, 4.60000e+00 
2.82537e-01, 4.61000e+00 
2.82893e-01, 4.62000e+00 
2.83250e-01, 4.63000e+00 
2.83607e-01, 4.64000e+00 
2.83965e-01, 4.65000e+00 
2.84324e-01, 4.66000e+00 
2.84683e-01, 4.67000e+00 
2.85042e-01, 4.68000e+00 
2.85402e-01, 4.69000e+00 
2.85763e-01, 4.70000e+00 
2.86124e-01, 4.71000e+00 
2.86485e-01, 4.72000e+00 
2.86848e-01, 4.73000e+00 
2.87210e-01, 4.74000e+00 
2.87573e-01, 4.75000e+00 
2.87937e-01, 4.76000e+00 
2.88301e-01, 4.77000e+00 
2.88666e-01, 4.78000e+00 
2.89031e-01, 4.79000e+00 
2.89397e-01, 4.80000e+00 
2.89763e-01, 4.81000e+00 
2.90130e-01, 4.82000e+00 
2.90497e-01, 4.83000e+00 
2.90864e-01, 4.84000e+00 
2.91232e-01, 4.85000e+00 
2.91601e-01, 4.86000e+00 
2.91970e-01, 4.87000e+00 
2.92340e-01, 4.88000e+00 
2.92710e-01, 4.89000e+00 
2.93080e-01, 4.90000e+00 
2.93451e-01, 4.91000e+00 
2.93822e-01, 4.92000e+00 
2.94194e-01, 4.93000e+00 
2.94567e-01, 4.94000e+00 
2.94939e-01, 4.95000e+00 
2.95313e-01, 4.96000e+00 
2.95686e-01, 4.97000e+00 
2.96060e-01, 4.98000e+00 
2.96435e-01, 4.99000e+00 
2.96810e-01, 5.00000e+00 
2.97185e-01, 5.01000e+00 
2.97561e-01, 5.02000e+00 
2.97937e-01, 5.03000e+00 
2.98314e-01, 5.04000e+00 
2.98691e-01, 5.05000e+00 
2.99069e-01, 5.06000e+00 
2.99447e-01, 5.07000e+00 
2.99825e-01, 5.08000e+00 
3.00204e-01, 5.09000e+00 
3.00583e-01, 5.10000e+00 
3.00963e-01, 5.11000e+00 
3.01343e-01, 5.12000e+00 
3.01724e-01, 5.13000e+00 
3.02105e-01, 5.14000e+00 
3.02486e-01, 5.15000e+00 
3.02867e-01, 5.16000e+00 
3.03250e-01, 5.17000e+00 
3.03632e-01, 5.18000e+00 
3.04015e-01, 5.19000e+00 
3.04398e-01, 5.20000e+00 
3.04782e-01, 5.21000e+00 
3.05166e-01, 5.22000e+00 
3.05550e-01, 5.23000e+00 
3.05935e-01, 5.24000e+00 
3.06320e-01, 5.25000e+00 
3.06706e-01, 5.26000e+00 
3.07092e-01, 5.27000e+00 
3.07478e-01, 5.28000e+00 
3.07865e-01, 5.29000e+00 
3.08252e-01, 5.30000e+00 
3.08639e-01, 5.31000e+00 
3.09027e-01, 5.32000e+00 
3.09415e-01, 5.33000e+00 
3.09803e-01, 5.34000e+00 
3.10192e-01, 5.35000e+00 
3.10582e-01, 5.36000e+00 
3.10971e-01, 5.37000e+00 
3.11361e-01, 5.38000e+00 
3.11751e-01, 5.39000e+00 
3.12142e-01, 5.40000e+00 
3.12533e-01, 5.41000e+00 
3.12924e-01, 5.42000e+00 
3.13316e-01, 5.43000e+00 
3.13708e-01, 5.44000e+00 
3.14100e-01, 5.45000e+00 
3.14493e-01, 5.46000e+00 
3.14886e-01, 5.47000e+00 
3.15279e-01, 5.48000e+00 
3.15673e-01, 5.49000e+00 
3.16067e-01, 5.50000e+00 
3.16461e-01, 5.51000e+00 
3.16856e-01, 5.52000e+00 
3.17251e-01, 5.53000e+00 
3.17646e-01, 5.54000e+00 
3.18042e-01, 5.55000e+00 
3.18438e-01, 5.56000e+00 
3.18834e-01, 5.57000e+00 
3.19231e-01, 5.58000e+00 
3.19627e-01, 5.59000e+00 
3.20025e-01, 5.60000e+00 
3.20422e-01, 5.61000e+00 
3.20820e-01, 5.62000e+00 
3.21218e-01, 5.63000e+00 
3.21617e-01, 5.64000e+00 
3.22015e-01, 5.65000e+00 
3.22414e-01, 5.66000e+00 
3.22814e-01, 5.67000e+00 
3.23213e-01, 5.68000e+00 
3.23613e-01, 5.69000e+00 
3.24013e-01, 5.70000e+00 
3.24414e-01, 5.71000e+00 
3.24815e-01, 5.72000e+00 
3.25216e-01, 5.73000e+00 
3.25617e-01, 5.74000e+00 
3.26019e-01, 5.75000e+00 
3.26421e-01, 5.76000e+00 
3.26823e-01, 5.77000e+00 
3.27226e-01, 5.78000e+00 
3.27629e-01, 5.79000e+00 
3.28032e-01, 5.80000e+00 
3.28435e-01, 5.81000e+00 
3.28839e-01, 5.82000e+00 
3.29243e-01, 5.83000e+00 
3.29647e-01, 5.84000e+00 
3.30052e-01, 5.85000e+00 
3.30456e-01, 5.86000e+00 
3.30861e-01, 5.87000e+00 
3.31267e-01, 5.88000e+00 
3.31672e-01, 5.89000e+00 
3.32078e-01, 5.90000e+00 
3.32484e-01, 5.91000e+00 
3.32891e-01, 5.92000e+00 
3.33297e-01, 5.93000e+00 
3.33704e-01, 5.94000e+00 
3.34111e-01, 5.95000e+00 
3.34519e-01, 5.96000e+00 
3.34926e-01, 5.97000e+00 
3.35334e-01, 5.98000e+00 
3.35743e-01, 5.99000e+00 
3.36151e-01, 6.00000e+00 
3.36560e-01, 6.01000e+00 
3.36969e-01, 6.02000e+00 
3.37378e-01, 6.03000e+00 
3.37787e-01, 6.04000e+00 
3.38197e-01, 6.05000e+00 
3.38607e-01, 6.06000e+00 
3.39017e-01, 6.07000e+00 
3.39428e-01, 6.08000e+00 
3.39838e-01, 6.09000e+00 
3.40249e-01, 6.10000e+00 
3.40660e-01, 6.11000e+00 
3.41072e-01, 6.12000e+00 
3.41484e-01, 6.13000e+00 
3.41895e-01, 6.14000e+00 
3.42308e-01, 6.15000e+00 
3.42720e-01, 6.16000e+00 
3.43132e-01, 6.17000e+00 
3.43545e-01, 6.18000e+00 
3.43958e-01, 6.19000e+00 
3.44372e-01, 6.20000e+00 
3.44785e-01, 6.21000e+00 
3.45199e-01, 6.22000e+00 
3.45613e-01, 6.23000e+00 
3.46027e-01, 6.24000e+00 
3.46441e-01, 6.25000e+00 
3.46856e-01, 6.26000e+00 
3.47271e-01, 6.27000e+00 
3.47686e-01, 6.28000e+00 
3.48101e-01, 6.29000e+00 
3.48517e-01, 6.30000e+00 
3.48933e-01, 6.31000e+00 
3.49348e-01, 6.32000e+00 
3.49765e-01, 6.33000e+00 
3.50181e-01, 6.34000e+00 
3.50598e-01, 6.35000e+00 
3.51014e-01, 6.36000e+00 
3.51431e-01, 6.37000e+00 
3.51849e-01, 6.38000e+00 
3.52266e-01, 6.39000e+00 
3.52684e-01, 6.40000e+00 
3.53102e-01, 6.41000e+00 
3.53520e-01, 6.42000e+00 
3.53938e-01, 6.43000e+00 
3.54357e-01, 6.44000e+00 
3.54775e-01, 6.45000e+00 
3.55194e-01, 6.46000e+00 
3.55613e-01, 6.47000e+00 
3.56033e-01, 6.48000e+00 
3.56452e-01, 6.49000e+00 
3.56872e-01, 6.50000e+00 
3.57292e-01, 6.51000e+00 
3.57712e-01, 6.52000e+00 
3.58132e-01, 6.53000e+00 
3.58552e-01, 6.54000e+00 
3.58973e-01, 6.55000e+00 
3.59394e-01, 6.56000e+00 
3.59815e-01, 6.57000e+00 
3.60236e-01, 6.58000e+00 
3.60658e-01, 6.59000e+00 
3.61079e-01, 6.60000e+00 
3.61501e-01, 6.61000e+00 
3.61923e-01, 6.62000e+00 
3.62346e-01, 6.63000e+00 
3.62768e-01, 6.64000e+00 
3.63191e-01, 6.65000e+00 
3.63613e-01, 6.66000e+00 
3.64036e-01, 6.67000e+00 
3.64459e-01, 6.68000e+00 
3.64883e-01, 6.69000e+00 
3.65306e-01, 6.70000e+00 
3.65730e-01, 6.71000e+00 
3.66154e-01, 6.72000e+00 
3.66578e-01, 6.73000e+00 
3.67002e-01, 6.74000e+00 
3.67426e-01, 6.75000e+00 
3.67851e-01, 6.76000e+00 
3.68276e-01, 6.77000e+00 
3.68701e-01, 6.78000e+00 
3.69126e-01, 6.79000e+00 
3.69551e-01, 6.80000e+00 
3.69977e-01, 6.81000e+00 
3.70402e-01, 6.82000e+00 
3.70828e-01, 6.83000e+00 
3.71254e-01, 6.84000e+00 
3.71680e-01, 6.85000e+00 
3.72107e-01, 6.86000e+00 
3.72533e-01, 6.87000e+00 
3.72960e-01, 6.88000e+00 
3.73386e-01, 6.89000e+00 
3.73813e-01, 6.90000e+00 
3.74241e-01, 6.91000e+00 
3.74668e-01, 6.92000e+00 
3.75095e-01, 6.93000e+00 
3.75523e-01, 6.94000e+00 
3.75951e-01, 6.95000e+00 
3.76379e-01, 6.96000e+00 
3.76807e-01, 6.97000e+00 
3.77235e-01, 6.98000e+00 
3.77664e-01, 6.99000e+00 
3.78092e-01, 7.00000e+00 
3.78521e-01, 7.01000e+00 
3.78950e-01, 7.02000e+00 
3.79379e-01, 7.03000e+00 
3.79808e-01, 7.04000e+00 
3.80238e-01, 7.05000e+00 
3.80667e-01, 7.06000e+00 
3.81097e-01, 7.07000e+00 
3.81527e-01, 7.08000e+00 
3.81957e-01, 7.09000e+00 
3.82387e-01, 7.10000e+00 
3.82818e-01, 7.11000e+00 
3.83248e-01, 7.12000e+00 
3.83679e-01, 7.13000e+00 
3.84109e-01, 7.14000e+00 
3.84540e-01, 7.15000e+00 
3.84971e-01, 7.16000e+00 
3.85403e-01, 7.17000e+00 
3.85834e-01, 7.18000e+00 
3.86266e-01, 7.19000e+00 
3.86697e-01, 7.20000e+00 
3.87129e-01, 7.21000e+00 
3.87561e-01, 7.22000e+00 
3.87993e-01, 7.23000e+00 
3.88425e-01, 7.24000e+00 
3.88858e-01, 7.25000e+00 
3.89290e-01, 7.26000e+00 
3.89723e-01, 7.27000e+00 
3.90156e-01, 7.28000e+00 
3.90589e-01, 7.29000e+00 
3.91022e-01, 7.30000e+00 
3.91455e-01, 7.31000e+00 
3.91889e-01, 7.32000e+00 
3.92322e-01, 7.33000e+00 
3.92756e-01, 7.34000e+00 
3.93190e-01, 7.35000e+00 
3.93624e-01, 7.36000e+00 
3.94058e-01, 7.37000e+00 
3.94492e-01, 7.38000e+00 
3.94926e-01, 7.39000e+00 
