k, beta 
7.46198e-01, 9.68959e+00 
2.73015e+01, 2.00000e-02 
1.82013e+01, 3.00000e-02 
1.36513e+01, 4.00000e-02 
1.09214e+01, 5.00000e-02 
9.10153e+00, 6.00000e-02 
7.80167e+00, 7.00000e-02 
6.82682e+00, 8.00000e-02 
6.06865e+00, 9.00000e-02 
5.46216e+00, 1.00000e-01 
4.96597e+00, 1.10000e-01 
4.55251e+00, 1.20000e-01 
4.20269e+00, 1.30000e-01 
3.90287e+00, 1.40000e-01 
3.64305e+00, 1.50000e-01 
3.41574e+00, 1.60000e-01 
3.21519e+00, 1.70000e-01 
3.03694e+00, 1.80000e-01 
2.87748e+00, 1.90000e-01 
2.73399e+00, 2.00000e-01 
2.60417e+00, 2.10000e-01 
2.48618e+00, 2.20000e-01 
2.37847e+00, 2.30000e-01 
2.27974e+00, 2.40000e-01 
2.18893e+00, 2.50000e-01 
2.10512e+00, 2.60000e-01 
2.02754e+00, 2.70000e-01 
1.95550e+00, 2.80000e-01 
1.88845e+00, 2.90000e-01 
1.82589e+00, 3.00000e-01 
1.76737e+00, 3.10000e-01 
1.71252e+00, 3.20000e-01 
1.66101e+00, 3.30000e-01 
1.61254e+00, 3.40000e-01 
1.56684e+00, 3.50000e-01 
1.52370e+00, 3.60000e-01 
1.48290e+00, 3.70000e-01 
1.44426e+00, 3.80000e-01 
1.40761e+00, 3.90000e-01 
1.37281e+00, 4.00000e-01 
1.33971e+00, 4.10000e-01 
1.30819e+00, 4.20000e-01 
1.27815e+00, 4.30000e-01 
1.24948e+00, 4.40000e-01 
1.22210e+00, 4.50000e-01 
1.19592e+00, 4.60000e-01 
1.17086e+00, 4.70000e-01 
1.14685e+00, 4.80000e-01 
1.12383e+00, 4.90000e-01 
1.10173e+00, 5.00000e-01 
1.08051e+00, 5.10000e-01 
1.06012e+00, 5.20000e-01 
1.04050e+00, 5.30000e-01 
1.02162e+00, 5.40000e-01 
1.00342e+00, 5.50000e-01 
9.85890e-01, 5.60000e-01 
9.68978e-01, 5.70000e-01 
9.52656e-01, 5.80000e-01 
9.36893e-01, 5.90000e-01 
9.21663e-01, 6.00000e-01 
9.06938e-01, 6.10000e-01 
8.92694e-01, 6.20000e-01 
8.78909e-01, 6.30000e-01 
8.65560e-01, 6.40000e-01 
8.52629e-01, 6.50000e-01 
8.40095e-01, 6.60000e-01 
8.27941e-01, 6.70000e-01 
8.16150e-01, 6.80000e-01 
8.04706e-01, 6.90000e-01 
7.93595e-01, 7.00000e-01 
7.82802e-01, 7.10000e-01 
7.72315e-01, 7.20000e-01 
7.62120e-01, 7.30000e-01 
7.52206e-01, 7.40000e-01 
7.42562e-01, 7.50000e-01 
7.33176e-01, 7.60000e-01 
7.24039e-01, 7.70000e-01 
7.15142e-01, 7.80000e-01 
7.06475e-01, 7.90000e-01 
6.98029e-01, 8.00000e-01 
6.89796e-01, 8.10000e-01 
6.81769e-01, 8.20000e-01 
6.73940e-01, 8.30000e-01 
6.66303e-01, 8.40000e-01 
6.58849e-01, 8.50000e-01 
6.51573e-01, 8.60000e-01 
6.44469e-01, 8.70000e-01 
6.37531e-01, 8.80000e-01 
6.30753e-01, 8.90000e-01 
6.24130e-01, 9.00000e-01 
6.17657e-01, 9.10000e-01 
6.11329e-01, 9.20000e-01 
6.05141e-01, 9.30000e-01 
5.99088e-01, 9.40000e-01 
5.93168e-01, 9.50000e-01 
5.87374e-01, 9.60000e-01 
5.81705e-01, 9.70000e-01 
5.76154e-01, 9.80000e-01 
5.70720e-01, 9.90000e-01 
5.65399e-01, 1.00000e+00 
5.60186e-01, 1.01000e+00 
5.55080e-01, 1.02000e+00 
5.50076e-01, 1.03000e+00 
5.45173e-01, 1.04000e+00 
5.40366e-01, 1.05000e+00 
5.35654e-01, 1.06000e+00 
5.31034e-01, 1.07000e+00 
5.26503e-01, 1.08000e+00 
5.22058e-01, 1.09000e+00 
5.17698e-01, 1.10000e+00 
5.13420e-01, 1.11000e+00 
5.09221e-01, 1.12000e+00 
5.05101e-01, 1.13000e+00 
5.01056e-01, 1.14000e+00 
4.97085e-01, 1.15000e+00 
4.93185e-01, 1.16000e+00 
4.89356e-01, 1.17000e+00 
4.85595e-01, 1.18000e+00 
4.81900e-01, 1.19000e+00 
4.78270e-01, 1.20000e+00 
4.74704e-01, 1.21000e+00 
4.71198e-01, 1.22000e+00 
4.67754e-01, 1.23000e+00 
4.64367e-01, 1.24000e+00 
4.61038e-01, 1.25000e+00 
4.57765e-01, 1.26000e+00 
4.54547e-01, 1.27000e+00 
4.51382e-01, 1.28000e+00 
4.48269e-01, 1.29000e+00 
4.45207e-01, 1.30000e+00 
4.42194e-01, 1.31000e+00 
4.39230e-01, 1.32000e+00 
4.36314e-01, 1.33000e+00 
4.33444e-01, 1.34000e+00 
4.30619e-01, 1.35000e+00 
4.27839e-01, 1.36000e+00 
4.25102e-01, 1.37000e+00 
4.22408e-01, 1.38000e+00 
4.19755e-01, 1.39000e+00 
4.17143e-01, 1.40000e+00 
4.14571e-01, 1.41000e+00 
4.12037e-01, 1.42000e+00 
4.09542e-01, 1.43000e+00 
4.07084e-01, 1.44000e+00 
4.04663e-01, 1.45000e+00 
4.02278e-01, 1.46000e+00 
3.99927e-01, 1.47000e+00 
3.97611e-01, 1.48000e+00 
3.95329e-01, 1.49000e+00 
3.93080e-01, 1.50000e+00 
3.90863e-01, 1.51000e+00 
3.88677e-01, 1.52000e+00 
3.86523e-01, 1.53000e+00 
3.84400e-01, 1.54000e+00 
3.82306e-01, 1.55000e+00 
3.80242e-01, 1.56000e+00 
3.78206e-01, 1.57000e+00 
3.76199e-01, 1.58000e+00 
3.74219e-01, 1.59000e+00 
3.72266e-01, 1.60000e+00 
3.70340e-01, 1.61000e+00 
3.68441e-01, 1.62000e+00 
3.66567e-01, 1.63000e+00 
3.64718e-01, 1.64000e+00 
3.62894e-01, 1.65000e+00 
3.61094e-01, 1.66000e+00 
3.59318e-01, 1.67000e+00 
3.57566e-01, 1.68000e+00 
3.55836e-01, 1.69000e+00 
3.54130e-01, 1.70000e+00 
