k, beta 
2.73016e+02, 4.84737e+01 
1.36515e+02, 2.00000e-02 
9.10182e+01, 3.00000e-02 
6.82721e+01, 4.00000e-02 
5.46264e+01, 5.00000e-02 
4.55309e+01, 6.00000e-02 
3.90355e+01, 7.00000e-02 
3.41651e+01, 8.00000e-02 
3.03782e+01, 9.00000e-02 
2.73495e+01, 1.00000e-01 
2.48725e+01, 1.10000e-01 
2.28090e+01, 1.20000e-01 
2.10638e+01, 1.30000e-01 
1.95686e+01, 1.40000e-01 
1.82734e+01, 1.50000e-01 
1.71407e+01, 1.60000e-01 
1.61418e+01, 1.70000e-01 
1.52545e+01, 1.80000e-01 
1.44610e+01, 1.90000e-01 
1.37474e+01, 2.00000e-01 
1.31023e+01, 2.10000e-01 
1.25162e+01, 2.20000e-01 
1.19815e+01, 2.30000e-01 
1.14917e+01, 2.40000e-01 
1.10415e+01, 2.50000e-01 
1.06264e+01, 2.60000e-01 
1.02423e+01, 2.70000e-01 
9.88603e+00, 2.80000e-01 
9.55465e+00, 2.90000e-01 
9.24569e+00, 3.00000e-01 
8.95698e+00, 3.10000e-01 
8.68661e+00, 3.20000e-01 
8.43292e+00, 3.30000e-01 
8.19444e+00, 3.40000e-01 
7.96986e+00, 3.50000e-01 
7.75803e+00, 3.60000e-01 
7.55791e+00, 3.70000e-01 
7.36858e+00, 3.80000e-01 
7.18920e+00, 3.90000e-01 
7.01904e+00, 4.00000e-01 
6.85742e+00, 4.10000e-01 
6.70372e+00, 4.20000e-01 
6.55739e+00, 4.30000e-01 
6.41794e+00, 4.40000e-01 
6.28490e+00, 4.50000e-01 
6.15785e+00, 4.60000e-01 
6.03642e+00, 4.70000e-01 
5.92025e+00, 4.80000e-01 
5.80902e+00, 4.90000e-01 
5.70243e+00, 5.00000e-01 
5.60021e+00, 5.10000e-01 
5.50211e+00, 5.20000e-01 
5.40789e+00, 5.30000e-01 
5.31734e+00, 5.40000e-01 
5.23026e+00, 5.50000e-01 
5.14647e+00, 5.60000e-01 
5.06578e+00, 5.70000e-01 
4.98805e+00, 5.80000e-01 
4.91311e+00, 5.90000e-01 
4.84083e+00, 6.00000e-01 
4.77108e+00, 6.10000e-01 
4.70374e+00, 6.20000e-01 
4.63869e+00, 6.30000e-01 
4.57582e+00, 6.40000e-01 
4.51504e+00, 6.50000e-01 
4.45624e+00, 6.60000e-01 
4.39935e+00, 6.70000e-01 
4.34427e+00, 6.80000e-01 
4.29093e+00, 6.90000e-01 
4.23925e+00, 7.00000e-01 
4.18916e+00, 7.10000e-01 
4.14060e+00, 7.20000e-01 
4.09350e+00, 7.30000e-01 
4.04781e+00, 7.40000e-01 
