k,lhs,rhs
9.20003e-02, 2.17096e-01, 1.70174e-02 
9.20051e-02, 2.17144e-01, 1.70139e-02 
9.20099e-02, 2.17193e-01, 1.70105e-02 
9.20148e-02, 2.17241e-01, 1.70071e-02 
9.20196e-02, 2.17289e-01, 1.70037e-02 
9.20244e-02, 2.17338e-01, 1.70003e-02 
9.20293e-02, 2.17386e-01, 1.69969e-02 
9.20341e-02, 2.17434e-01, 1.69935e-02 
9.20389e-02, 2.17482e-01, 1.69901e-02 
9.20438e-02, 2.17531e-01, 1.69866e-02 
9.20486e-02, 2.17579e-01, 1.69832e-02 
9.20534e-02, 2.17627e-01, 1.69798e-02 
9.20583e-02, 2.17675e-01, 1.69764e-02 
9.20631e-02, 2.17723e-01, 1.69730e-02 
9.20679e-02, 2.17772e-01, 1.69695e-02 
9.20728e-02, 2.17820e-01, 1.69661e-02 
9.20776e-02, 2.17868e-01, 1.69627e-02 
9.20824e-02, 2.17916e-01, 1.69593e-02 
9.20873e-02, 2.17964e-01, 1.69558e-02 
9.20921e-02, 2.18013e-01, 1.69524e-02 
9.20969e-02, 2.18061e-01, 1.69490e-02 
9.21018e-02, 2.18109e-01, 1.69455e-02 
9.21066e-02, 2.18157e-01, 1.69421e-02 
9.21114e-02, 2.18205e-01, 1.69387e-02 
9.21163e-02, 2.18253e-01, 1.69352e-02 
9.21211e-02, 2.18301e-01, 1.69318e-02 
9.21259e-02, 2.18350e-01, 1.69284e-02 
9.21308e-02, 2.18398e-01, 1.69249e-02 
9.21356e-02, 2.18446e-01, 1.69215e-02 
9.21404e-02, 2.18494e-01, 1.69180e-02 
9.21453e-02, 2.18542e-01, 1.69146e-02 
9.21501e-02, 2.18590e-01, 1.69112e-02 
9.21550e-02, 2.18638e-01, 1.69077e-02 
9.21598e-02, 2.18686e-01, 1.69043e-02 
9.21646e-02, 2.18734e-01, 1.69008e-02 
9.21695e-02, 2.18782e-01, 1.68974e-02 
9.21743e-02, 2.18830e-01, 1.68939e-02 
9.21791e-02, 2.18878e-01, 1.68905e-02 
9.21840e-02, 2.18926e-01, 1.68870e-02 
9.21888e-02, 2.18974e-01, 1.68836e-02 
9.21936e-02, 2.19022e-01, 1.68801e-02 
9.21985e-02, 2.19070e-01, 1.68767e-02 
9.22033e-02, 2.19118e-01, 1.68732e-02 
9.22081e-02, 2.19166e-01, 1.68698e-02 
9.22130e-02, 2.19214e-01, 1.68663e-02 
9.22178e-02, 2.19262e-01, 1.68628e-02 
9.22226e-02, 2.19310e-01, 1.68594e-02 
9.22275e-02, 2.19358e-01, 1.68559e-02 
9.22323e-02, 2.19406e-01, 1.68525e-02 
9.22371e-02, 2.19454e-01, 1.68490e-02 
9.22420e-02, 2.19502e-01, 1.68455e-02 
9.22468e-02, 2.19550e-01, 1.68421e-02 
9.22516e-02, 2.19598e-01, 1.68386e-02 
9.22565e-02, 2.19646e-01, 1.68351e-02 
9.22613e-02, 2.19694e-01, 1.68317e-02 
9.22661e-02, 2.19742e-01, 1.68282e-02 
9.22710e-02, 2.19790e-01, 1.68247e-02 
9.22758e-02, 2.19838e-01, 1.68212e-02 
9.22806e-02, 2.19886e-01, 1.68178e-02 
9.22855e-02, 2.19934e-01, 1.68143e-02 
9.22903e-02, 2.19981e-01, 1.68108e-02 
9.22951e-02, 2.20029e-01, 1.68073e-02 
9.23000e-02, 2.20077e-01, 1.68038e-02 
9.23048e-02, 2.20125e-01, 1.68004e-02 
9.23096e-02, 2.20173e-01, 1.67969e-02 
9.23145e-02, 2.20221e-01, 1.67934e-02 
9.23193e-02, 2.20269e-01, 1.67899e-02 
9.23241e-02, 2.20316e-01, 1.67864e-02 
9.23290e-02, 2.20364e-01, 1.67829e-02 
9.23338e-02, 2.20412e-01, 1.67795e-02 
9.23386e-02, 2.20460e-01, 1.67760e-02 
9.23435e-02, 2.20508e-01, 1.67725e-02 
9.23483e-02, 2.20555e-01, 1.67690e-02 
9.23532e-02, 2.20603e-01, 1.67655e-02 
9.23580e-02, 2.20651e-01, 1.67620e-02 
9.23628e-02, 2.20699e-01, 1.67585e-02 
9.23677e-02, 2.20747e-01, 1.67550e-02 
9.23725e-02, 2.20794e-01, 1.67515e-02 
9.23773e-02, 2.20842e-01, 1.67480e-02 
9.23822e-02, 2.20890e-01, 1.67445e-02 
9.23870e-02, 2.20938e-01, 1.67410e-02 
9.23918e-02, 2.20985e-01, 1.67375e-02 
9.23967e-02, 2.21033e-01, 1.67340e-02 
9.24015e-02, 2.21081e-01, 1.67305e-02 
9.24063e-02, 2.21129e-01, 1.67270e-02 
9.24112e-02, 2.21176e-01, 1.67235e-02 
9.24160e-02, 2.21224e-01, 1.67200e-02 
9.24208e-02, 2.21272e-01, 1.67165e-02 
9.24257e-02, 2.21319e-01, 1.67129e-02 
9.24305e-02, 2.21367e-01, 1.67094e-02 
9.24353e-02, 2.21415e-01, 1.67059e-02 
9.24402e-02, 2.21462e-01, 1.67024e-02 
9.24450e-02, 2.21510e-01, 1.66989e-02 
9.24498e-02, 2.21558e-01, 1.66954e-02 
9.24547e-02, 2.21605e-01, 1.66919e-02 
9.24595e-02, 2.21653e-01, 1.66883e-02 
9.24643e-02, 2.21701e-01, 1.66848e-02 
9.24692e-02, 2.21748e-01, 1.66813e-02 
9.24740e-02, 2.21796e-01, 1.66778e-02 
9.24788e-02, 2.21843e-01, 1.66742e-02 
9.24837e-02, 2.21891e-01, 1.66707e-02 
9.24885e-02, 2.21939e-01, 1.66672e-02 
9.24933e-02, 2.21986e-01, 1.66637e-02 
9.24982e-02, 2.22034e-01, 1.66601e-02 
9.25030e-02, 2.22081e-01, 1.66566e-02 
9.25078e-02, 2.22129e-01, 1.66531e-02 
9.25127e-02, 2.22177e-01, 1.66495e-02 
9.25175e-02, 2.22224e-01, 1.66460e-02 
9.25223e-02, 2.22272e-01, 1.66425e-02 
9.25272e-02, 2.22319e-01, 1.66389e-02 
9.25320e-02, 2.22367e-01, 1.66354e-02 
9.25369e-02, 2.22414e-01, 1.66318e-02 
9.25417e-02, 2.22462e-01, 1.66283e-02 
9.25465e-02, 2.22509e-01, 1.66248e-02 
9.25514e-02, 2.22557e-01, 1.66212e-02 
9.25562e-02, 2.22604e-01, 1.66177e-02 
9.25610e-02, 2.22652e-01, 1.66141e-02 
9.25659e-02, 2.22699e-01, 1.66106e-02 
9.25707e-02, 2.22747e-01, 1.66070e-02 
9.25755e-02, 2.22794e-01, 1.66035e-02 
9.25804e-02, 2.22842e-01, 1.65999e-02 
9.25852e-02, 2.22889e-01, 1.65964e-02 
9.25900e-02, 2.22937e-01, 1.65928e-02 
9.25949e-02, 2.22984e-01, 1.65893e-02 
9.25997e-02, 2.23031e-01, 1.65857e-02 
9.26045e-02, 2.23079e-01, 1.65821e-02 
