r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 3.66486e+09, -3.66486e+09, 0.00000e+00 
2.50000e-03, 3.66485e+09, -3.66486e+09, 9.94152e-17 
5.00000e-03, 3.66482e+09, -3.66485e+09, 1.98830e-16 
7.50000e-03, 3.66478e+09, -3.66483e+09, 2.98244e-16 
1.00000e-02, 3.66471e+09, -3.66481e+09, 3.97656e-16 
1.25000e-02, 3.66463e+09, -3.66477e+09, 4.97066e-16 
1.50000e-02, 3.66453e+09, -3.66474e+09, 5.96473e-16 
1.75000e-02, 3.66441e+09, -3.66469e+09, 6.95878e-16 
2.00000e-02, 3.66427e+09, -3.66464e+09, 7.95278e-16 
2.25000e-02, 3.66411e+09, -3.66458e+09, 8.94675e-16 
2.50000e-02, 3.66393e+09, -3.66451e+09, 9.94067e-16 
2.75000e-02, 3.66374e+09, -3.66444e+09, 1.09345e-15 
3.00000e-02, 3.66352e+09, -3.66436e+09, 1.19283e-15 
3.25000e-02, 3.66329e+09, -3.66427e+09, 1.29221e-15 
3.50000e-02, 3.66304e+09, -3.66418e+09, 1.39158e-15 
3.75000e-02, 3.66277e+09, -3.66408e+09, 1.49094e-15 
4.00000e-02, 3.66248e+09, -3.66397e+09, 1.59029e-15 
4.25000e-02, 3.66217e+09, -3.66385e+09, 1.68963e-15 
4.50000e-02, 3.66185e+09, -3.66373e+09, 1.78897e-15 
4.75000e-02, 3.66151e+09, -3.66360e+09, 1.88830e-15 
5.00000e-02, 3.66114e+09, -3.66346e+09, 1.98761e-15 
5.25000e-02, 3.66076e+09, -3.66332e+09, 2.08692e-15 
5.50000e-02, 3.66036e+09, -3.66317e+09, 2.18621e-15 
5.75000e-02, 3.65994e+09, -3.66301e+09, 2.28550e-15 
6.00000e-02, 3.65951e+09, -3.66285e+09, 2.38477e-15 
6.25000e-02, 3.65905e+09, -3.66268e+09, 2.48403e-15 
6.50000e-02, 3.65858e+09, -3.66250e+09, 2.58327e-15 
6.75000e-02, 3.65809e+09, -3.66231e+09, 2.68251e-15 
7.00000e-02, 3.65757e+09, -3.66212e+09, 2.78173e-15 
7.25000e-02, 3.65705e+09, -3.66192e+09, 2.88093e-15 
7.50000e-02, 3.65650e+09, -3.66172e+09, 2.98012e-15 
7.75000e-02, 3.65593e+09, -3.66150e+09, 3.07929e-15 
8.00000e-02, 3.65535e+09, -3.66128e+09, 3.17845e-15 
8.25000e-02, 3.65474e+09, -3.66106e+09, 3.27759e-15 
8.50000e-02, 3.65412e+09, -3.66082e+09, 3.37671e-15 
8.75000e-02, 3.65348e+09, -3.66058e+09, 3.47582e-15 
9.00000e-02, 3.65282e+09, -3.66033e+09, 3.57491e-15 
9.25000e-02, 3.65214e+09, -3.66008e+09, 3.67397e-15 
9.50000e-02, 3.65144e+09, -3.65982e+09, 3.77302e-15 
9.75000e-02, 3.65073e+09, -3.65955e+09, 3.87205e-15 
1.00000e-01, 3.65000e+09, -3.65927e+09, 3.97106e-15 
1.02500e-01, 3.64924e+09, -3.65899e+09, 4.07005e-15 
1.05000e-01, 3.64847e+09, -3.65870e+09, 4.16902e-15 
1.07500e-01, 3.64769e+09, -3.65840e+09, 4.26796e-15 
1.10000e-01, 3.64688e+09, -3.65810e+09, 4.36689e-15 
1.12500e-01, 3.64605e+09, -3.65779e+09, 4.46579e-15 
