r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.10978e+00, 1.10978e+00, -0.00000e+00 
2.50000e-03, 1.10978e+00, 1.10978e+00, -2.79271e-03 
5.00000e-03, 1.10978e+00, 1.10977e+00, -5.58541e-03 
7.50000e-03, 1.10977e+00, 1.10976e+00, -8.37809e-03 
1.00000e-02, 1.10977e+00, 1.10974e+00, -1.11707e-02 
1.25000e-02, 1.10976e+00, 1.10971e+00, -1.39633e-02 
1.50000e-02, 1.10974e+00, 1.10968e+00, -1.67558e-02 
1.75000e-02, 1.10973e+00, 1.10964e+00, -1.95482e-02 
2.00000e-02, 1.10971e+00, 1.10960e+00, -2.23405e-02 
2.25000e-02, 1.10970e+00, 1.10955e+00, -2.51327e-02 
2.50000e-02, 1.10968e+00, 1.10950e+00, -2.79247e-02 
2.75000e-02, 1.10965e+00, 1.10944e+00, -3.07166e-02 
3.00000e-02, 1.10963e+00, 1.10938e+00, -3.35084e-02 
3.25000e-02, 1.10960e+00, 1.10931e+00, -3.63000e-02 
3.50000e-02, 1.10957e+00, 1.10923e+00, -3.90914e-02 
3.75000e-02, 1.10954e+00, 1.10915e+00, -4.18825e-02 
4.00000e-02, 1.10951e+00, 1.10906e+00, -4.46735e-02 
4.25000e-02, 1.10948e+00, 1.10897e+00, -4.74642e-02 
4.50000e-02, 1.10944e+00, 1.10887e+00, -5.02547e-02 
4.75000e-02, 1.10940e+00, 1.10877e+00, -5.30449e-02 
5.00000e-02, 1.10936e+00, 1.10866e+00, -5.58348e-02 
5.25000e-02, 1.10932e+00, 1.10854e+00, -5.86245e-02 
5.50000e-02, 1.10927e+00, 1.10842e+00, -6.14138e-02 
5.75000e-02, 1.10922e+00, 1.10829e+00, -6.42028e-02 
6.00000e-02, 1.10917e+00, 1.10816e+00, -6.69915e-02 
6.25000e-02, 1.10912e+00, 1.10802e+00, -6.97799e-02 
6.50000e-02, 1.10907e+00, 1.10788e+00, -7.25678e-02 
6.75000e-02, 1.10901e+00, 1.10773e+00, -7.53554e-02 
7.00000e-02, 1.10895e+00, 1.10758e+00, -7.81426e-02 
7.25000e-02, 1.10889e+00, 1.10742e+00, -8.09294e-02 
7.50000e-02, 1.10883e+00, 1.10725e+00, -8.37157e-02 
7.75000e-02, 1.10877e+00, 1.10708e+00, -8.65016e-02 
8.00000e-02, 1.10870e+00, 1.10690e+00, -8.92871e-02 
8.25000e-02, 1.10863e+00, 1.10672e+00, -9.20721e-02 
8.50000e-02, 1.10856e+00, 1.10653e+00, -9.48566e-02 
8.75000e-02, 1.10849e+00, 1.10634e+00, -9.76406e-02 
9.00000e-02, 1.10841e+00, 1.10614e+00, -1.00424e-01 
9.25000e-02, 1.10833e+00, 1.10593e+00, -1.03207e-01 
