r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.68880e+00, 2.68880e+00, -0.00000e+00 
2.50000e-03, 2.68874e+00, 2.68863e+00, -3.54538e-02 
5.00000e-03, 2.68856e+00, 2.68809e+00, -7.09029e-02 
7.50000e-03, 2.68826e+00, 2.68721e+00, -1.06343e-01 
1.00000e-02, 2.68783e+00, 2.68596e+00, -1.41768e-01 
1.25000e-02, 2.68729e+00, 2.68436e+00, -1.77175e-01 
1.50000e-02, 2.68662e+00, 2.68241e+00, -2.12558e-01 
1.75000e-02, 2.68583e+00, 2.68011e+00, -2.47913e-01 
2.00000e-02, 2.68492e+00, 2.67745e+00, -2.83235e-01 
2.25000e-02, 2.68389e+00, 2.67443e+00, -3.18519e-01 
2.50000e-02, 2.68274e+00, 2.67107e+00, -3.53761e-01 
2.75000e-02, 2.68146e+00, 2.66735e+00, -3.88956e-01 
3.00000e-02, 2.68007e+00, 2.66327e+00, -4.24099e-01 
3.25000e-02, 2.67855e+00, 2.65885e+00, -4.59186e-01 
3.50000e-02, 2.67692e+00, 2.65408e+00, -4.94212e-01 
3.75000e-02, 2.67516e+00, 2.64895e+00, -5.29172e-01 
4.00000e-02, 2.67329e+00, 2.64348e+00, -5.64062e-01 
4.25000e-02, 2.67129e+00, 2.63766e+00, -5.98877e-01 
4.50000e-02, 2.66918e+00, 2.63149e+00, -6.33612e-01 
4.75000e-02, 2.66694e+00, 2.62497e+00, -6.68263e-01 
5.00000e-02, 2.66459e+00, 2.61811e+00, -7.02826e-01 
5.25000e-02, 2.66211e+00, 2.61091e+00, -7.37295e-01 
5.50000e-02, 2.65952e+00, 2.60335e+00, -7.71666e-01 
5.75000e-02, 2.65681e+00, 2.59546e+00, -8.05934e-01 
6.00000e-02, 2.65398e+00, 2.58723e+00, -8.40096e-01 
6.25000e-02, 2.65103e+00, 2.57865e+00, -8.74146e-01 
6.50000e-02, 2.64796e+00, 2.56974e+00, -9.08080e-01 
6.75000e-02, 2.64478e+00, 2.56049e+00, -9.41894e-01 
7.00000e-02, 2.64148e+00, 2.55090e+00, -9.75582e-01 
7.25000e-02, 2.63806e+00, 2.54098e+00, -1.00914e+00 
7.50000e-02, 2.63452e+00, 2.53072e+00, -1.04257e+00 
7.75000e-02, 2.63087e+00, 2.52014e+00, -1.07585e+00 
8.00000e-02, 2.62710e+00, 2.50922e+00, -1.10900e+00 
8.25000e-02, 2.62321e+00, 2.49797e+00, -1.14199e+00 
8.50000e-02, 2.61921e+00, 2.48640e+00, -1.17484e+00 
8.75000e-02, 2.61510e+00, 2.47450e+00, -1.20753e+00 
9.00000e-02, 2.61087e+00, 2.46228e+00, -1.24006e+00 
9.25000e-02, 2.60652e+00, 2.44973e+00, -1.27243e+00 
9.50000e-02, 2.60206e+00, 2.43687e+00, -1.30462e+00 
9.75000e-02, 2.59749e+00, 2.42368e+00, -1.33665e+00 
1.00000e-01, 2.59281e+00, 2.41019e+00, -1.36849e+00 
1.02500e-01, 2.58801e+00, 2.39637e+00, -1.40016e+00 
1.05000e-01, 2.58310e+00, 2.38225e+00, -1.43164e+00 
1.07500e-01, 2.57807e+00, 2.36781e+00, -1.46293e+00 
1.10000e-01, 2.57294e+00, 2.35307e+00, -1.49403e+00 
1.12500e-01, 2.56770e+00, 2.33802e+00, -1.52493e+00 
1.15000e-01, 2.56234e+00, 2.32267e+00, -1.55563e+00 
1.17500e-01, 2.55687e+00, 2.30702e+00, -1.58612e+00 
1.20000e-01, 2.55130e+00, 2.29106e+00, -1.61640e+00 
1.22500e-01, 2.54561e+00, 2.27482e+00, -1.64647e+00 
1.25000e-01, 2.53982e+00, 2.25827e+00, -1.67632e+00 
1.27500e-01, 2.53392e+00, 2.24144e+00, -1.70595e+00 
1.30000e-01, 2.52791e+00, 2.22431e+00, -1.73536e+00 
1.32500e-01, 2.52180e+00, 2.20690e+00, -1.76453e+00 
1.35000e-01, 2.51557e+00, 2.18921e+00, -1.79347e+00 
1.37500e-01, 2.50924e+00, 2.17123e+00, -1.82218e+00 
1.40000e-01, 2.50281e+00, 2.15298e+00, -1.85065e+00 
1.42500e-01, 2.49627e+00, 2.13444e+00, -1.87887e+00 
1.45000e-01, 2.48963e+00, 2.11564e+00, -1.90684e+00 
1.47500e-01, 2.48289e+00, 2.09656e+00, -1.93456e+00 
1.50000e-01, 2.47604e+00, 2.07722e+00, -1.96203e+00 
1.52500e-01, 2.46909e+00, 2.05761e+00, -1.98924e+00 
1.55000e-01, 2.46203e+00, 2.03774e+00, -2.01619e+00 
1.57500e-01, 2.45488e+00, 2.01760e+00, -2.04287e+00 
1.60000e-01, 2.44762e+00, 1.99722e+00, -2.06928e+00 
1.62500e-01, 2.44027e+00, 1.97658e+00, -2.09542e+00 
1.65000e-01, 2.43282e+00, 1.95568e+00, -2.12129e+00 
