r(m), E_r(T), E_theta(T), E_z(T) 
2.20000e-01, -1.30129e+10, -1.19397e+09, 2.50116e-12 
2.22500e-01, -1.30261e+10, -1.03237e+09, 2.22402e-12 
2.25000e-01, -1.30226e+10, -8.74500e+08, 1.94682e-12 
2.27500e-01, -1.30023e+10, -7.20438e+08, 1.66990e-12 
2.30000e-01, -1.29655e+10, -5.70241e+08, 1.39363e-12 
2.32500e-01, -1.29121e+10, -4.23966e+08, 1.11835e-12 
2.35000e-01, -1.28424e+10, -2.81665e+08, 8.44414e-13 
2.37500e-01, -1.27566e+10, -1.43390e+08, 5.72163e-13 
2.40000e-01, -1.26547e+10, -9.18326e+06, 3.01941e-13 
2.42500e-01, -1.25370e+10, 1.20913e+08, 3.40850e-14 
2.45000e-01, -1.24038e+10, 2.46862e+08, -2.31073e-13 
2.47500e-01, -1.22552e+10, 3.68632e+08, -4.93206e-13 
2.50000e-01, -1.20915e+10, 4.86194e+08, -7.51990e-13 
2.52500e-01, -1.19131e+10, 5.99524e+08, -1.00711e-12 
2.55000e-01, -1.17202e+10, 7.08602e+08, -1.25825e-12 
2.57500e-01, -1.15131e+10, 8.13413e+08, -1.50512e-12 
2.60000e-01, -1.12922e+10, 9.13944e+08, -1.74741e-12 
2.62500e-01, -1.10578e+10, 1.01019e+09, -1.98484e-12 
2.65000e-01, -1.08103e+10, 1.10214e+09, -2.21712e-12 
2.67500e-01, -1.05502e+10, 1.18980e+09, -2.44398e-12 
2.70000e-01, -1.02777e+10, 1.27318e+09, -2.66516e-12 
2.72500e-01, -9.99341e+09, 1.35228e+09, -2.88040e-12 
2.75000e-01, -9.69765e+09, 1.42712e+09, -3.08946e-12 
2.77500e-01, -9.39090e+09, 1.49770e+09, -3.29209e-12 
2.80000e-01, -9.07364e+09, 1.56406e+09, -3.48807e-12 
2.82500e-01, -8.74633e+09, 1.62621e+09, -3.67718e-12 
2.85000e-01, -8.40946e+09, 1.68419e+09, -3.85921e-12 
2.87500e-01, -8.06354e+09, 1.73802e+09, -4.03397e-12 
2.90000e-01, -7.70907e+09, 1.78774e+09, -4.20127e-12 
2.92500e-01, -7.34658e+09, 1.83338e+09, -4.36093e-12 
2.95000e-01, -6.97659e+09, 1.87499e+09, -4.51280e-12 
2.97500e-01, -6.59964e+09, 1.91262e+09, -4.65671e-12 
3.00000e-01, -6.21627e+09, 1.94631e+09, -4.79254e-12 
3.02500e-01, -5.82705e+09, 1.97611e+09, -4.92014e-12 
3.05000e-01, -5.43252e+09, 2.00208e+09, -5.03939e-12 
3.07500e-01, -5.03326e+09, 2.02428e+09, -5.15021e-12 
3.10000e-01, -4.62982e+09, 2.04277e+09, -5.25248e-12 
3.12500e-01, -4.22278e+09, 2.05760e+09, -5.34613e-12 
3.15000e-01, -3.81272e+09, 2.06885e+09, -5.43109e-12 
3.17500e-01, -3.40021e+09, 2.07659e+09, -5.50730e-12 
3.20000e-01, -2.98583e+09, 2.08088e+09, -5.57471e-12 
