r(m), E_r(T), E_theta(T), E_z(T) 
2.20000e-01, 1.87821e+09, -1.89919e+09, 8.60260e-15 
2.22500e-01, 1.87739e+09, -1.89884e+09, 8.69902e-15 
2.25000e-01, 1.87656e+09, -1.89850e+09, 8.79540e-15 
2.27500e-01, 1.87572e+09, -1.89815e+09, 8.89173e-15 
2.30000e-01, 1.87487e+09, -1.89779e+09, 8.98802e-15 
2.32500e-01, 1.87401e+09, -1.89743e+09, 9.08426e-15 
2.35000e-01, 1.87315e+09, -1.89707e+09, 9.18045e-15 
2.37500e-01, 1.87227e+09, -1.89670e+09, 9.27659e-15 
2.40000e-01, 1.87139e+09, -1.89633e+09, 9.37269e-15 
2.42500e-01, 1.87049e+09, -1.89596e+09, 9.46874e-15 
2.45000e-01, 1.86959e+09, -1.89558e+09, 9.56473e-15 
2.47500e-01, 1.86868e+09, -1.89520e+09, 9.66068e-15 
2.50000e-01, 1.86776e+09, -1.89481e+09, 9.75658e-15 
2.52500e-01, 1.86683e+09, -1.89442e+09, 9.85243e-15 
2.55000e-01, 1.86589e+09, -1.89403e+09, 9.94823e-15 
2.57500e-01, 1.86494e+09, -1.89363e+09, 1.00440e-14 
2.60000e-01, 1.86398e+09, -1.89323e+09, 1.01397e-14 
2.62500e-01, 1.86302e+09, -1.89283e+09, 1.02353e-14 
2.65000e-01, 1.86204e+09, -1.89242e+09, 1.03309e-14 
2.67500e-01, 1.86106e+09, -1.89201e+09, 1.04264e-14 
2.70000e-01, 1.86006e+09, -1.89159e+09, 1.05219e-14 
2.72500e-01, 1.85906e+09, -1.89117e+09, 1.06173e-14 
2.75000e-01, 1.85805e+09, -1.89075e+09, 1.07127e-14 
2.77500e-01, 1.85703e+09, -1.89032e+09, 1.08080e-14 
2.80000e-01, 1.85600e+09, -1.88989e+09, 1.09033e-14 
2.82500e-01, 1.85496e+09, -1.88945e+09, 1.09985e-14 
2.85000e-01, 1.85391e+09, -1.88902e+09, 1.10936e-14 
2.87500e-01, 1.85286e+09, -1.88857e+09, 1.11887e-14 
2.90000e-01, 1.85179e+09, -1.88813e+09, 1.12837e-14 
2.92500e-01, 1.85072e+09, -1.88768e+09, 1.13787e-14 
2.95000e-01, 1.84963e+09, -1.88722e+09, 1.14736e-14 
2.97500e-01, 1.84854e+09, -1.88676e+09, 1.15685e-14 
3.00000e-01, 1.84744e+09, -1.88630e+09, 1.16633e-14 
3.02500e-01, 1.84633e+09, -1.88584e+09, 1.17580e-14 
3.05000e-01, 1.84521e+09, -1.88537e+09, 1.18527e-14 
3.07500e-01, 1.84408e+09, -1.88489e+09, 1.19473e-14 
3.10000e-01, 1.84294e+09, -1.88442e+09, 1.20418e-14 
3.12500e-01, 1.84180e+09, -1.88394e+09, 1.21363e-14 
3.15000e-01, 1.84064e+09, -1.88345e+09, 1.22308e-14 
3.17500e-01, 1.83948e+09, -1.88296e+09, 1.23251e-14 
3.20000e-01, 1.83831e+09, -1.88247e+09, 1.24194e-14 
3.22500e-01, 1.83712e+09, -1.88198e+09, 1.25136e-14 
3.25000e-01, 1.83593e+09, -1.88148e+09, 1.26078e-14 
3.27500e-01, 1.83473e+09, -1.88097e+09, 1.27019e-14 
3.30000e-01, 1.83352e+09, -1.88047e+09, 1.27959e-14 
3.32500e-01, 1.83231e+09, -1.87996e+09, 1.28899e-14 
3.35000e-01, 1.83108e+09, -1.87944e+09, 1.29838e-14 
3.37500e-01, 1.82985e+09, -1.87892e+09, 1.30777e-14 
3.40000e-01, 1.82860e+09, -1.87840e+09, 1.31714e-14 
3.42500e-01, 1.82735e+09, -1.87788e+09, 1.32651e-14 
3.45000e-01, 1.82609e+09, -1.87735e+09, 1.33587e-14 
3.47500e-01, 1.82482e+09, -1.87681e+09, 1.34523e-14 
3.50000e-01, 1.82354e+09, -1.87628e+09, 1.35458e-14 
3.52500e-01, 1.82225e+09, -1.87573e+09, 1.36392e-14 
3.55000e-01, 1.82095e+09, -1.87519e+09, 1.37326e-14 
3.57500e-01, 1.81965e+09, -1.87464e+09, 1.38259e-14 
3.60000e-01, 1.81833e+09, -1.87409e+09, 1.39191e-14 
3.62500e-01, 1.81701e+09, -1.87353e+09, 1.40122e-14 
3.65000e-01, 1.81568e+09, -1.87297e+09, 1.41053e-14 
3.67500e-01, 1.81433e+09, -1.87241e+09, 1.41983e-14 
3.70000e-01, 1.81298e+09, -1.87184e+09, 1.42912e-14 
3.72500e-01, 1.81163e+09, -1.87127e+09, 1.43840e-14 
3.75000e-01, 1.81026e+09, -1.87070e+09, 1.44768e-14 
3.77500e-01, 1.80888e+09, -1.87012e+09, 1.45695e-14 
3.80000e-01, 1.80750e+09, -1.86954e+09, 1.46621e-14 
3.82500e-01, 1.80610e+09, -1.86895e+09, 1.47546e-14 
3.85000e-01, 1.80470e+09, -1.86836e+09, 1.48471e-14 
3.87500e-01, 1.80329e+09, -1.86777e+09, 1.49395e-14 
3.90000e-01, 1.80187e+09, -1.86717e+09, 1.50318e-14 
3.92500e-01, 1.80044e+09, -1.86657e+09, 1.51240e-14 
3.95000e-01, 1.79901e+09, -1.86597e+09, 1.52162e-14 
3.97500e-01, 1.79756e+09, -1.86536e+09, 1.53083e-14 
4.00000e-01, 1.79610e+09, -1.86475e+09, 1.54003e-14 
4.02500e-01, 1.79464e+09, -1.86413e+09, 1.54922e-14 
4.05000e-01, 1.79317e+09, -1.86351e+09, 1.55840e-14 
4.07500e-01, 1.79169e+09, -1.86289e+09, 1.56758e-14 
4.10000e-01, 1.79020e+09, -1.86227e+09, 1.57675e-14 
4.12500e-01, 1.78870e+09, -1.86164e+09, 1.58591e-14 
