r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.16046e+00, 1.16046e+00, -0.00000e+00 
2.50000e-03, 1.16046e+00, 1.16045e+00, -2.76728e-03 
5.00000e-03, 1.16045e+00, 1.16045e+00, -5.53454e-03 
7.50000e-03, 1.16045e+00, 1.16043e+00, -8.30177e-03 
1.00000e-02, 1.16044e+00, 1.16041e+00, -1.10690e-02 
1.25000e-02, 1.16043e+00, 1.16039e+00, -1.38361e-02 
1.50000e-02, 1.16042e+00, 1.16036e+00, -1.66032e-02 
1.75000e-02, 1.16040e+00, 1.16032e+00, -1.93701e-02 
2.00000e-02, 1.16038e+00, 1.16028e+00, -2.21370e-02 
2.25000e-02, 1.16036e+00, 1.16023e+00, -2.49038e-02 
2.50000e-02, 1.16034e+00, 1.16017e+00, -2.76704e-02 
2.75000e-02, 1.16031e+00, 1.16012e+00, -3.04369e-02 
3.00000e-02, 1.16029e+00, 1.16005e+00, -3.32032e-02 
3.25000e-02, 1.16026e+00, 1.15998e+00, -3.59694e-02 
3.50000e-02, 1.16023e+00, 1.15990e+00, -3.87353e-02 
3.75000e-02, 1.16019e+00, 1.15982e+00, -4.15011e-02 
4.00000e-02, 1.16016e+00, 1.15973e+00, -4.42667e-02 
4.25000e-02, 1.16012e+00, 1.15964e+00, -4.70320e-02 
4.50000e-02, 1.16007e+00, 1.15954e+00, -4.97971e-02 
4.75000e-02, 1.16003e+00, 1.15944e+00, -5.25619e-02 
5.00000e-02, 1.15998e+00, 1.15933e+00, -5.53264e-02 
5.25000e-02, 1.15994e+00, 1.15921e+00, -5.80907e-02 
5.50000e-02, 1.15989e+00, 1.15909e+00, -6.08547e-02 
5.75000e-02, 1.15983e+00, 1.15896e+00, -6.36183e-02 
6.00000e-02, 1.15978e+00, 1.15883e+00, -6.63816e-02 
6.25000e-02, 1.15972e+00, 1.15869e+00, -6.91446e-02 
6.50000e-02, 1.15966e+00, 1.15854e+00, -7.19072e-02 
6.75000e-02, 1.15960e+00, 1.15839e+00, -7.46694e-02 
7.00000e-02, 1.15953e+00, 1.15824e+00, -7.74313e-02 
7.25000e-02, 1.15946e+00, 1.15808e+00, -8.01927e-02 
7.50000e-02, 1.15939e+00, 1.15791e+00, -8.29538e-02 
7.75000e-02, 1.15932e+00, 1.15774e+00, -8.57144e-02 
8.00000e-02, 1.15925e+00, 1.15756e+00, -8.84745e-02 
8.25000e-02, 1.15917e+00, 1.15738e+00, -9.12342e-02 
8.50000e-02, 1.15909e+00, 1.15719e+00, -9.39935e-02 
8.75000e-02, 1.15901e+00, 1.15699e+00, -9.67522e-02 
9.00000e-02, 1.15893e+00, 1.15679e+00, -9.95104e-02 
9.25000e-02, 1.15884e+00, 1.15658e+00, -1.02268e-01 
9.50000e-02, 1.15875e+00, 1.15637e+00, -1.05025e-01 
9.75000e-02, 1.15866e+00, 1.15615e+00, -1.07782e-01 
1.00000e-01, 1.15857e+00, 1.15593e+00, -1.10538e-01 
1.02500e-01, 1.15847e+00, 1.15570e+00, -1.13294e-01 
1.05000e-01, 1.15837e+00, 1.15547e+00, -1.16049e-01 
1.07500e-01, 1.15827e+00, 1.15523e+00, -1.18803e-01 
1.10000e-01, 1.15817e+00, 1.15498e+00, -1.21557e-01 
1.12500e-01, 1.15807e+00, 1.15473e+00, -1.24310e-01 
1.15000e-01, 1.15796e+00, 1.15447e+00, -1.27062e-01 
1.17500e-01, 1.15785e+00, 1.15421e+00, -1.29814e-01 
1.20000e-01, 1.15774e+00, 1.15394e+00, -1.32565e-01 
1.22500e-01, 1.15762e+00, 1.15367e+00, -1.35315e-01 
1.25000e-01, 1.15750e+00, 1.15339e+00, -1.38065e-01 
1.27500e-01, 1.15739e+00, 1.15310e+00, -1.40814e-01 
1.30000e-01, 1.15726e+00, 1.15281e+00, -1.43562e-01 
1.32500e-01, 1.15714e+00, 1.15251e+00, -1.46310e-01 
1.35000e-01, 1.15701e+00, 1.15221e+00, -1.49057e-01 
1.37500e-01, 1.15689e+00, 1.15190e+00, -1.51803e-01 
1.40000e-01, 1.15675e+00, 1.15159e+00, -1.54548e-01 
1.42500e-01, 1.15662e+00, 1.15127e+00, -1.57292e-01 
1.45000e-01, 1.15649e+00, 1.15095e+00, -1.60036e-01 
1.47500e-01, 1.15635e+00, 1.15062e+00, -1.62778e-01 
1.50000e-01, 1.15621e+00, 1.15028e+00, -1.65520e-01 
1.52500e-01, 1.15606e+00, 1.14994e+00, -1.68261e-01 
1.55000e-01, 1.15592e+00, 1.14959e+00, -1.71002e-01 
1.57500e-01, 1.15577e+00, 1.14924e+00, -1.73741e-01 
1.60000e-01, 1.15562e+00, 1.14888e+00, -1.76479e-01 
1.62500e-01, 1.15547e+00, 1.14852e+00, -1.79217e-01 
1.65000e-01, 1.15532e+00, 1.14815e+00, -1.81953e-01 
1.67500e-01, 1.15516e+00, 1.14777e+00, -1.84689e-01 
1.70000e-01, 1.15500e+00, 1.14739e+00, -1.87424e-01 
1.72500e-01, 1.15484e+00, 1.14701e+00, -1.90157e-01 
1.75000e-01, 1.15467e+00, 1.14661e+00, -1.92890e-01 
1.77500e-01, 1.15451e+00, 1.14622e+00, -1.95622e-01 
1.80000e-01, 1.15434e+00, 1.14581e+00, -1.98352e-01 
1.82500e-01, 1.15417e+00, 1.14540e+00, -2.01082e-01 
1.85000e-01, 1.15400e+00, 1.14499e+00, -2.03810e-01 
1.87500e-01, 1.15382e+00, 1.14457e+00, -2.06538e-01 
1.90000e-01, 1.15364e+00, 1.14415e+00, -2.09264e-01 
1.92500e-01, 1.15346e+00, 1.14371e+00, -2.11990e-01 
1.95000e-01, 1.15328e+00, 1.14328e+00, -2.14714e-01 
1.97500e-01, 1.15309e+00, 1.14284e+00, -2.17437e-01 
2.00000e-01, 1.15291e+00, 1.14239e+00, -2.20159e-01 
2.02500e-01, 1.15272e+00, 1.14194e+00, -2.22880e-01 
2.05000e-01, 1.15253e+00, 1.14148e+00, -2.25600e-01 
2.07500e-01, 1.15233e+00, 1.14101e+00, -2.28319e-01 
2.10000e-01, 1.15214e+00, 1.14054e+00, -2.31036e-01 
2.12500e-01, 1.15194e+00, 1.14007e+00, -2.33752e-01 
2.15000e-01, 1.15174e+00, 1.13959e+00, -2.36467e-01 
2.17500e-01, 1.15153e+00, 1.13910e+00, -2.39181e-01 
2.20000e-01, 1.15133e+00, 1.13861e+00, -2.41893e-01 
2.22500e-01, 1.15112e+00, 1.13811e+00, -2.44605e-01 
2.25000e-01, 1.15091e+00, 1.13761e+00, -2.47315e-01 
2.27500e-01, 1.15069e+00, 1.13710e+00, -2.50023e-01 
2.30000e-01, 1.15048e+00, 1.13658e+00, -2.52731e-01 
2.32500e-01, 1.15026e+00, 1.13606e+00, -2.55437e-01 
2.35000e-01, 1.15004e+00, 1.13554e+00, -2.58142e-01 
2.37500e-01, 1.14982e+00, 1.13501e+00, -2.60845e-01 
2.40000e-01, 1.14960e+00, 1.13447e+00, -2.63547e-01 
2.42500e-01, 1.14937e+00, 1.13393e+00, -2.66248e-01 
2.45000e-01, 1.14914e+00, 1.13338e+00, -2.68947e-01 
2.47500e-01, 1.14891e+00, 1.13283e+00, -2.71645e-01 
2.50000e-01, 1.14867e+00, 1.13227e+00, -2.74342e-01 
2.52500e-01, 1.14844e+00, 1.13171e+00, -2.77037e-01 
2.55000e-01, 1.14820e+00, 1.13114e+00, -2.79731e-01 
2.57500e-01, 1.14796e+00, 1.13056e+00, -2.82423e-01 
2.60000e-01, 1.14772e+00, 1.12998e+00, -2.85114e-01 
2.62500e-01, 1.14747e+00, 1.12940e+00, -2.87803e-01 
2.65000e-01, 1.14722e+00, 1.12881e+00, -2.90491e-01 
2.67500e-01, 1.14697e+00, 1.12821e+00, -2.93177e-01 
2.70000e-01, 1.14672e+00, 1.12761e+00, -2.95862e-01 
2.72500e-01, 1.14647e+00, 1.12700e+00, -2.98545e-01 
2.75000e-01, 1.14621e+00, 1.12639e+00, -3.01227e-01 
2.77500e-01, 1.14595e+00, 1.12577e+00, -3.03907e-01 
2.80000e-01, 1.14569e+00, 1.12514e+00, -3.06585e-01 
2.82500e-01, 1.14543e+00, 1.12452e+00, -3.09262e-01 
2.85000e-01, 1.14516e+00, 1.12388e+00, -3.11938e-01 
2.87500e-01, 1.14489e+00, 1.12324e+00, -3.14611e-01 
2.90000e-01, 1.14462e+00, 1.12259e+00, -3.17284e-01 
2.92500e-01, 1.14435e+00, 1.12194e+00, -3.19954e-01 
2.95000e-01, 1.14407e+00, 1.12129e+00, -3.22623e-01 
