k, beta 
2.34811e-01, 4.84436e+00 
2.73030e+00, 2.00000e-02 
1.82036e+00, 3.00000e-02 
1.36544e+00, 4.00000e-02 
1.09253e+00, 5.00000e-02 
9.10618e-01, 6.00000e-02 
7.80710e-01, 7.00000e-02 
6.83303e-01, 8.00000e-02 
6.07563e-01, 9.00000e-02 
5.46991e-01, 1.00000e-01 
4.97449e-01, 1.10000e-01 
4.56181e-01, 1.20000e-01 
4.21276e-01, 1.30000e-01 
3.91372e-01, 1.40000e-01 
3.65468e-01, 1.50000e-01 
3.42814e-01, 1.60000e-01 
3.22836e-01, 1.70000e-01 
3.05089e-01, 1.80000e-01 
2.89221e-01, 1.90000e-01 
2.74949e-01, 2.00000e-01 
2.62045e-01, 2.10000e-01 
2.50323e-01, 2.20000e-01 
2.39629e-01, 2.30000e-01 
2.29834e-01, 2.40000e-01 
2.20831e-01, 2.50000e-01 
2.12527e-01, 2.60000e-01 
2.04846e-01, 2.70000e-01 
1.97721e-01, 2.80000e-01 
1.91093e-01, 2.90000e-01 
1.84914e-01, 3.00000e-01 
1.79140e-01, 3.10000e-01 
1.73732e-01, 3.20000e-01 
1.68658e-01, 3.30000e-01 
1.63889e-01, 3.40000e-01 
1.59397e-01, 3.50000e-01 
1.55161e-01, 3.60000e-01 
1.51158e-01, 3.70000e-01 
1.47372e-01, 3.80000e-01 
1.43784e-01, 3.90000e-01 
1.40381e-01, 4.00000e-01 
1.37148e-01, 4.10000e-01 
1.34074e-01, 4.20000e-01 
1.31148e-01, 4.30000e-01 
1.28359e-01, 4.40000e-01 
1.25698e-01, 4.50000e-01 
1.23157e-01, 4.60000e-01 
1.20728e-01, 4.70000e-01 
1.18405e-01, 4.80000e-01 
1.16180e-01, 4.90000e-01 
1.14049e-01, 5.00000e-01 
1.12004e-01, 5.10000e-01 
1.10042e-01, 5.20000e-01 
1.08158e-01, 5.30000e-01 
1.06347e-01, 5.40000e-01 
1.04605e-01, 5.50000e-01 
1.02929e-01, 5.60000e-01 
1.01316e-01, 5.70000e-01 
9.97609e-02, 5.80000e-01 
9.82622e-02, 5.90000e-01 
9.68166e-02, 6.00000e-01 
9.54217e-02, 6.10000e-01 
9.40748e-02, 6.20000e-01 
9.27738e-02, 6.30000e-01 
9.15165e-02, 6.40000e-01 
9.03008e-02, 6.50000e-01 
8.91249e-02, 6.60000e-01 
8.79870e-02, 6.70000e-01 
8.68854e-02, 6.80000e-01 
8.58186e-02, 6.90000e-01 
8.47850e-02, 7.00000e-01 
8.37832e-02, 7.10000e-01 
8.28120e-02, 7.20000e-01 
8.18700e-02, 7.30000e-01 
8.09561e-02, 7.40000e-01 
8.00692e-02, 7.50000e-01 
7.92081e-02, 7.60000e-01 
7.83719e-02, 7.70000e-01 
7.75597e-02, 7.80000e-01 
7.67705e-02, 7.90000e-01 
7.60034e-02, 8.00000e-01 
7.52577e-02, 8.10000e-01 
7.45325e-02, 8.20000e-01 
7.38271e-02, 8.30000e-01 
7.31408e-02, 8.40000e-01 
7.24729e-02, 8.50000e-01 
7.18229e-02, 8.60000e-01 
7.11900e-02, 8.70000e-01 
7.05737e-02, 8.80000e-01 
6.99734e-02, 8.90000e-01 
6.93886e-02, 9.00000e-01 
6.88188e-02, 9.10000e-01 
6.82635e-02, 9.20000e-01 
6.77222e-02, 9.30000e-01 
6.71945e-02, 9.40000e-01 
6.66799e-02, 9.50000e-01 
6.61781e-02, 9.60000e-01 
6.56886e-02, 9.70000e-01 
6.52111e-02, 9.80000e-01 
6.47452e-02, 9.90000e-01 
6.42905e-02, 1.00000e+00 
6.38468e-02, 1.01000e+00 
6.34136e-02, 1.02000e+00 
6.29908e-02, 1.03000e+00 
6.25780e-02, 1.04000e+00 
