r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.22519e+09, -1.22519e+09, 0.00000e+00 
2.50000e-03, 1.22519e+09, -1.22519e+09, 1.01792e-17 
5.00000e-03, 1.22519e+09, -1.22519e+09, 2.03583e-17 
7.50000e-03, 1.22519e+09, -1.22519e+09, 3.05375e-17 
1.00000e-02, 1.22519e+09, -1.22519e+09, 4.07167e-17 
1.25000e-02, 1.22519e+09, -1.22519e+09, 5.08958e-17 
1.50000e-02, 1.22519e+09, -1.22519e+09, 6.10750e-17 
1.75000e-02, 1.22519e+09, -1.22519e+09, 7.12541e-17 
2.00000e-02, 1.22519e+09, -1.22519e+09, 8.14332e-17 
2.25000e-02, 1.22518e+09, -1.22519e+09, 9.16123e-17 
2.50000e-02, 1.22518e+09, -1.22519e+09, 1.01791e-16 
2.75000e-02, 1.22518e+09, -1.22519e+09, 1.11971e-16 
3.00000e-02, 1.22518e+09, -1.22519e+09, 1.22150e-16 
3.25000e-02, 1.22518e+09, -1.22519e+09, 1.32329e-16 
3.50000e-02, 1.22518e+09, -1.22518e+09, 1.42508e-16 
3.75000e-02, 1.22517e+09, -1.22518e+09, 1.52687e-16 
4.00000e-02, 1.22517e+09, -1.22518e+09, 1.62866e-16 
4.25000e-02, 1.22517e+09, -1.22518e+09, 1.73045e-16 
4.50000e-02, 1.22516e+09, -1.22518e+09, 1.83224e-16 
4.75000e-02, 1.22516e+09, -1.22518e+09, 1.93402e-16 
5.00000e-02, 1.22516e+09, -1.22518e+09, 2.03581e-16 
5.25000e-02, 1.22515e+09, -1.22517e+09, 2.13760e-16 
5.50000e-02, 1.22515e+09, -1.22517e+09, 2.23939e-16 
5.75000e-02, 1.22515e+09, -1.22517e+09, 2.34118e-16 
6.00000e-02, 1.22514e+09, -1.22517e+09, 2.44296e-16 
6.25000e-02, 1.22514e+09, -1.22517e+09, 2.54475e-16 
6.50000e-02, 1.22513e+09, -1.22516e+09, 2.64654e-16 
6.75000e-02, 1.22513e+09, -1.22516e+09, 2.74832e-16 
7.00000e-02, 1.22512e+09, -1.22516e+09, 2.85011e-16 
7.25000e-02, 1.22512e+09, -1.22516e+09, 2.95190e-16 
7.50000e-02, 1.22511e+09, -1.22516e+09, 3.05368e-16 
7.75000e-02, 1.22511e+09, -1.22515e+09, 3.15546e-16 
8.00000e-02, 1.22510e+09, -1.22515e+09, 3.25725e-16 
8.25000e-02, 1.22510e+09, -1.22515e+09, 3.35903e-16 
8.50000e-02, 1.22509e+09, -1.22515e+09, 3.46081e-16 
8.75000e-02, 1.22509e+09, -1.22514e+09, 3.56260e-16 
9.00000e-02, 1.22508e+09, -1.22514e+09, 3.66438e-16 
9.25000e-02, 1.22507e+09, -1.22514e+09, 3.76616e-16 
9.50000e-02, 1.22507e+09, -1.22513e+09, 3.86794e-16 
9.75000e-02, 1.22506e+09, -1.22513e+09, 3.96972e-16 
1.00000e-01, 1.22505e+09, -1.22513e+09, 4.07150e-16 
1.02500e-01, 1.22505e+09, -1.22512e+09, 4.17328e-16 
1.05000e-01, 1.22504e+09, -1.22512e+09, 4.27506e-16 
1.07500e-01, 1.22503e+09, -1.22512e+09, 4.37683e-16 
1.10000e-01, 1.22503e+09, -1.22511e+09, 4.47861e-16 
1.12500e-01, 1.22502e+09, -1.22511e+09, 4.58039e-16 
1.15000e-01, 1.22501e+09, -1.22511e+09, 4.68216e-16 
1.17500e-01, 1.22500e+09, -1.22510e+09, 4.78394e-16 
1.20000e-01, 1.22499e+09, -1.22510e+09, 4.88571e-16 
1.22500e-01, 1.22499e+09, -1.22510e+09, 4.98748e-16 
1.25000e-01, 1.22498e+09, -1.22509e+09, 5.08926e-16 
1.27500e-01, 1.22497e+09, -1.22509e+09, 5.19103e-16 
1.30000e-01, 1.22496e+09, -1.22508e+09, 5.29280e-16 
1.32500e-01, 1.22495e+09, -1.22508e+09, 5.39457e-16 
1.35000e-01, 1.22494e+09, -1.22507e+09, 5.49634e-16 
1.37500e-01, 1.22493e+09, -1.22507e+09, 5.59811e-16 
1.40000e-01, 1.22492e+09, -1.22507e+09, 5.69987e-16 
1.42500e-01, 1.22491e+09, -1.22506e+09, 5.80164e-16 
1.45000e-01, 1.22490e+09, -1.22506e+09, 5.90341e-16 
1.47500e-01, 1.22489e+09, -1.22505e+09, 6.00517e-16 
1.50000e-01, 1.22488e+09, -1.22505e+09, 6.10694e-16 
1.52500e-01, 1.22487e+09, -1.22504e+09, 6.20870e-16 
1.55000e-01, 1.22486e+09, -1.22504e+09, 6.31046e-16 
1.57500e-01, 1.22485e+09, -1.22503e+09, 6.41222e-16 
1.60000e-01, 1.22484e+09, -1.22503e+09, 6.51398e-16 
1.62500e-01, 1.22483e+09, -1.22502e+09, 6.61574e-16 
1.65000e-01, 1.22482e+09, -1.22502e+09, 6.71750e-16 
1.67500e-01, 1.22481e+09, -1.22501e+09, 6.81926e-16 
1.70000e-01, 1.22480e+09, -1.22501e+09, 6.92101e-16 
1.72500e-01, 1.22478e+09, -1.22500e+09, 7.02277e-16 
1.75000e-01, 1.22477e+09, -1.22499e+09, 7.12452e-16 
1.77500e-01, 1.22476e+09, -1.22499e+09, 7.22627e-16 
1.80000e-01, 1.22475e+09, -1.22498e+09, 7.32802e-16 
