r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 7.81238e-01, 7.81238e-01, -0.00000e+00 
2.50000e-03, 7.81236e-01, 7.81233e-01, -2.93564e-03 
5.00000e-03, 7.81232e-01, 7.81221e-01, -5.87125e-03 
7.50000e-03, 7.81224e-01, 7.81199e-01, -8.80680e-03 
1.00000e-02, 7.81214e-01, 7.81170e-01, -1.17422e-02 
1.25000e-02, 7.81200e-01, 7.81132e-01, -1.46776e-02 
1.50000e-02, 7.81184e-01, 7.81085e-01, -1.76127e-02 
1.75000e-02, 7.81165e-01, 7.81030e-01, -2.05477e-02 
2.00000e-02, 7.81142e-01, 7.80966e-01, -2.34824e-02 
2.25000e-02, 7.81117e-01, 7.80894e-01, -2.64169e-02 
2.50000e-02, 7.81089e-01, 7.80813e-01, -2.93511e-02 
2.75000e-02, 7.81058e-01, 7.80724e-01, -3.22850e-02 
3.00000e-02, 7.81023e-01, 7.80626e-01, -3.52185e-02 
3.25000e-02, 7.80986e-01, 7.80520e-01, -3.81516e-02 
3.50000e-02, 7.80946e-01, 7.80406e-01, -4.10843e-02 
3.75000e-02, 7.80903e-01, 7.80283e-01, -4.40165e-02 
4.00000e-02, 7.80857e-01, 7.80151e-01, -4.69483e-02 
4.25000e-02, 7.80808e-01, 7.80011e-01, -4.98796e-02 
4.50000e-02, 7.80756e-01, 7.79862e-01, -5.28102e-02 
4.75000e-02, 7.80701e-01, 7.79706e-01, -5.57404e-02 
5.00000e-02, 7.80643e-01, 7.79540e-01, -5.86699e-02 
5.25000e-02, 7.80582e-01, 7.79366e-01, -6.15987e-02 
5.50000e-02, 7.80518e-01, 7.79184e-01, -6.45269e-02 
5.75000e-02, 7.80451e-01, 7.78993e-01, -6.74544e-02 
6.00000e-02, 7.80381e-01, 7.78794e-01, -7.03811e-02 
6.25000e-02, 7.80308e-01, 7.78586e-01, -7.33071e-02 
6.50000e-02, 7.80232e-01, 7.78370e-01, -7.62322e-02 
6.75000e-02, 7.80153e-01, 7.78145e-01, -7.91565e-02 
7.00000e-02, 7.80072e-01, 7.77912e-01, -8.20799e-02 
7.25000e-02, 7.79987e-01, 7.77670e-01, -8.50025e-02 
7.50000e-02, 7.79899e-01, 7.77420e-01, -8.79241e-02 
7.75000e-02, 7.79809e-01, 7.77162e-01, -9.08447e-02 
8.00000e-02, 7.79715e-01, 7.76895e-01, -9.37643e-02 
8.25000e-02, 7.79618e-01, 7.76619e-01, -9.66829e-02 
8.50000e-02, 7.79519e-01, 7.76335e-01, -9.96005e-02 
8.75000e-02, 7.79416e-01, 7.76043e-01, -1.02517e-01 
9.00000e-02, 7.79311e-01, 7.75742e-01, -1.05432e-01 
9.25000e-02, 7.79202e-01, 7.75433e-01, -1.08346e-01 
9.50000e-02, 7.79091e-01, 7.75116e-01, -1.11259e-01 
9.75000e-02, 7.78977e-01, 7.74790e-01, -1.14171e-01 
1.00000e-01, 7.78859e-01, 7.74456e-01, -1.17082e-01 
1.02500e-01, 7.78739e-01, 7.74113e-01, -1.19991e-01 
1.05000e-01, 7.78616e-01, 7.73762e-01, -1.22899e-01 
1.07500e-01, 7.78490e-01, 7.73402e-01, -1.25805e-01 
1.10000e-01, 7.78361e-01, 7.73034e-01, -1.28710e-01 
1.12500e-01, 7.78229e-01, 7.72658e-01, -1.31614e-01 
1.15000e-01, 7.78093e-01, 7.72273e-01, -1.34516e-01 
1.17500e-01, 7.77955e-01, 7.71880e-01, -1.37417e-01 
1.20000e-01, 7.77815e-01, 7.71478e-01, -1.40316e-01 
1.22500e-01, 7.77671e-01, 7.71069e-01, -1.43214e-01 
1.25000e-01, 7.77524e-01, 7.70650e-01, -1.46110e-01 
1.27500e-01, 7.77374e-01, 7.70224e-01, -1.49005e-01 
1.30000e-01, 7.77221e-01, 7.69789e-01, -1.51898e-01 
1.32500e-01, 7.77066e-01, 7.69345e-01, -1.54789e-01 
1.35000e-01, 7.76907e-01, 7.68894e-01, -1.57678e-01 
1.37500e-01, 7.76745e-01, 7.68434e-01, -1.60566e-01 
1.40000e-01, 7.76581e-01, 7.67966e-01, -1.63452e-01 
1.42500e-01, 7.76413e-01, 7.67489e-01, -1.66336e-01 
1.45000e-01, 7.76243e-01, 7.67004e-01, -1.69219e-01 
1.47500e-01, 7.76070e-01, 7.66511e-01, -1.72099e-01 
1.50000e-01, 7.75893e-01, 7.66009e-01, -1.74978e-01 
1.52500e-01, 7.75714e-01, 7.65499e-01, -1.77855e-01 
1.55000e-01, 7.75532e-01, 7.64981e-01, -1.80729e-01 
