r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.83975e+01, 2.83975e+01, -0.00000e+00 
2.50000e-03, 2.83800e+01, 2.83539e+01, -1.72059e+00 
5.00000e-03, 2.83275e+01, 2.82233e+01, -3.43564e+00 
7.50000e-03, 2.82402e+01, 2.80061e+01, -5.13959e+00 
1.00000e-02, 2.81183e+01, 2.77032e+01, -6.82697e+00 
1.25000e-02, 2.79620e+01, 2.73155e+01, -8.49235e+00 
1.50000e-02, 2.77717e+01, 2.68445e+01, -1.01304e+01 
1.75000e-02, 2.75480e+01, 2.62919e+01, -1.17358e+01 
2.00000e-02, 2.72913e+01, 2.56595e+01, -1.33034e+01 
2.25000e-02, 2.70023e+01, 2.49497e+01, -1.48283e+01 
2.50000e-02, 2.66816e+01, 2.41649e+01, -1.63055e+01 
2.75000e-02, 2.63301e+01, 2.33079e+01, -1.77305e+01 
3.00000e-02, 2.59486e+01, 2.23818e+01, -1.90987e+01 
3.25000e-02, 2.55379e+01, 2.13898e+01, -2.04058e+01 
3.50000e-02, 2.50991e+01, 2.03355e+01, -2.16477e+01 
3.75000e-02, 2.46332e+01, 1.92224e+01, -2.28207e+01 
4.00000e-02, 2.41414e+01, 1.80547e+01, -2.39211e+01 
4.25000e-02, 2.36247e+01, 1.68363e+01, -2.49455e+01 
4.50000e-02, 2.30844e+01, 1.55715e+01, -2.58910e+01 
4.75000e-02, 2.25218e+01, 1.42649e+01, -2.67547e+01 
5.00000e-02, 2.19382e+01, 1.29209e+01, -2.75341e+01 
5.25000e-02, 2.13350e+01, 1.15443e+01, -2.82271e+01 
5.50000e-02, 2.07135e+01, 1.01398e+01, -2.88317e+01 
5.75000e-02, 2.00752e+01, 8.71245e+00, -2.93463e+01 
6.00000e-02, 1.94216e+01, 7.26711e+00, -2.97698e+01 
6.25000e-02, 1.87541e+01, 5.80882e+00, -3.01011e+01 
6.50000e-02, 1.80742e+01, 4.34263e+00, -3.03397e+01 
6.75000e-02, 1.73836e+01, 2.87360e+00, -3.04852e+01 
7.00000e-02, 1.66838e+01, 1.40680e+00, -3.05376e+01 
7.25000e-02, 1.59762e+01, -5.27521e-02, -3.04975e+01 
7.50000e-02, 1.52625e+01, -1.50005e+00, -3.03653e+01 
7.75000e-02, 1.45443e+01, -2.93017e+00, -3.01421e+01 
8.00000e-02, 1.38231e+01, -4.33825e+00, -2.98293e+01 
8.25000e-02, 1.31004e+01, -5.71953e+00, -2.94284e+01 
8.50000e-02, 1.23778e+01, -7.06936e+00, -2.89413e+01 
8.75000e-02, 1.16568e+01, -8.38323e+00, -2.83703e+01 
9.00000e-02, 1.09389e+01, -9.65678e+00, -2.77179e+01 
9.25000e-02, 1.02256e+01, -1.08858e+01, -2.69869e+01 
9.50000e-02, 9.51829e+00, -1.20662e+01, -2.61802e+01 
9.75000e-02, 8.81847e+00, -1.31942e+01, -2.53012e+01 
1.00000e-01, 8.12748e+00, -1.42662e+01, -2.43534e+01 
