r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 5.45630e+01, 5.45630e+01, -0.00000e+00 
2.50000e-03, 5.40577e+01, 5.31237e+01, -1.41919e+01 
5.00000e-03, 5.25604e+01, 4.88911e+01, -2.76263e+01 
7.50000e-03, 5.01262e+01, 4.21154e+01, -3.95905e+01 
1.00000e-02, 4.68442e+01, 3.31964e+01, -4.94590e+01 
1.25000e-02, 4.28334e+01, 2.26586e+01, -5.67299e+01 
1.50000e-02, 3.82372e+01, 1.11185e+01, -6.10544e+01 
1.75000e-02, 3.32167e+01, -7.53224e-01, -6.22557e+01 
2.00000e-02, 2.79442e+01, -1.22730e+01, -6.03386e+01 
2.25000e-02, 2.25948e+01, -2.27865e+01, -5.54868e+01 
2.50000e-02, 1.73395e+01, -3.17080e+01, -4.80498e+01 
2.75000e-02, 1.23375e+01, -3.85559e+01, -3.85199e+01 
3.00000e-02, 7.73014e+00, -4.29806e+01, -2.75004e+01 
3.25000e-02, 3.63540e+00, -4.47848e+01, -1.56674e+01 
3.50000e-02, 1.43607e-01, -4.39330e+01, -3.72763e+00 
3.75000e-02, -2.68507e+00, -4.05518e+01, 7.62469e+00 
4.00000e-02, -4.82185e+00, -3.49191e+01, 1.77502e+01 
4.25000e-02, -6.26887e+00, -2.74446e+01, 2.61020e+01 
4.50000e-02, -7.05737e+00, -1.86417e+01, 3.22576e+01 
4.75000e-02, -7.24440e+00, -9.09368e+00, 3.59414e+01 
5.00000e-02, -6.90855e+00, 5.84488e-01, 3.70392e+01 
5.25000e-02, -6.14474e+00, 9.78522e+00, 3.56004e+01 
5.50000e-02, -5.05854e+00, 1.79468e+01, 3.18314e+01 
5.75000e-02, -3.76014e+00, 2.45880e+01, 2.60781e+01 
6.00000e-02, -2.35861e+00, 2.93370e+01, 1.88008e+01 
6.25000e-02, -9.56389e-01, 3.19531e+01, 1.05415e+01 
6.50000e-02, 3.55434e-01, 3.23388e+01, 1.88698e+00 
6.75000e-02, 1.50101e+00, 3.05433e+01, -6.56974e+00 
7.00000e-02, 2.42251e+00, 2.67562e+01, -1.42684e+01 
7.25000e-02, 3.08179e+00, 2.12913e+01, -2.07166e+01 
7.50000e-02, 3.46079e+00, 1.45642e+01, -2.55204e+01 
7.75000e-02, 3.56088e+00, 7.06224e+00, -2.84076e+01 
8.00000e-02, 3.40110e+00, -6.88989e-01, -2.92418e+01 
8.25000e-02, 3.01551e+00, -8.16102e+00, -2.80289e+01 
8.50000e-02, 2.44987e+00, -1.48576e+01, -2.49120e+01 
8.75000e-02, 1.75787e+00, -2.03470e+01, -2.01590e+01 
9.00000e-02, 9.97119e-01, -2.42890e+01, -1.41413e+01 
9.25000e-02, 2.25236e-01, -2.64559e+01, -7.30651e+00 
9.50000e-02, -5.03863e-01, -2.67450e+01, -1.46096e-01 
9.75000e-02, -1.14314e+00, -2.51833e+01, 6.83843e+00 
1.00000e-01, -1.65501e+00, -2.19222e+01, 1.31699e+01 
1.02500e-01, -2.01312e+00, -1.72253e+01, 1.84272e+01 
1.05000e-01, -2.20331e+00, -1.14482e+01, 2.22727e+01 
1.07500e-01, -2.22375e+00, -5.01196e+00, 2.44735e+01 
1.10000e-01, -2.08427e+00, 1.62588e+00, 2.49146e+01 
1.12500e-01, -1.80493e+00, 8.00382e+00, 2.36051e+01 
1.15000e-01, -1.41411e+00, 1.36876e+01, 2.06741e+01 
1.17500e-01, -9.46050e-01, 1.82993e+01, 1.63601e+01 
1.20000e-01, -4.38240e-01, 2.15422e+01, 1.09919e+01 
1.22500e-01, 7.13159e-02, 2.32194e+01, 4.96487e+00 
1.25000e-01, 5.46688e-01, 2.32457e+01, -1.28817e+00 
1.27500e-01, 9.56343e-01, 2.16511e+01, -7.32709e+00 
1.30000e-01, 1.27505e+00, 1.85770e+01, -1.27350e+01 
1.32500e-01, 1.48525e+00, 1.42644e+01, -1.71468e+01 
1.35000e-01, 1.57787e+00, 9.03553e+00, -2.02731e+01 
1.37500e-01, 1.55248e+00, 3.27048e+00, -2.19191e+01 
1.40000e-01, 1.41691e+00, -2.62023e+00, -2.19965e+01 
1.42500e-01, 1.18629e+00, -8.22434e+00, -2.05277e+01 
1.45000e-01, 8.81636e-01, -1.31564e+01, -1.76423e+01 
1.47500e-01, 5.28143e-01, -1.70838e+01, -1.35664e+01 
1.50000e-01, 1.53225e-01, -1.97495e+01, -8.60541e+00 
1.52500e-01, -2.15480e-01, -2.09879e+01, -3.12134e+00 
1.55000e-01, -5.52032e-01, -2.07355e+01, 2.49307e+00 
1.57500e-01, -8.33925e-01, -1.90334e+01, 7.84226e+00 
1.60000e-01, -1.04349e+00, -1.60231e+01, 1.25554e+01 
1.62500e-01, -1.16894e+00, -1.19350e+01, 1.63117e+01 
1.65000e-01, -1.20489e+00, -7.07142e+00, 1.88624e+01 
1.67500e-01, -1.15254e+00, -1.78410e+00, 2.00465e+01 
1.70000e-01, -1.01926e+00, 3.55064e+00, 1.98013e+01 
