r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 2.33280e+09, -2.33280e+09, 0.00000e+00 
2.50000e-03, 2.32922e+09, -2.33136e+09, 3.04728e-15 
5.00000e-03, 2.31849e+09, -2.32705e+09, 6.08473e-15 
7.50000e-03, 2.30065e+09, -2.31988e+09, 9.10255e-15 
1.00000e-02, 2.27577e+09, -2.30986e+09, 1.20910e-14 
1.25000e-02, 2.24392e+09, -2.29703e+09, 1.50405e-14 
1.50000e-02, 2.20523e+09, -2.28140e+09, 1.79415e-14 
1.75000e-02, 2.15983e+09, -2.26302e+09, 2.07848e-14 
2.00000e-02, 2.10788e+09, -2.24193e+09, 2.35612e-14 
2.25000e-02, 2.04957e+09, -2.21819e+09, 2.62618e-14 
2.50000e-02, 1.98510e+09, -2.19185e+09, 2.88781e-14 
2.75000e-02, 1.91471e+09, -2.16297e+09, 3.14018e-14 
3.00000e-02, 1.83863e+09, -2.13163e+09, 3.38250e-14 
3.25000e-02, 1.75714e+09, -2.09789e+09, 3.61400e-14 
3.50000e-02, 1.67052e+09, -2.06185e+09, 3.83395e-14 
3.75000e-02, 1.57909e+09, -2.02357e+09, 4.04169e-14 
4.00000e-02, 1.48316e+09, -1.98317e+09, 4.23658e-14 
4.25000e-02, 1.38307e+09, -1.94072e+09, 4.41801e-14 
4.50000e-02, 1.27917e+09, -1.89634e+09, 4.58546e-14 
4.75000e-02, 1.17183e+09, -1.85013e+09, 4.73843e-14 
5.00000e-02, 1.06143e+09, -1.80219e+09, 4.87647e-14 
5.25000e-02, 9.48341e+08, -1.75263e+09, 4.99920e-14 
5.50000e-02, 8.32968e+08, -1.70158e+09, 5.10628e-14 
5.75000e-02, 7.15712e+08, -1.64914e+09, 5.19743e-14 
6.00000e-02, 5.96980e+08, -1.59545e+09, 5.27242e-14 
6.25000e-02, 4.77184e+08, -1.54061e+09, 5.33110e-14 
6.50000e-02, 3.56739e+08, -1.48477e+09, 5.37335e-14 
6.75000e-02, 2.36061e+08, -1.42803e+09, 5.39912e-14 
7.00000e-02, 1.15566e+08, -1.37054e+09, 5.40842e-14 
7.25000e-02, -4.33349e+06, -1.31242e+09, 5.40130e-14 
7.50000e-02, -1.23227e+08, -1.25379e+09, 5.37789e-14 
7.75000e-02, -2.40708e+08, -1.19479e+09, 5.33837e-14 
8.00000e-02, -3.56379e+08, -1.13554e+09, 5.28296e-14 
8.25000e-02, -4.69849e+08, -1.07617e+09, 5.21195e-14 
