k,lhs,rhs
0.0383334,0.253345,0.0173006
0.038337,0.253427,0.0172973
0.0383405,0.253508,0.017294
0.038344,0.25359,0.0172907
0.0383475,0.253671,0.0172874
0.038351,0.253753,0.0172841
0.0383545,0.253834,0.0172808
0.0383581,0.253915,0.0172775
0.0383616,0.253996,0.0172741
0.0383651,0.254078,0.0172708
0.0383686,0.254159,0.0172675
0.0383721,0.25424,0.0172642
0.0383756,0.254321,0.0172608
0.0383792,0.254403,0.0172575
0.0383827,0.254484,0.0172542
0.0383862,0.254565,0.0172508
0.0383897,0.254646,0.0172475
0.0383932,0.254727,0.0172441
0.0383967,0.254808,0.0172408
0.0384003,0.254889,0.0172374
0.0384038,0.25497,0.0172341
0.0384073,0.255051,0.0172307
0.0384108,0.255132,0.0172274
0.0384143,0.255213,0.017224
0.0384178,0.255294,0.0172206
0.0384214,0.255375,0.0172173
0.0384249,0.255456,0.0172139
0.0384284,0.255536,0.0172105
0.0384319,0.255617,0.0172071
0.0384354,0.255698,0.0172037
0.0384389,0.255779,0.0172004
0.0384425,0.25586,0.017197
0.038446,0.25594,0.0171936
0.0384495,0.256021,0.0171902
0.038453,0.256102,0.0171868
0.0384565,0.256182,0.0171834
0.03846,0.256263,0.01718
0.0384636,0.256344,0.0171766
0.0384671,0.256424,0.0171732
0.0384706,0.256505,0.0171698
0.0384741,0.256585,0.0171664
0.0384776,0.256666,0.017163
0.0384811,0.256746,0.0171595
0.0384847,0.256827,0.0171561
0.0384882,0.256907,0.0171527
0.0384917,0.256988,0.0171493
0.0384952,0.257068,0.0171458
0.0384987,0.257148,0.0171424
0.0385023,0.257229,0.017139
0.0385058,0.257309,0.0171355
0.0385093,0.257389,0.0171321
0.0385128,0.257469,0.0171286
0.0385163,0.25755,0.0171252
0.0385198,0.25763,0.0171218
0.0385234,0.25771,0.0171183
0.0385269,0.25779,0.0171148
0.0385304,0.25787,0.0171114
0.0385339,0.257951,0.0171079
0.0385374,0.258031,0.0171045
0.0385409,0.258111,0.017101
0.0385445,0.258191,0.0170975
0.038548,0.258271,0.0170941
0.0385515,0.258351,0.0170906
0.038555,0.258431,0.0170871
0.0385585,0.258511,0.0170836
0.038562,0.258591,0.0170801
0.0385656,0.258671,0.0170767
0.0385691,0.258751,0.0170732
0.0385726,0.25883,0.0170697
0.0385761,0.25891,0.0170662
0.0385796,0.25899,0.0170627
0.0385831,0.25907,0.0170592
0.0385867,0.25915,0.0170557
0.0385902,0.259229,0.0170522
0.0385937,0.259309,0.0170487
0.0385972,0.259389,0.0170451
0.0386007,0.259468,0.0170416
0.0386042,0.259548,0.0170381
0.0386078,0.259628,0.0170346
0.0386113,0.259707,0.0170311
0.0386148,0.259787,0.0170275
0.0386183,0.259867,0.017024
0.0386218,0.259946,0.0170205
0.0386253,0.260026,0.0170169
0.0386289,0.260105,0.0170134
0.0386324,0.260185,0.0170099
0.0386359,0.260264,0.0170063
0.0386394,0.260343,0.0170028
0.0386429,0.260423,0.0169992
0.0386464,0.260502,0.0169957
0.03865,0.260581,0.0169921
0.0386535,0.260661,0.0169886
0.038657,0.26074,0.016985
0.0386605,0.260819,0.0169814
0.038664,0.260899,0.0169779
0.0386675,0.260978,0.0169743
0.0386711,0.261057,0.0169707
0.0386746,0.261136,0.0169671
0.0386781,0.261215,0.0169636
0.0386816,0.261295,0.01696
0.0386851,0.261374,0.0169564
0.0386886,0.261453,0.0169528
0.0386922,0.261532,0.0169492
0.0386957,0.261611,0.0169456
0.0386992,0.26169,0.016942
0.0387027,0.261769,0.0169384
0.0387062,0.261848,0.0169348
0.0387097,0.261927,0.0169312
0.0387133,0.262006,0.0169276
0.0387168,0.262085,0.016924
0.0387203,0.262163,0.0169204
0.0387238,0.262242,0.0169168
0.0387273,0.262321,0.0169131
0.0387308,0.2624,0.0169095
0.0387344,0.262479,0.0169059
0.0387379,0.262557,0.0169023
0.0387414,0.262636,0.0168986
0.0387449,0.262715,0.016895
0.0387484,0.262794,0.0168914
0.0387519,0.262872,0.0168877
0.0387555,0.262951,0.0168841
0.038759,0.26303,0.0168804
0.0387625,0.263108,0.0168768
0.038766,0.263187,0.0168731
0.0387695,0.263265,0.0168695
0.0387731,0.263344,0.0168658
0.0387766,0.263422,0.0168621
0.0387801,0.263501,0.0168585
0.0387836,0.263579,0.0168548
0.0387871,0.263658,0.0168511
0.0387906,0.263736,0.0168475
0.0387942,0.263814,0.0168438
0.0387977,0.263893,0.0168401
0.0388012,0.263971,0.0168364
0.0388047,0.264049,0.0168327
0.0388082,0.264128,0.016829
0.0388117,0.264206,0.0168254
0.0388153,0.264284,0.0168217
0.0388188,0.264362,0.016818
