k, beta 
7.46198e-03, 9.68850e+00 
3.11764e-03, 2.00000e-02 
2.40137e-03, 3.00000e-02 
2.14012e-03, 4.00000e-02 
2.06087e-03, 5.00000e-02 
2.07263e-03, 6.00000e-02 
2.13639e-03, 7.00000e-02 
2.23266e-03, 8.00000e-02 
2.35059e-03, 9.00000e-02 
2.48368e-03, 1.00000e-01 
2.62781e-03, 1.10000e-01 
2.78021e-03, 1.20000e-01 
2.93898e-03, 1.30000e-01 
3.10274e-03, 1.40000e-01 
3.27051e-03, 1.50000e-01 
3.44152e-03, 1.60000e-01 
3.61521e-03, 1.70000e-01 
3.79114e-03, 1.80000e-01 
3.96894e-03, 1.90000e-01 
4.14833e-03, 2.00000e-01 
4.32910e-03, 2.10000e-01 
4.51105e-03, 2.20000e-01 
4.69402e-03, 2.30000e-01 
4.87790e-03, 2.40000e-01 
5.06256e-03, 2.50000e-01 
5.24793e-03, 2.60000e-01 
5.43392e-03, 2.70000e-01 
5.62046e-03, 2.80000e-01 
5.80750e-03, 2.90000e-01 
5.99499e-03, 3.00000e-01 
6.18289e-03, 3.10000e-01 
6.37115e-03, 3.20000e-01 
6.55974e-03, 3.30000e-01 
6.74864e-03, 3.40000e-01 
6.93782e-03, 3.50000e-01 
7.12725e-03, 3.60000e-01 
7.31692e-03, 3.70000e-01 
7.50680e-03, 3.80000e-01 
7.69689e-03, 3.90000e-01 
7.88715e-03, 4.00000e-01 
8.07759e-03, 4.10000e-01 
8.26818e-03, 4.20000e-01 
8.45893e-03, 4.30000e-01 
8.64981e-03, 4.40000e-01 
8.84082e-03, 4.50000e-01 
9.03194e-03, 4.60000e-01 
9.22318e-03, 4.70000e-01 
9.41453e-03, 4.80000e-01 
9.60598e-03, 4.90000e-01 
9.79751e-03, 5.00000e-01 
9.98914e-03, 5.10000e-01 
1.01808e-02, 5.20000e-01 
1.03726e-02, 5.30000e-01 
1.05645e-02, 5.40000e-01 
1.07564e-02, 5.50000e-01 
1.09484e-02, 5.60000e-01 
1.11405e-02, 5.70000e-01 
1.13326e-02, 5.80000e-01 
1.15248e-02, 5.90000e-01 
1.17170e-02, 6.00000e-01 
1.19092e-02, 6.10000e-01 
1.21016e-02, 6.20000e-01 
1.22939e-02, 6.30000e-01 
1.24864e-02, 6.40000e-01 
1.26788e-02, 6.50000e-01 
1.28713e-02, 6.60000e-01 
1.30638e-02, 6.70000e-01 
1.32564e-02, 6.80000e-01 
