r(m), B_r(T), B_theta(T), B_z(T) 
2.20000e-01, 4.70153e-01, 4.69928e-01, -2.05458e-02 
2.22500e-01, 4.70143e-01, 4.69913e-01, -2.07790e-02 
2.25000e-01, 4.70133e-01, 4.69899e-01, -2.10122e-02 
2.27500e-01, 4.70124e-01, 4.69884e-01, -2.12453e-02 
2.30000e-01, 4.70114e-01, 4.69868e-01, -2.14785e-02 
2.32500e-01, 4.70104e-01, 4.69853e-01, -2.17117e-02 
2.35000e-01, 4.70093e-01, 4.69837e-01, -2.19449e-02 
2.37500e-01, 4.70083e-01, 4.69822e-01, -2.21780e-02 
2.40000e-01, 4.70073e-01, 4.69806e-01, -2.24111e-02 
2.42500e-01, 4.70062e-01, 4.69790e-01, -2.26443e-02 
2.45000e-01, 4.70052e-01, 4.69774e-01, -2.28774e-02 
2.47500e-01, 4.70041e-01, 4.69757e-01, -2.31105e-02 
2.50000e-01, 4.70030e-01, 4.69741e-01, -2.33436e-02 
2.52500e-01, 4.70019e-01, 4.69724e-01, -2.35767e-02 
2.55000e-01, 4.70008e-01, 4.69707e-01, -2.38098e-02 
2.57500e-01, 4.69997e-01, 4.69690e-01, -2.40428e-02 
2.60000e-01, 4.69986e-01, 4.69673e-01, -2.42759e-02 
2.62500e-01, 4.69975e-01, 4.69655e-01, -2.45090e-02 
2.65000e-01, 4.69963e-01, 4.69638e-01, -2.47420e-02 
2.67500e-01, 4.69952e-01, 4.69620e-01, -2.49750e-02 
2.70000e-01, 4.69940e-01, 4.69602e-01, -2.52080e-02 
2.72500e-01, 4.69928e-01, 4.69584e-01, -2.54410e-02 
2.75000e-01, 4.69917e-01, 4.69566e-01, -2.56740e-02 
2.77500e-01, 4.69905e-01, 4.69548e-01, -2.59070e-02 
2.80000e-01, 4.69893e-01, 4.69529e-01, -2.61400e-02 
2.82500e-01, 4.69880e-01, 4.69510e-01, -2.63729e-02 
2.85000e-01, 4.69868e-01, 4.69492e-01, -2.66059e-02 
2.87500e-01, 4.69856e-01, 4.69473e-01, -2.68388e-02 
2.90000e-01, 4.69843e-01, 4.69453e-01, -2.70717e-02 
2.92500e-01, 4.69831e-01, 4.69434e-01, -2.73047e-02 
2.95000e-01, 4.69818e-01, 4.69414e-01, -2.75376e-02 
2.97500e-01, 4.69805e-01, 4.69395e-01, -2.77705e-02 
3.00000e-01, 4.69792e-01, 4.69375e-01, -2.80033e-02 
3.02500e-01, 4.69779e-01, 4.69355e-01, -2.82362e-02 
3.05000e-01, 4.69766e-01, 4.69335e-01, -2.84690e-02 
3.07500e-01, 4.69753e-01, 4.69314e-01, -2.87019e-02 
3.10000e-01, 4.69739e-01, 4.69294e-01, -2.89347e-02 
3.12500e-01, 4.69726e-01, 4.69273e-01, -2.91675e-02 
3.15000e-01, 4.69712e-01, 4.69252e-01, -2.94003e-02 
3.17500e-01, 4.69698e-01, 4.69231e-01, -2.96331e-02 
3.20000e-01, 4.69685e-01, 4.69210e-01, -2.98659e-02 
3.22500e-01, 4.69671e-01, 4.69189e-01, -3.00987e-02 
3.25000e-01, 4.69657e-01, 4.69167e-01, -3.03314e-02 
3.27500e-01, 4.69643e-01, 4.69145e-01, -3.05641e-02 
3.30000e-01, 4.69628e-01, 4.69124e-01, -3.07969e-02 
3.32500e-01, 4.69614e-01, 4.69102e-01, -3.10296e-02 
3.35000e-01, 4.69599e-01, 4.69079e-01, -3.12623e-02 
3.37500e-01, 4.69585e-01, 4.69057e-01, -3.14949e-02 
3.40000e-01, 4.69570e-01, 4.69034e-01, -3.17276e-02 
3.42500e-01, 4.69555e-01, 4.69012e-01, -3.19603e-02 
3.45000e-01, 4.69541e-01, 4.68989e-01, -3.21929e-02 
3.47500e-01, 4.69526e-01, 4.68966e-01, -3.24255e-02 
3.50000e-01, 4.69510e-01, 4.68943e-01, -3.26581e-02 
3.52500e-01, 4.69495e-01, 4.68919e-01, -3.28907e-02 
3.55000e-01, 4.69480e-01, 4.68896e-01, -3.31233e-02 
3.57500e-01, 4.69465e-01, 4.68872e-01, -3.33559e-02 
3.60000e-01, 4.69449e-01, 4.68848e-01, -3.35884e-02 
3.62500e-01, 4.69433e-01, 4.68824e-01, -3.38210e-02 
3.65000e-01, 4.69418e-01, 4.68800e-01, -3.40535e-02 
3.67500e-01, 4.69402e-01, 4.68776e-01, -3.42860e-02 
3.70000e-01, 4.69386e-01, 4.68751e-01, -3.45185e-02 
3.72500e-01, 4.69370e-01, 4.68727e-01, -3.47510e-02 
3.75000e-01, 4.69353e-01, 4.68702e-01, -3.49835e-02 
3.77500e-01, 4.69337e-01, 4.68677e-01, -3.52159e-02 
3.80000e-01, 4.69321e-01, 4.68652e-01, -3.54483e-02 
3.82500e-01, 4.69304e-01, 4.68626e-01, -3.56808e-02 
3.85000e-01, 4.69288e-01, 4.68601e-01, -3.59132e-02 
3.87500e-01, 4.69271e-01, 4.68575e-01, -3.61455e-02 
3.90000e-01, 4.69254e-01, 4.68549e-01, -3.63779e-02 
3.92500e-01, 4.69237e-01, 4.68523e-01, -3.66103e-02 
3.95000e-01, 4.69220e-01, 4.68497e-01, -3.68426e-02 
3.97500e-01, 4.69203e-01, 4.68471e-01, -3.70749e-02 
4.00000e-01, 4.69186e-01, 4.68444e-01, -3.73072e-02 
4.02500e-01, 4.69168e-01, 4.68418e-01, -3.75395e-02 
4.05000e-01, 4.69151e-01, 4.68391e-01, -3.77718e-02 
4.07500e-01, 4.69133e-01, 4.68364e-01, -3.80041e-02 
4.10000e-01, 4.69116e-01, 4.68337e-01, -3.82363e-02 
4.12500e-01, 4.69098e-01, 4.68310e-01, -3.84685e-02 
4.15000e-01, 4.69080e-01, 4.68282e-01, -3.87007e-02 
4.17500e-01, 4.69062e-01, 4.68254e-01, -3.89329e-02 
4.20000e-01, 4.69044e-01, 4.68227e-01, -3.91651e-02 
4.22500e-01, 4.69025e-01, 4.68199e-01, -3.93972e-02 
4.25000e-01, 4.69007e-01, 4.68170e-01, -3.96294e-02 
