r(m), E_r(T), E_theta(T), E_z(T) 
2.20000e-01, 5.88792e+08, -5.89074e+08, 2.31248e-16 
2.22500e-01, 5.88774e+08, -5.89061e+08, 2.33873e-16 
2.25000e-01, 5.88755e+08, -5.89049e+08, 2.36498e-16 
2.27500e-01, 5.88736e+08, -5.89037e+08, 2.39122e-16 
2.30000e-01, 5.88717e+08, -5.89025e+08, 2.41747e-16 
2.32500e-01, 5.88698e+08, -5.89012e+08, 2.44371e-16 
2.35000e-01, 5.88679e+08, -5.88999e+08, 2.46995e-16 
2.37500e-01, 5.88659e+08, -5.88987e+08, 2.49619e-16 
2.40000e-01, 5.88639e+08, -5.88974e+08, 2.52244e-16 
2.42500e-01, 5.88619e+08, -5.88960e+08, 2.54867e-16 
2.45000e-01, 5.88599e+08, -5.88947e+08, 2.57491e-16 
2.47500e-01, 5.88578e+08, -5.88934e+08, 2.60115e-16 
2.50000e-01, 5.88557e+08, -5.88920e+08, 2.62739e-16 
2.52500e-01, 5.88536e+08, -5.88907e+08, 2.65362e-16 
2.55000e-01, 5.88515e+08, -5.88893e+08, 2.67985e-16 
2.57500e-01, 5.88494e+08, -5.88879e+08, 2.70609e-16 
2.60000e-01, 5.88472e+08, -5.88865e+08, 2.73232e-16 
2.62500e-01, 5.88451e+08, -5.88851e+08, 2.75855e-16 
2.65000e-01, 5.88429e+08, -5.88836e+08, 2.78478e-16 
2.67500e-01, 5.88406e+08, -5.88822e+08, 2.81101e-16 
2.70000e-01, 5.88384e+08, -5.88807e+08, 2.83723e-16 
2.72500e-01, 5.88361e+08, -5.88793e+08, 2.86346e-16 
2.75000e-01, 5.88339e+08, -5.88778e+08, 2.88968e-16 
2.77500e-01, 5.88316e+08, -5.88763e+08, 2.91590e-16 
2.80000e-01, 5.88292e+08, -5.88748e+08, 2.94213e-16 
2.82500e-01, 5.88269e+08, -5.88732e+08, 2.96835e-16 
2.85000e-01, 5.88245e+08, -5.88717e+08, 2.99456e-16 
2.87500e-01, 5.88221e+08, -5.88701e+08, 3.02078e-16 
2.90000e-01, 5.88197e+08, -5.88686e+08, 3.04700e-16 
2.92500e-01, 5.88173e+08, -5.88670e+08, 3.07321e-16 
2.95000e-01, 5.88149e+08, -5.88654e+08, 3.09943e-16 
2.97500e-01, 5.88124e+08, -5.88638e+08, 3.12564e-16 
3.00000e-01, 5.88099e+08, -5.88622e+08, 3.15185e-16 
3.02500e-01, 5.88074e+08, -5.88605e+08, 3.17806e-16 
3.05000e-01, 5.88049e+08, -5.88589e+08, 3.20427e-16 
3.07500e-01, 5.88023e+08, -5.88572e+08, 3.23047e-16 
3.10000e-01, 5.87997e+08, -5.88556e+08, 3.25668e-16 
3.12500e-01, 5.87971e+08, -5.88539e+08, 3.28288e-16 
3.15000e-01, 5.87945e+08, -5.88522e+08, 3.30909e-16 
3.17500e-01, 5.87919e+08, -5.88504e+08, 3.33529e-16 
3.20000e-01, 5.87892e+08, -5.88487e+08, 3.36149e-16 
3.22500e-01, 5.87866e+08, -5.88470e+08, 3.38768e-16 
3.25000e-01, 5.87839e+08, -5.88452e+08, 3.41388e-16 
3.27500e-01, 5.87812e+08, -5.88434e+08, 3.44008e-16 
3.30000e-01, 5.87784e+08, -5.88417e+08, 3.46627e-16 
3.32500e-01, 5.87757e+08, -5.88399e+08, 3.49246e-16 
3.35000e-01, 5.87729e+08, -5.88380e+08, 3.51865e-16 
3.37500e-01, 5.87701e+08, -5.88362e+08, 3.54484e-16 
3.40000e-01, 5.87673e+08, -5.88344e+08, 3.57103e-16 
3.42500e-01, 5.87644e+08, -5.88325e+08, 3.59721e-16 
3.45000e-01, 5.87616e+08, -5.88307e+08, 3.62340e-16 
3.47500e-01, 5.87587e+08, -5.88288e+08, 3.64958e-16 
3.50000e-01, 5.87558e+08, -5.88269e+08, 3.67576e-16 
3.52500e-01, 5.87528e+08, -5.88250e+08, 3.70194e-16 
3.55000e-01, 5.87499e+08, -5.88231e+08, 3.72812e-16 
3.57500e-01, 5.87469e+08, -5.88211e+08, 3.75430e-16 
3.60000e-01, 5.87439e+08, -5.88192e+08, 3.78047e-16 
3.62500e-01, 5.87409e+08, -5.88172e+08, 3.80664e-16 
3.65000e-01, 5.87379e+08, -5.88153e+08, 3.83281e-16 
3.67500e-01, 5.87349e+08, -5.88133e+08, 3.85898e-16 
3.70000e-01, 5.87318e+08, -5.88113e+08, 3.88515e-16 
3.72500e-01, 5.87287e+08, -5.88093e+08, 3.91132e-16 
3.75000e-01, 5.87256e+08, -5.88072e+08, 3.93748e-16 
3.77500e-01, 5.87225e+08, -5.88052e+08, 3.96365e-16 
3.80000e-01, 5.87193e+08, -5.88031e+08, 3.98981e-16 
3.82500e-01, 5.87161e+08, -5.88011e+08, 4.01597e-16 
3.85000e-01, 5.87129e+08, -5.87990e+08, 4.04212e-16 
3.87500e-01, 5.87097e+08, -5.87969e+08, 4.06828e-16 
3.90000e-01, 5.87065e+08, -5.87948e+08, 4.09443e-16 
3.92500e-01, 5.87032e+08, -5.87927e+08, 4.12059e-16 
3.95000e-01, 5.86999e+08, -5.87905e+08, 4.14674e-16 
3.97500e-01, 5.86966e+08, -5.87884e+08, 4.17288e-16 
4.00000e-01, 5.86933e+08, -5.87862e+08, 4.19903e-16 
4.02500e-01, 5.86900e+08, -5.87840e+08, 4.22518e-16 
4.05000e-01, 5.86866e+08, -5.87818e+08, 4.25132e-16 
4.07500e-01, 5.86832e+08, -5.87796e+08, 4.27746e-16 
4.10000e-01, 5.86798e+08, -5.87774e+08, 4.30360e-16 
4.12500e-01, 5.86764e+08, -5.87752e+08, 4.32974e-16 
4.15000e-01, 5.86730e+08, -5.87729e+08, 4.35587e-16 
4.17500e-01, 5.86695e+08, -5.87707e+08, 4.38201e-16 
4.20000e-01, 5.86660e+08, -5.87684e+08, 4.40814e-16 
4.22500e-01, 5.86625e+08, -5.87661e+08, 4.43427e-16 
4.25000e-01, 5.86590e+08, -5.87638e+08, 4.46039e-16 
4.27500e-01, 5.86555e+08, -5.87615e+08, 4.48652e-16 
4.30000e-01, 5.86519e+08, -5.87592e+08, 4.51264e-16 
4.32500e-01, 5.86483e+08, -5.87569e+08, 4.53877e-16 
4.35000e-01, 5.86447e+08, -5.87545e+08, 4.56489e-16 
4.37500e-01, 5.86411e+08, -5.87521e+08, 4.59100e-16 
4.40000e-01, 5.86374e+08, -5.87498e+08, 4.61712e-16 
4.42500e-01, 5.86337e+08, -5.87474e+08, 4.64323e-16 
4.45000e-01, 5.86300e+08, -5.87450e+08, 4.66935e-16 
4.47500e-01, 5.86263e+08, -5.87425e+08, 4.69546e-16 
4.50000e-01, 5.86226e+08, -5.87401e+08, 4.72156e-16 
4.52500e-01, 5.86188e+08, -5.87377e+08, 4.74767e-16 
4.55000e-01, 5.86151e+08, -5.87352e+08, 4.77377e-16 
4.57500e-01, 5.86113e+08, -5.87327e+08, 4.79987e-16 
4.60000e-01, 5.86075e+08, -5.87302e+08, 4.82597e-16 
4.62500e-01, 5.86036e+08, -5.87277e+08, 4.85207e-16 
4.65000e-01, 5.85998e+08, -5.87252e+08, 4.87817e-16 
4.67500e-01, 5.85959e+08, -5.87227e+08, 4.90426e-16 
4.70000e-01, 5.85920e+08, -5.87202e+08, 4.93035e-16 
4.72500e-01, 5.85881e+08, -5.87176e+08, 4.95644e-16 
4.75000e-01, 5.85841e+08, -5.87150e+08, 4.98253e-16 
4.77500e-01, 5.85802e+08, -5.87125e+08, 5.00861e-16 
4.80000e-01, 5.85762e+08, -5.87099e+08, 5.03469e-16 
4.82500e-01, 5.85722e+08, -5.87072e+08, 5.06077e-16 
4.85000e-01, 5.85682e+08, -5.87046e+08, 5.08685e-16 
4.87500e-01, 5.85641e+08, -5.87020e+08, 5.11293e-16 
4.90000e-01, 5.85601e+08, -5.86993e+08, 5.13900e-16 
4.92500e-01, 5.85560e+08, -5.86967e+08, 5.16507e-16 
4.95000e-01, 5.85519e+08, -5.86940e+08, 5.19114e-16 
4.97500e-01, 5.85477e+08, -5.86913e+08, 5.21721e-16 
5.00000e-01, 5.85436e+08, -5.86886e+08, 5.24327e-16 
5.02500e-01, 5.85394e+08, -5.86859e+08, 5.26933e-16 
5.05000e-01, 5.85352e+08, -5.86832e+08, 5.29539e-16 
5.07500e-01, 5.85310e+08, -5.86804e+08, 5.32145e-16 
5.10000e-01, 5.85268e+08, -5.86777e+08, 5.34750e-16 
5.12500e-01, 5.85225e+08, -5.86749e+08, 5.37356e-16 
5.15000e-01, 5.85183e+08, -5.86721e+08, 5.39961e-16 
5.17500e-01, 5.85140e+08, -5.86693e+08, 5.42565e-16 
5.20000e-01, 5.85097e+08, -5.86665e+08, 5.45170e-16 
5.22500e-01, 5.85053e+08, -5.86637e+08, 5.47774e-16 
5.25000e-01, 5.85010e+08, -5.86608e+08, 5.50378e-16 
5.27500e-01, 5.84966e+08, -5.86580e+08, 5.52982e-16 
5.30000e-01, 5.84922e+08, -5.86551e+08, 5.55586e-16 
5.32500e-01, 5.84878e+08, -5.86522e+08, 5.58189e-16 
5.35000e-01, 5.84834e+08, -5.86494e+08, 5.60792e-16 
5.37500e-01, 5.84789e+08, -5.86465e+08, 5.63395e-16 
5.40000e-01, 5.84744e+08, -5.86435e+08, 5.65998e-16 
5.42500e-01, 5.84699e+08, -5.86406e+08, 5.68600e-16 
5.45000e-01, 5.84654e+08, -5.86377e+08, 5.71202e-16 
5.47500e-01, 5.84609e+08, -5.86347e+08, 5.73804e-16 
5.50000e-01, 5.84563e+08, -5.86317e+08, 5.76406e-16 
5.52500e-01, 5.84517e+08, -5.86287e+08, 5.79007e-16 
5.55000e-01, 5.84471e+08, -5.86257e+08, 5.81608e-16 
5.57500e-01, 5.84425e+08, -5.86227e+08, 5.84209e-16 
5.60000e-01, 5.84379e+08, -5.86197e+08, 5.86810e-16 
5.62500e-01, 5.84332e+08, -5.86167e+08, 5.89410e-16 
5.65000e-01, 5.84285e+08, -5.86136e+08, 5.92010e-16 
5.67500e-01, 5.84238e+08, -5.86105e+08, 5.94610e-16 
5.70000e-01, 5.84191e+08, -5.86075e+08, 5.97209e-16 
5.72500e-01, 5.84144e+08, -5.86044e+08, 5.99809e-16 
5.75000e-01, 5.84096e+08, -5.86013e+08, 6.02408e-16 
5.77500e-01, 5.84048e+08, -5.85981e+08, 6.05007e-16 
5.80000e-01, 5.84000e+08, -5.85950e+08, 6.07605e-16 
5.82500e-01, 5.83952e+08, -5.85919e+08, 6.10203e-16 
5.85000e-01, 5.83903e+08, -5.85887e+08, 6.12801e-16 
5.87500e-01, 5.83855e+08, -5.85855e+08, 6.15399e-16 
5.90000e-01, 5.83806e+08, -5.85823e+08, 6.17996e-16 
5.92500e-01, 5.83757e+08, -5.85791e+08, 6.20594e-16 
5.95000e-01, 5.83707e+08, -5.85759e+08, 6.23191e-16 
5.97500e-01, 5.83658e+08, -5.85727e+08, 6.25787e-16 
6.00000e-01, 5.83608e+08, -5.85695e+08, 6.28383e-16 
6.02500e-01, 5.83558e+08, -5.85662e+08, 6.30980e-16 
6.05000e-01, 5.83508e+08, -5.85629e+08, 6.33575e-16 
6.07500e-01, 5.83458e+08, -5.85597e+08, 6.36171e-16 
6.10000e-01, 5.83407e+08, -5.85564e+08, 6.38766e-16 
6.12500e-01, 5.83356e+08, -5.85531e+08, 6.41361e-16 
6.15000e-01, 5.83305e+08, -5.85497e+08, 6.43956e-16 
6.17500e-01, 5.83254e+08, -5.85464e+08, 6.46550e-16 
6.20000e-01, 5.83203e+08, -5.85430e+08, 6.49144e-16 
6.22500e-01, 5.83151e+08, -5.85397e+08, 6.51738e-16 
6.25000e-01, 5.83100e+08, -5.85363e+08, 6.54332e-16 
6.27500e-01, 5.83048e+08, -5.85329e+08, 6.56925e-16 
6.30000e-01, 5.82995e+08, -5.85295e+08, 6.59518e-16 
6.32500e-01, 5.82943e+08, -5.85261e+08, 6.62111e-16 
6.35000e-01, 5.82891e+08, -5.85227e+08, 6.64703e-16 
6.37500e-01, 5.82838e+08, -5.85192e+08, 6.67295e-16 
6.40000e-01, 5.82785e+08, -5.85158e+08, 6.69887e-16 
6.42500e-01, 5.82732e+08, -5.85123e+08, 6.72478e-16 
6.45000e-01, 5.82678e+08, -5.85088e+08, 6.75070e-16 
6.47500e-01, 5.82624e+08, -5.85053e+08, 6.77661e-16 
6.50000e-01, 5.82571e+08, -5.85018e+08, 6.80251e-16 
6.52500e-01, 5.82517e+08, -5.84983e+08, 6.82842e-16 
6.55000e-01, 5.82462e+08, -5.84948e+08, 6.85432e-16 
6.57500e-01, 5.82408e+08, -5.84912e+08, 6.88021e-16 
6.60000e-01, 5.82353e+08, -5.84876e+08, 6.90611e-16 
6.62500e-01, 5.82298e+08, -5.84841e+08, 6.93200e-16 
6.65000e-01, 5.82243e+08, -5.84805e+08, 6.95789e-16 
6.67500e-01, 5.82188e+08, -5.84769e+08, 6.98377e-16 
6.70000e-01, 5.82133e+08, -5.84733e+08, 7.00965e-16 
6.72500e-01, 5.82077e+08, -5.84696e+08, 7.03553e-16 
6.75000e-01, 5.82021e+08, -5.84660e+08, 7.06141e-16 
6.77500e-01, 5.81965e+08, -5.84623e+08, 7.08728e-16 
6.80000e-01, 5.81909e+08, -5.84587e+08, 7.11315e-16 
6.82500e-01, 5.81852e+08, -5.84550e+08, 7.13902e-16 
6.85000e-01, 5.81796e+08, -5.84513e+08, 7.16488e-16 
6.87500e-01, 5.81739e+08, -5.84476e+08, 7.19074e-16 
6.90000e-01, 5.81682e+08, -5.84438e+08, 7.21660e-16 
6.92500e-01, 5.81624e+08, -5.84401e+08, 7.24246e-16 
6.95000e-01, 5.81567e+08, -5.84364e+08, 7.26831e-16 
6.97500e-01, 5.81509e+08, -5.84326e+08, 7.29415e-16 
7.00000e-01, 5.81451e+08, -5.84288e+08, 7.32000e-16 
7.02500e-01, 5.81393e+08, -5.84250e+08, 7.34584e-16 
7.05000e-01, 5.81335e+08, -5.84212e+08, 7.37168e-16 
7.07500e-01, 5.81276e+08, -5.84174e+08, 7.39751e-16 
7.10000e-01, 5.81217e+08, -5.84136e+08, 7.42335e-16 
7.12500e-01, 5.81158e+08, -5.84097e+08, 7.44917e-16 
