r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 8.66591e+08, -8.66591e+08, 0.00000e+00 
2.50000e-03, 8.66589e+08, -8.66590e+08, 9.31397e-17 
5.00000e-03, 8.66584e+08, -8.66587e+08, 1.86279e-16 
7.50000e-03, 8.66575e+08, -8.66582e+08, 2.79417e-16 
1.00000e-02, 8.66562e+08, -8.66575e+08, 3.72554e-16 
1.25000e-02, 8.66545e+08, -8.66567e+08, 4.65689e-16 
1.50000e-02, 8.66525e+08, -8.66556e+08, 5.58822e-16 
1.75000e-02, 8.66501e+08, -8.66543e+08, 6.51952e-16 
2.00000e-02, 8.66473e+08, -8.66528e+08, 7.45079e-16 
2.25000e-02, 8.66441e+08, -8.66511e+08, 8.38203e-16 
2.50000e-02, 8.66406e+08, -8.66492e+08, 9.31322e-16 
2.75000e-02, 8.66367e+08, -8.66472e+08, 1.02444e-15 
3.00000e-02, 8.66325e+08, -8.66449e+08, 1.11755e-15 
3.25000e-02, 8.66279e+08, -8.66424e+08, 1.21065e-15 
3.50000e-02, 8.66229e+08, -8.66397e+08, 1.30375e-15 
3.75000e-02, 8.66175e+08, -8.66369e+08, 1.39684e-15 
4.00000e-02, 8.66118e+08, -8.66338e+08, 1.48992e-15 
4.25000e-02, 8.66057e+08, -8.66305e+08, 1.58300e-15 
4.50000e-02, 8.65992e+08, -8.66271e+08, 1.67607e-15 
4.75000e-02, 8.65923e+08, -8.66234e+08, 1.76913e-15 
5.00000e-02, 8.65851e+08, -8.66196e+08, 1.86219e-15 
5.25000e-02, 8.65775e+08, -8.66155e+08, 1.95523e-15 
5.50000e-02, 8.65696e+08, -8.66113e+08, 2.04826e-15 
5.75000e-02, 8.65613e+08, -8.66068e+08, 2.14129e-15 
6.00000e-02, 8.65526e+08, -8.66022e+08, 2.23430e-15 
6.25000e-02, 8.65435e+08, -8.65973e+08, 2.32730e-15 
6.50000e-02, 8.65341e+08, -8.65923e+08, 2.42029e-15 
6.75000e-02, 8.65243e+08, -8.65870e+08, 2.51327e-15 
7.00000e-02, 8.65141e+08, -8.65816e+08, 2.60624e-15 
7.25000e-02, 8.65036e+08, -8.65760e+08, 2.69919e-15 
7.50000e-02, 8.64926e+08, -8.65701e+08, 2.79213e-15 
7.75000e-02, 8.64814e+08, -8.65641e+08, 2.88506e-15 
8.00000e-02, 8.64697e+08, -8.65579e+08, 2.97797e-15 
8.25000e-02, 8.64577e+08, -8.65515e+08, 3.07087e-15 
8.50000e-02, 8.64453e+08, -8.65448e+08, 3.16376e-15 
8.75000e-02, 8.64326e+08, -8.65380e+08, 3.25662e-15 
9.00000e-02, 8.64194e+08, -8.65310e+08, 3.34947e-15 
9.25000e-02, 8.64059e+08, -8.65238e+08, 3.44231e-15 
9.50000e-02, 8.63921e+08, -8.65164e+08, 3.53513e-15 
9.75000e-02, 8.63778e+08, -8.65088e+08, 3.62793e-15 
1.00000e-01, 8.63632e+08, -8.65010e+08, 3.72071e-15 
1.02500e-01, 8.63483e+08, -8.64930e+08, 3.81348e-15 
1.05000e-01, 8.63329e+08, -8.64848e+08, 3.90622e-15 
1.07500e-01, 8.63172e+08, -8.64764e+08, 3.99895e-15 
1.10000e-01, 8.63012e+08, -8.64678e+08, 4.09165e-15 
1.12500e-01, 8.62847e+08, -8.64590e+08, 4.18434e-15 
1.15000e-01, 8.62679e+08, -8.64500e+08, 4.27701e-15 
1.17500e-01, 8.62507e+08, -8.64408e+08, 4.36965e-15 
1.20000e-01, 8.62332e+08, -8.64314e+08, 4.46228e-15 
1.22500e-01, 8.62153e+08, -8.64218e+08, 4.55488e-15 
1.25000e-01, 8.61970e+08, -8.64121e+08, 4.64746e-15 
1.27500e-01, 8.61783e+08, -8.64021e+08, 4.74002e-15 
1.30000e-01, 8.61593e+08, -8.63919e+08, 4.83255e-15 
1.32500e-01, 8.61399e+08, -8.63816e+08, 4.92506e-15 
1.35000e-01, 8.61202e+08, -8.63710e+08, 5.01754e-15 
1.37500e-01, 8.61001e+08, -8.63602e+08, 5.11000e-15 
1.40000e-01, 8.60796e+08, -8.63493e+08, 5.20244e-15 
1.42500e-01, 8.60587e+08, -8.63381e+08, 5.29485e-15 
1.45000e-01, 8.60375e+08, -8.63268e+08, 5.38723e-15 
1.47500e-01, 8.60159e+08, -8.63152e+08, 5.47959e-15 
1.50000e-01, 8.59940e+08, -8.63035e+08, 5.57192e-15 
1.52500e-01, 8.59717e+08, -8.62916e+08, 5.66423e-15 
1.55000e-01, 8.59490e+08, -8.62794e+08, 5.75650e-15 
1.57500e-01, 8.59259e+08, -8.62671e+08, 5.84875e-15 
1.60000e-01, 8.59025e+08, -8.62546e+08, 5.94097e-15 
1.62500e-01, 8.58787e+08, -8.62418e+08, 6.03316e-15 
1.65000e-01, 8.58546e+08, -8.62289e+08, 6.12532e-15 
1.67500e-01, 8.58300e+08, -8.62158e+08, 6.21745e-15 
1.70000e-01, 8.58052e+08, -8.62025e+08, 6.30954e-15 
1.72500e-01, 8.57799e+08, -8.61890e+08, 6.40161e-15 
1.75000e-01, 8.57543e+08, -8.61753e+08, 6.49365e-15 
1.77500e-01, 8.57283e+08, -8.61614e+08, 6.58565e-15 
1.80000e-01, 8.57020e+08, -8.61473e+08, 6.67763e-15 
1.82500e-01, 8.56753e+08, -8.61330e+08, 6.76957e-15 
1.85000e-01, 8.56482e+08, -8.61185e+08, 6.86147e-15 
1.87500e-01, 8.56208e+08, -8.61038e+08, 6.95334e-15 
1.90000e-01, 8.55929e+08, -8.60890e+08, 7.04518e-15 
1.92500e-01, 8.55648e+08, -8.60739e+08, 7.13699e-15 
1.95000e-01, 8.55362e+08, -8.60586e+08, 7.22876e-15 
1.97500e-01, 8.55074e+08, -8.60432e+08, 7.32049e-15 
2.00000e-01, 8.54781e+08, -8.60275e+08, 7.41219e-15 
2.02500e-01, 8.54485e+08, -8.60117e+08, 7.50385e-15 
2.05000e-01, 8.54185e+08, -8.59956e+08, 7.59547e-15 
2.07500e-01, 8.53881e+08, -8.59794e+08, 7.68706e-15 
2.10000e-01, 8.53574e+08, -8.59629e+08, 7.77861e-15 
2.12500e-01, 8.53263e+08, -8.59463e+08, 7.87012e-15 
2.15000e-01, 8.52949e+08, -8.59295e+08, 7.96159e-15 
2.17500e-01, 8.52631e+08, -8.59124e+08, 8.05302e-15 
2.20000e-01, 8.52309e+08, -8.58952e+08, 8.14441e-15 
2.22500e-01, 8.51984e+08, -8.58778e+08, 8.23577e-15 
2.25000e-01, 8.51655e+08, -8.58602e+08, 8.32708e-15 
2.27500e-01, 8.51322e+08, -8.58424e+08, 8.41835e-15 
2.30000e-01, 8.50986e+08, -8.58244e+08, 8.50958e-15 
2.32500e-01, 8.50647e+08, -8.58062e+08, 8.60077e-15 
2.35000e-01, 8.50303e+08, -8.57878e+08, 8.69192e-15 
2.37500e-01, 8.49956e+08, -8.57693e+08, 8.78302e-15 
2.40000e-01, 8.49605e+08, -8.57505e+08, 8.87408e-15 
2.42500e-01, 8.49251e+08, -8.57315e+08, 8.96510e-15 
2.45000e-01, 8.48893e+08, -8.57124e+08, 9.05607e-15 
2.47500e-01, 8.48532e+08, -8.56930e+08, 9.14700e-15 
2.50000e-01, 8.48167e+08, -8.56735e+08, 9.23789e-15 
2.52500e-01, 8.47798e+08, -8.56537e+08, 9.32872e-15 
2.55000e-01, 8.47426e+08, -8.56338e+08, 9.41952e-15 
2.57500e-01, 8.47050e+08, -8.56137e+08, 9.51026e-15 
2.60000e-01, 8.46671e+08, -8.55933e+08, 9.60096e-15 
2.62500e-01, 8.46288e+08, -8.55728e+08, 9.69162e-15 
2.65000e-01, 8.45901e+08, -8.55521e+08, 9.78222e-15 
2.67500e-01, 8.45511e+08, -8.55312e+08, 9.87278e-15 
2.70000e-01, 8.45117e+08, -8.55101e+08, 9.96329e-15 
2.72500e-01, 8.44719e+08, -8.54888e+08, 1.00537e-14 
2.75000e-01, 8.44318e+08, -8.54674e+08, 1.01442e-14 
2.77500e-01, 8.43914e+08, -8.54457e+08, 1.02345e-14 
2.80000e-01, 8.43506e+08, -8.54238e+08, 1.03248e-14 
2.82500e-01, 8.43094e+08, -8.54018e+08, 1.04151e-14 
2.85000e-01, 8.42679e+08, -8.53795e+08, 1.05053e-14 
