r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.31464e+00, 1.31464e+00, -0.00000e+00 
2.50000e-03, 1.31463e+00, 1.31463e+00, -2.62150e-03 
5.00000e-03, 1.31463e+00, 1.31462e+00, -5.24298e-03 
7.50000e-03, 1.31462e+00, 1.31461e+00, -7.86444e-03 
1.00000e-02, 1.31461e+00, 1.31459e+00, -1.04859e-02 
1.25000e-02, 1.31460e+00, 1.31457e+00, -1.31072e-02 
1.50000e-02, 1.31458e+00, 1.31453e+00, -1.57285e-02 
1.75000e-02, 1.31456e+00, 1.31450e+00, -1.83498e-02 
2.00000e-02, 1.31454e+00, 1.31446e+00, -2.09709e-02 
2.25000e-02, 1.31451e+00, 1.31441e+00, -2.35919e-02 
2.50000e-02, 1.31449e+00, 1.31435e+00, -2.62128e-02 
2.75000e-02, 1.31445e+00, 1.31430e+00, -2.88336e-02 
3.00000e-02, 1.31442e+00, 1.31423e+00, -3.14543e-02 
3.25000e-02, 1.31438e+00, 1.31416e+00, -3.40748e-02 
3.50000e-02, 1.31434e+00, 1.31409e+00, -3.66951e-02 
3.75000e-02, 1.31430e+00, 1.31400e+00, -3.93152e-02 
4.00000e-02, 1.31425e+00, 1.31392e+00, -4.19352e-02 
4.25000e-02, 1.31420e+00, 1.31382e+00, -4.45549e-02 
4.50000e-02, 1.31415e+00, 1.31373e+00, -4.71745e-02 
4.75000e-02, 1.31409e+00, 1.31362e+00, -4.97938e-02 
5.00000e-02, 1.31404e+00, 1.31351e+00, -5.24128e-02 
5.25000e-02, 1.31397e+00, 1.31340e+00, -5.50316e-02 
5.50000e-02, 1.31391e+00, 1.31328e+00, -5.76501e-02 
5.75000e-02, 1.31384e+00, 1.31315e+00, -6.02684e-02 
6.00000e-02, 1.31377e+00, 1.31302e+00, -6.28863e-02 
6.25000e-02, 1.31370e+00, 1.31288e+00, -6.55039e-02 
6.50000e-02, 1.31362e+00, 1.31274e+00, -6.81212e-02 
6.75000e-02, 1.31354e+00, 1.31259e+00, -7.07382e-02 
7.00000e-02, 1.31346e+00, 1.31244e+00, -7.33548e-02 
7.25000e-02, 1.31337e+00, 1.31228e+00, -7.59711e-02 
7.50000e-02, 1.31329e+00, 1.31211e+00, -7.85870e-02 
7.75000e-02, 1.31319e+00, 1.31194e+00, -8.12025e-02 
8.00000e-02, 1.31310e+00, 1.31176e+00, -8.38176e-02 
8.25000e-02, 1.31300e+00, 1.31158e+00, -8.64323e-02 
8.50000e-02, 1.31290e+00, 1.31139e+00, -8.90466e-02 
8.75000e-02, 1.31280e+00, 1.31120e+00, -9.16604e-02 
9.00000e-02, 1.31269e+00, 1.31100e+00, -9.42738e-02 
9.25000e-02, 1.31258e+00, 1.31079e+00, -9.68867e-02 
9.50000e-02, 1.31247e+00, 1.31058e+00, -9.94992e-02 
9.75000e-02, 1.31235e+00, 1.31037e+00, -1.02111e-01 
1.00000e-01, 1.31224e+00, 1.31015e+00, -1.04723e-01 
1.02500e-01, 1.31211e+00, 1.30992e+00, -1.07334e-01 
1.05000e-01, 1.31199e+00, 1.30969e+00, -1.09944e-01 
1.07500e-01, 1.31186e+00, 1.30945e+00, -1.12554e-01 
1.10000e-01, 1.31173e+00, 1.30920e+00, -1.15163e-01 
1.12500e-01, 1.31160e+00, 1.30896e+00, -1.17772e-01 
1.15000e-01, 1.31146e+00, 1.30870e+00, -1.20380e-01 
1.17500e-01, 1.31132e+00, 1.30844e+00, -1.22988e-01 
1.20000e-01, 1.31118e+00, 1.30817e+00, -1.25595e-01 
1.22500e-01, 1.31104e+00, 1.30790e+00, -1.28201e-01 
1.25000e-01, 1.31089e+00, 1.30762e+00, -1.30807e-01 
1.27500e-01, 1.31074e+00, 1.30734e+00, -1.33412e-01 
1.30000e-01, 1.31058e+00, 1.30705e+00, -1.36016e-01 
1.32500e-01, 1.31042e+00, 1.30676e+00, -1.38620e-01 
1.35000e-01, 1.31026e+00, 1.30646e+00, -1.41223e-01 
1.37500e-01, 1.31010e+00, 1.30615e+00, -1.43825e-01 
1.40000e-01, 1.30993e+00, 1.30584e+00, -1.46427e-01 
1.42500e-01, 1.30977e+00, 1.30553e+00, -1.49028e-01 
1.45000e-01, 1.30959e+00, 1.30521e+00, -1.51628e-01 
1.47500e-01, 1.30942e+00, 1.30488e+00, -1.54228e-01 
1.50000e-01, 1.30924e+00, 1.30454e+00, -1.56827e-01 
1.52500e-01, 1.30906e+00, 1.30421e+00, -1.59424e-01 
1.55000e-01, 1.30888e+00, 1.30386e+00, -1.62022e-01 
1.57500e-01, 1.30869e+00, 1.30351e+00, -1.64618e-01 
1.60000e-01, 1.30850e+00, 1.30316e+00, -1.67214e-01 
1.62500e-01, 1.30831e+00, 1.30280e+00, -1.69808e-01 
1.65000e-01, 1.30811e+00, 1.30243e+00, -1.72402e-01 
1.67500e-01, 1.30791e+00, 1.30206e+00, -1.74995e-01 
1.70000e-01, 1.30771e+00, 1.30168e+00, -1.77588e-01 
1.72500e-01, 1.30750e+00, 1.30130e+00, -1.80179e-01 
