r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.06381e+10, 0.00000e+00, 0.00000e+00 
2.50000e-03, 1.06340e+10, 0.00000e+00, 8.97434e-14 
5.00000e-03, 1.06217e+10, 0.00000e+00, 1.79417e-13 
7.50000e-03, 1.06011e+10, 0.00000e+00, 2.68951e-13 
1.00000e-02, 1.05724e+10, 0.00000e+00, 3.58277e-13 
1.25000e-02, 1.05355e+10, 0.00000e+00, 4.47324e-13 
1.50000e-02, 1.04905e+10, 0.00000e+00, 5.36023e-13 
1.75000e-02, 1.04374e+10, 0.00000e+00, 6.24306e-13 
2.00000e-02, 1.03762e+10, 0.00000e+00, 7.12105e-13 
2.25000e-02, 1.03071e+10, 0.00000e+00, 7.99351e-13 
2.50000e-02, 1.02300e+10, 0.00000e+00, 8.85976e-13 
2.75000e-02, 1.01450e+10, 0.00000e+00, 9.71914e-13 
3.00000e-02, 1.00522e+10, 0.00000e+00, 1.05710e-12 
3.25000e-02, 9.95174e+09, 0.00000e+00, 1.14146e-12 
3.50000e-02, 9.84362e+09, 0.00000e+00, 1.22494e-12 
3.75000e-02, 9.72797e+09, 0.00000e+00, 1.30747e-12 
4.00000e-02, 9.60489e+09, 0.00000e+00, 1.38899e-12 
4.25000e-02, 9.47447e+09, 0.00000e+00, 1.46943e-12 
4.50000e-02, 9.33683e+09, 0.00000e+00, 1.54874e-12 
4.75000e-02, 9.19209e+09, 0.00000e+00, 1.62685e-12 
5.00000e-02, 9.04037e+09, 0.00000e+00, 1.70370e-12 
5.25000e-02, 8.88181e+09, 0.00000e+00, 1.77923e-12 
5.50000e-02, 8.71654e+09, 0.00000e+00, 1.85340e-12 
5.75000e-02, 8.54470e+09, 0.00000e+00, 1.92613e-12 
6.00000e-02, 8.36644e+09, 0.00000e+00, 1.99737e-12 
6.25000e-02, 8.18192e+09, 0.00000e+00, 2.06708e-12 
6.50000e-02, 7.99129e+09, 0.00000e+00, 2.13520e-12 
6.75000e-02, 7.79471e+09, 0.00000e+00, 2.20168e-12 
7.00000e-02, 7.59235e+09, 0.00000e+00, 2.26646e-12 
7.25000e-02, 7.38440e+09, 0.00000e+00, 2.32950e-12 
7.50000e-02, 7.17102e+09, 0.00000e+00, 2.39076e-12 
7.75000e-02, 6.95239e+09, 0.00000e+00, 2.45018e-12 
8.00000e-02, 6.72872e+09, 0.00000e+00, 2.50773e-12 
8.25000e-02, 6.50017e+09, 0.00000e+00, 2.56336e-12 
8.50000e-02, 6.26697e+09, 0.00000e+00, 2.61703e-12 
8.75000e-02, 6.02929e+09, 0.00000e+00, 2.66871e-12 
9.00000e-02, 5.78735e+09, 0.00000e+00, 2.71835e-12 
9.25000e-02, 5.54135e+09, 0.00000e+00, 2.76592e-12 
9.50000e-02, 5.29150e+09, 0.00000e+00, 2.81139e-12 
9.75000e-02, 5.03801e+09, 0.00000e+00, 2.85473e-12 
1.00000e-01, 4.78111e+09, 0.00000e+00, 2.89590e-12 
1.02500e-01, 4.52100e+09, 0.00000e+00, 2.93488e-12 
1.05000e-01, 4.25792e+09, 0.00000e+00, 2.97164e-12 
1.07500e-01, 3.99207e+09, 0.00000e+00, 3.00616e-12 
1.10000e-01, 3.72370e+09, 0.00000e+00, 3.03841e-12 
1.12500e-01, 3.45302e+09, 0.00000e+00, 3.06838e-12 
1.15000e-01, 3.18028e+09, 0.00000e+00, 3.09604e-12 
1.17500e-01, 2.90568e+09, 0.00000e+00, 3.12139e-12 
1.20000e-01, 2.62948e+09, 0.00000e+00, 3.14439e-12 
1.22500e-01, 2.35191e+09, 0.00000e+00, 3.16505e-12 
1.25000e-01, 2.07319e+09, 0.00000e+00, 3.18335e-12 
1.27500e-01, 1.79356e+09, 0.00000e+00, 3.19929e-12 
1.30000e-01, 1.51327e+09, 0.00000e+00, 3.21285e-12 
1.32500e-01, 1.23253e+09, 0.00000e+00, 3.22403e-12 
1.35000e-01, 9.51604e+08, 0.00000e+00, 3.23283e-12 
1.37500e-01, 6.70710e+08, 0.00000e+00, 3.23925e-12 
1.40000e-01, 3.90089e+08, 0.00000e+00, 3.24329e-12 
1.42500e-01, 1.09975e+08, 0.00000e+00, 3.24495e-12 
1.45000e-01, -1.69398e+08, 0.00000e+00, 3.24424e-12 
1.47500e-01, -4.47796e+08, 0.00000e+00, 3.24117e-12 
1.50000e-01, -7.24987e+08, 0.00000e+00, 3.23574e-12 
1.52500e-01, -1.00074e+09, 0.00000e+00, 3.22797e-12 
1.55000e-01, -1.27483e+09, 0.00000e+00, 3.21787e-12 
