r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.93685e+00, 2.93685e+00, -0.00000e+00 
2.50000e-03, 2.93678e+00, 2.93667e+00, -3.55066e-02 
5.00000e-03, 2.93655e+00, 2.93612e+00, -7.10084e-02 
7.50000e-03, 2.93616e+00, 2.93520e+00, -1.06501e-01 
1.00000e-02, 2.93563e+00, 2.93391e+00, -1.41979e-01 
1.25000e-02, 2.93494e+00, 2.93226e+00, -1.77438e-01 
1.50000e-02, 2.93409e+00, 2.93023e+00, -2.12874e-01 
1.75000e-02, 2.93310e+00, 2.92784e+00, -2.48281e-01 
2.00000e-02, 2.93195e+00, 2.92509e+00, -2.83656e-01 
2.25000e-02, 2.93065e+00, 2.92196e+00, -3.18992e-01 
2.50000e-02, 2.92919e+00, 2.91848e+00, -3.54286e-01 
2.75000e-02, 2.92758e+00, 2.91462e+00, -3.89533e-01 
3.00000e-02, 2.92582e+00, 2.91040e+00, -4.24728e-01 
3.25000e-02, 2.92391e+00, 2.90582e+00, -4.59867e-01 
3.50000e-02, 2.92185e+00, 2.90087e+00, -4.94944e-01 
3.75000e-02, 2.91963e+00, 2.89556e+00, -5.29955e-01 
4.00000e-02, 2.91726e+00, 2.88989e+00, -5.64896e-01 
4.25000e-02, 2.91475e+00, 2.88386e+00, -5.99762e-01 
4.50000e-02, 2.91208e+00, 2.87747e+00, -6.34548e-01 
4.75000e-02, 2.90925e+00, 2.87072e+00, -6.69249e-01 
5.00000e-02, 2.90628e+00, 2.86361e+00, -7.03862e-01 
5.25000e-02, 2.90316e+00, 2.85614e+00, -7.38381e-01 
5.50000e-02, 2.89989e+00, 2.84832e+00, -7.72801e-01 
5.75000e-02, 2.89647e+00, 2.84014e+00, -8.07119e-01 
6.00000e-02, 2.89290e+00, 2.83160e+00, -8.41330e-01 
6.25000e-02, 2.88918e+00, 2.82272e+00, -8.75428e-01 
6.50000e-02, 2.88531e+00, 2.81348e+00, -9.09411e-01 
6.75000e-02, 2.88129e+00, 2.80390e+00, -9.43272e-01 
7.00000e-02, 2.87713e+00, 2.79396e+00, -9.77008e-01 
7.25000e-02, 2.87282e+00, 2.78368e+00, -1.01061e+00 
7.50000e-02, 2.86836e+00, 2.77305e+00, -1.04409e+00 
7.75000e-02, 2.86376e+00, 2.76208e+00, -1.07742e+00 
8.00000e-02, 2.85901e+00, 2.75076e+00, -1.11061e+00 
