k,lhs,rhs
4.60001e-01, 8.34928e-02, 1.75722e-02 
4.60008e-01, 8.35168e-02, 1.75681e-02 
4.60014e-01, 8.35407e-02, 1.75639e-02 
4.60020e-01, 8.35646e-02, 1.75598e-02 
4.60027e-01, 8.35885e-02, 1.75556e-02 
4.60033e-01, 8.36125e-02, 1.75515e-02 
4.60039e-01, 8.36364e-02, 1.75473e-02 
4.60046e-01, 8.36603e-02, 1.75431e-02 
4.60052e-01, 8.36843e-02, 1.75390e-02 
4.60058e-01, 8.37082e-02, 1.75348e-02 
4.60065e-01, 8.37321e-02, 1.75307e-02 
4.60071e-01, 8.37561e-02, 1.75265e-02 
4.60077e-01, 8.37800e-02, 1.75224e-02 
4.60084e-01, 8.38039e-02, 1.75182e-02 
4.60090e-01, 8.38279e-02, 1.75141e-02 
4.60097e-01, 8.38518e-02, 1.75099e-02 
4.60103e-01, 8.38757e-02, 1.75057e-02 
4.60109e-01, 8.38997e-02, 1.75016e-02 
4.60116e-01, 8.39236e-02, 1.74974e-02 
4.60122e-01, 8.39475e-02, 1.74933e-02 
4.60128e-01, 8.39715e-02, 1.74891e-02 
4.60135e-01, 8.39954e-02, 1.74850e-02 
4.60141e-01, 8.40193e-02, 1.74808e-02 
4.60147e-01, 8.40433e-02, 1.74767e-02 
4.60154e-01, 8.40672e-02, 1.74725e-02 
4.60160e-01, 8.40911e-02, 1.74683e-02 
4.60166e-01, 8.41151e-02, 1.74642e-02 
4.60173e-01, 8.41390e-02, 1.74600e-02 
4.60179e-01, 8.41629e-02, 1.74559e-02 
4.60185e-01, 8.41869e-02, 1.74517e-02 
4.60192e-01, 8.42108e-02, 1.74476e-02 
4.60198e-01, 8.42347e-02, 1.74434e-02 
4.60205e-01, 8.42587e-02, 1.74393e-02 
4.60211e-01, 8.42826e-02, 1.74351e-02 
4.60217e-01, 8.43066e-02, 1.74309e-02 
4.60224e-01, 8.43305e-02, 1.74268e-02 
4.60230e-01, 8.43544e-02, 1.74226e-02 
4.60236e-01, 8.43784e-02, 1.74185e-02 
4.60243e-01, 8.44023e-02, 1.74143e-02 
4.60249e-01, 8.44262e-02, 1.74102e-02 
4.60255e-01, 8.44502e-02, 1.74060e-02 
4.60262e-01, 8.44741e-02, 1.74018e-02 
4.60268e-01, 8.44981e-02, 1.73977e-02 
4.60274e-01, 8.45220e-02, 1.73935e-02 
4.60281e-01, 8.45459e-02, 1.73894e-02 
4.60287e-01, 8.45699e-02, 1.73852e-02 
4.60293e-01, 8.45938e-02, 1.73811e-02 
4.60300e-01, 8.46178e-02, 1.73769e-02 
4.60306e-01, 8.46417e-02, 1.73727e-02 
4.60312e-01, 8.46656e-02, 1.73686e-02 
4.60319e-01, 8.46896e-02, 1.73644e-02 
4.60325e-01, 8.47135e-02, 1.73603e-02 
4.60332e-01, 8.47375e-02, 1.73561e-02 
4.60338e-01, 8.47614e-02, 1.73519e-02 
4.60344e-01, 8.47854e-02, 1.73478e-02 
4.60351e-01, 8.48093e-02, 1.73436e-02 
4.60357e-01, 8.48332e-02, 1.73395e-02 
4.60363e-01, 8.48572e-02, 1.73353e-02 
4.60370e-01, 8.48811e-02, 1.73312e-02 
4.60376e-01, 8.49051e-02, 1.73270e-02 
4.60382e-01, 8.49290e-02, 1.73228e-02 
4.60389e-01, 8.49530e-02, 1.73187e-02 
4.60395e-01, 8.49769e-02, 1.73145e-02 
4.60401e-01, 8.50009e-02, 1.73104e-02 
4.60408e-01, 8.50248e-02, 1.73062e-02 
4.60414e-01, 8.50487e-02, 1.73021e-02 
4.60420e-01, 8.50727e-02, 1.72979e-02 
4.60427e-01, 8.50966e-02, 1.72937e-02 
4.60433e-01, 8.51206e-02, 1.72896e-02 
4.60440e-01, 8.51445e-02, 1.72854e-02 
4.60446e-01, 8.51685e-02, 1.72813e-02 
4.60452e-01, 8.51924e-02, 1.72771e-02 
4.60459e-01, 8.52164e-02, 1.72729e-02 
4.60465e-01, 8.52403e-02, 1.72688e-02 
4.60471e-01, 8.52643e-02, 1.72646e-02 
4.60478e-01, 8.52882e-02, 1.72605e-02 
4.60484e-01, 8.53122e-02, 1.72563e-02 
4.60490e-01, 8.53361e-02, 1.72521e-02 
4.60497e-01, 8.53601e-02, 1.72480e-02 
4.60503e-01, 8.53840e-02, 1.72438e-02 
4.60509e-01, 8.54080e-02, 1.72397e-02 
4.60516e-01, 8.54319e-02, 1.72355e-02 
4.60522e-01, 8.54559e-02, 1.72313e-02 
4.60528e-01, 8.54798e-02, 1.72272e-02 
4.60535e-01, 8.55038e-02, 1.72230e-02 
4.60541e-01, 8.55277e-02, 1.72189e-02 
4.60547e-01, 8.55517e-02, 1.72147e-02 
4.60554e-01, 8.55756e-02, 1.72105e-02 
4.60560e-01, 8.55996e-02, 1.72064e-02 
4.60567e-01, 8.56235e-02, 1.72022e-02 
4.60573e-01, 8.56475e-02, 1.71981e-02 
4.60579e-01, 8.56714e-02, 1.71939e-02 
4.60586e-01, 8.56954e-02, 1.71897e-02 
4.60592e-01, 8.57193e-02, 1.71856e-02 
4.60598e-01, 8.57433e-02, 1.71814e-02 
4.60605e-01, 8.57672e-02, 1.71773e-02 
4.60611e-01, 8.57912e-02, 1.71731e-02 
4.60617e-01, 8.58151e-02, 1.71689e-02 
4.60624e-01, 8.58391e-02, 1.71648e-02 
4.60630e-01, 8.58630e-02, 1.71606e-02 
4.60636e-01, 8.58870e-02, 1.71565e-02 
4.60643e-01, 8.59110e-02, 1.71523e-02 
4.60649e-01, 8.59349e-02, 1.71481e-02 
4.60655e-01, 8.59589e-02, 1.71440e-02 
4.60662e-01, 8.59828e-02, 1.71398e-02 
4.60668e-01, 8.60068e-02, 1.71356e-02 
4.60675e-01, 8.60307e-02, 1.71315e-02 
4.60681e-01, 8.60547e-02, 1.71273e-02 
4.60687e-01, 8.60787e-02, 1.71232e-02 
4.60694e-01, 8.61026e-02, 1.71190e-02 
4.60700e-01, 8.61266e-02, 1.71148e-02 
4.60706e-01, 8.61505e-02, 1.71107e-02 
4.60713e-01, 8.61745e-02, 1.71065e-02 
4.60719e-01, 8.61984e-02, 1.71024e-02 
4.60725e-01, 8.62224e-02, 1.70982e-02 
4.60732e-01, 8.62464e-02, 1.70940e-02 
4.60738e-01, 8.62703e-02, 1.70899e-02 
4.60744e-01, 8.62943e-02, 1.70857e-02 
4.60751e-01, 8.63182e-02, 1.70815e-02 
4.60757e-01, 8.63422e-02, 1.70774e-02 
4.60763e-01, 8.63662e-02, 1.70732e-02 
4.60770e-01, 8.63901e-02, 1.70691e-02 
4.60776e-01, 8.64141e-02, 1.70649e-02 
4.60782e-01, 8.64380e-02, 1.70607e-02 
4.60789e-01, 8.64620e-02, 1.70566e-02 
4.60795e-01, 8.64860e-02, 1.70524e-02 
4.60802e-01, 8.65099e-02, 1.70482e-02 
4.60808e-01, 8.65339e-02, 1.70441e-02 
4.60814e-01, 8.65578e-02, 1.70399e-02 
4.60821e-01, 8.65818e-02, 1.70358e-02 
4.60827e-01, 8.66058e-02, 1.70316e-02 
4.60833e-01, 8.66297e-02, 1.70274e-02 
4.60840e-01, 8.66537e-02, 1.70233e-02 
4.60846e-01, 8.66777e-02, 1.70191e-02 
4.60852e-01, 8.67016e-02, 1.70149e-02 
4.60859e-01, 8.67256e-02, 1.70108e-02 
4.60865e-01, 8.67496e-02, 1.70066e-02 
4.60871e-01, 8.67735e-02, 1.70024e-02 
4.60878e-01, 8.67975e-02, 1.69983e-02 
4.60884e-01, 8.68214e-02, 1.69941e-02 
4.60890e-01, 8.68454e-02, 1.69900e-02 
4.60897e-01, 8.68694e-02, 1.69858e-02 
4.60903e-01, 8.68933e-02, 1.69816e-02 
4.60909e-01, 8.69173e-02, 1.69775e-02 
4.60916e-01, 8.69413e-02, 1.69733e-02 
4.60922e-01, 8.69652e-02, 1.69691e-02 
4.60929e-01, 8.69892e-02, 1.69650e-02 
4.60935e-01, 8.70132e-02, 1.69608e-02 
4.60941e-01, 8.70371e-02, 1.69566e-02 
4.60948e-01, 8.70611e-02, 1.69525e-02 
4.60954e-01, 8.70851e-02, 1.69483e-02 
4.60960e-01, 8.71090e-02, 1.69441e-02 
4.60967e-01, 8.71330e-02, 1.69400e-02 
4.60973e-01, 8.71570e-02, 1.69358e-02 
4.60979e-01, 8.71810e-02, 1.69316e-02 
4.60986e-01, 8.72049e-02, 1.69275e-02 
4.60992e-01, 8.72289e-02, 1.69233e-02 
4.60998e-01, 8.72529e-02, 1.69192e-02 
4.61005e-01, 8.72768e-02, 1.69150e-02 
4.61011e-01, 8.73008e-02, 1.69108e-02 
4.61017e-01, 8.73248e-02, 1.69067e-02 
4.61024e-01, 8.73487e-02, 1.69025e-02 
4.61030e-01, 8.73727e-02, 1.68983e-02 
4.61037e-01, 8.73967e-02, 1.68942e-02 
4.61043e-01, 8.74207e-02, 1.68900e-02 
4.61049e-01, 8.74446e-02, 1.68858e-02 
4.61056e-01, 8.74686e-02, 1.68817e-02 
4.61062e-01, 8.74926e-02, 1.68775e-02 
4.61068e-01, 8.75165e-02, 1.68733e-02 
