k, beta 
4.79206e-01, 1.78000e+00 
4.78461e-01, 1.79000e+00 
4.77735e-01, 1.80000e+00 
4.77028e-01, 1.81000e+00 
4.76339e-01, 1.82000e+00 
4.75669e-01, 1.83000e+00 
4.75016e-01, 1.84000e+00 
4.74381e-01, 1.85000e+00 
4.73763e-01, 1.86000e+00 
4.73162e-01, 1.87000e+00 
4.72577e-01, 1.88000e+00 
4.72010e-01, 1.89000e+00 
4.71458e-01, 1.90000e+00 
4.70922e-01, 1.91000e+00 
4.70402e-01, 1.92000e+00 
4.69897e-01, 1.93000e+00 
4.69408e-01, 1.94000e+00 
4.68933e-01, 1.95000e+00 
4.68473e-01, 1.96000e+00 
4.68028e-01, 1.97000e+00 
4.67597e-01, 1.98000e+00 
4.67180e-01, 1.99000e+00 
4.66777e-01, 2.00000e+00 
4.66388e-01, 2.01000e+00 
4.66012e-01, 2.02000e+00 
4.65649e-01, 2.03000e+00 
4.65299e-01, 2.04000e+00 
4.64963e-01, 2.05000e+00 
4.64638e-01, 2.06000e+00 
4.64327e-01, 2.07000e+00 
4.64027e-01, 2.08000e+00 
4.63740e-01, 2.09000e+00 
4.63465e-01, 2.10000e+00 
4.63202e-01, 2.11000e+00 
4.62950e-01, 2.12000e+00 
4.62709e-01, 2.13000e+00 
4.62480e-01, 2.14000e+00 
4.62262e-01, 2.15000e+00 
4.62055e-01, 2.16000e+00 
4.61859e-01, 2.17000e+00 
4.61674e-01, 2.18000e+00 
4.61499e-01, 2.19000e+00 
4.61335e-01, 2.20000e+00 
4.61180e-01, 2.21000e+00 
4.61036e-01, 2.22000e+00 
4.60902e-01, 2.23000e+00 
4.60778e-01, 2.24000e+00 
4.60663e-01, 2.25000e+00 
4.60558e-01, 2.26000e+00 
4.60463e-01, 2.27000e+00 
4.60377e-01, 2.28000e+00 
4.60300e-01, 2.29000e+00 
4.60232e-01, 2.30000e+00 
4.60173e-01, 2.31000e+00 
4.60123e-01, 2.32000e+00 
