k, beta 
3.99338e-02, 1.78000e+00 
3.98717e-02, 1.79000e+00 
3.98113e-02, 1.80000e+00 
3.97523e-02, 1.81000e+00 
3.96949e-02, 1.82000e+00 
3.96391e-02, 1.83000e+00 
3.95847e-02, 1.84000e+00 
3.95317e-02, 1.85000e+00 
3.94802e-02, 1.86000e+00 
3.94301e-02, 1.87000e+00 
3.93815e-02, 1.88000e+00 
3.93341e-02, 1.89000e+00 
3.92882e-02, 1.90000e+00 
3.92435e-02, 1.91000e+00 
3.92002e-02, 1.92000e+00 
3.91581e-02, 1.93000e+00 
3.91173e-02, 1.94000e+00 
3.90778e-02, 1.95000e+00 
3.90395e-02, 1.96000e+00 
3.90023e-02, 1.97000e+00 
3.89664e-02, 1.98000e+00 
3.89317e-02, 1.99000e+00 
3.88981e-02, 2.00000e+00 
3.88656e-02, 2.01000e+00 
3.88343e-02, 2.02000e+00 
3.88041e-02, 2.03000e+00 
3.87749e-02, 2.04000e+00 
3.87469e-02, 2.05000e+00 
3.87199e-02, 2.06000e+00 
3.86939e-02, 2.07000e+00 
3.86689e-02, 2.08000e+00 
3.86450e-02, 2.09000e+00 
3.86221e-02, 2.10000e+00 
3.86001e-02, 2.11000e+00 
3.85791e-02, 2.12000e+00 
3.85591e-02, 2.13000e+00 
3.85400e-02, 2.14000e+00 
3.85219e-02, 2.15000e+00 
3.85046e-02, 2.16000e+00 
3.84883e-02, 2.17000e+00 
3.84728e-02, 2.18000e+00 
3.84583e-02, 2.19000e+00 
3.84445e-02, 2.20000e+00 
3.84317e-02, 2.21000e+00 
3.84197e-02, 2.22000e+00 
3.84085e-02, 2.23000e+00 
3.83982e-02, 2.24000e+00 
3.83886e-02, 2.25000e+00 
3.83799e-02, 2.26000e+00 
3.83719e-02, 2.27000e+00 
3.83647e-02, 2.28000e+00 
3.83583e-02, 2.29000e+00 
3.83527e-02, 2.30000e+00 
3.83478e-02, 2.31000e+00 
3.83436e-02, 2.32000e+00 
3.83401e-02, 2.33000e+00 
3.83374e-02, 2.34000e+00 
3.83354e-02, 2.35000e+00 
3.83341e-02, 2.36000e+00 
3.83335e-02, 2.37000e+00 
3.83336e-02, 2.38000e+00 
3.83343e-02, 2.39000e+00 
3.83357e-02, 2.40000e+00 
3.83378e-02, 2.41000e+00 
3.83405e-02, 2.42000e+00 
3.83439e-02, 2.43000e+00 
3.83479e-02, 2.44000e+00 
3.83525e-02, 2.45000e+00 
3.83577e-02, 2.46000e+00 
3.83636e-02, 2.47000e+00 
3.83700e-02, 2.48000e+00 
3.83771e-02, 2.49000e+00 
3.83847e-02, 2.50000e+00 
3.83929e-02, 2.51000e+00 
3.84017e-02, 2.52000e+00 
3.84111e-02, 2.53000e+00 
3.84210e-02, 2.54000e+00 
3.84315e-02, 2.55000e+00 
3.84425e-02, 2.56000e+00 
3.84541e-02, 2.57000e+00 
3.84662e-02, 2.58000e+00 
3.84789e-02, 2.59000e+00 
3.84920e-02, 2.60000e+00 
3.85057e-02, 2.61000e+00 
3.85199e-02, 2.62000e+00 
3.85346e-02, 2.63000e+00 
3.85498e-02, 2.64000e+00 
3.85655e-02, 2.65000e+00 
3.85817e-02, 2.66000e+00 
3.85984e-02, 2.67000e+00 
3.86155e-02, 2.68000e+00 
3.86331e-02, 2.69000e+00 
3.86512e-02, 2.70000e+00 
3.86698e-02, 2.71000e+00 
3.86888e-02, 2.72000e+00 
3.87082e-02, 2.73000e+00 
3.87281e-02, 2.74000e+00 
3.87485e-02, 2.75000e+00 
3.87693e-02, 2.76000e+00 
3.87905e-02, 2.77000e+00 
3.88121e-02, 2.78000e+00 
